time,jd,wd,status
22-16-52,113.903130,22.537184,0
22-16-52,113.903130,22.537184,1
22-16-53,113.903130,22.537184,0
22-16-53,113.903130,22.537184,1
22-16-54,113.903130,22.537184,0
22-16-56,113.903130,22.537184,1
22-16-58,113.903130,22.537184,0
22-16-59,113.903130,22.537184,1
22-18-10,114.010170,22.633917,0
22-18-22,114.009918,22.634117,1
22-18-22,114.009918,22.634117,0
22-19-29,114.011215,22.634518,1
22-19-59,114.024117,22.654716,0
22-20-39,114.024429,22.654367,1
22-20-48,114.024185,22.665449,0
22-21-48,114.016884,22.652901,1
22-22-3,114.044914,22.647568,0
22-22-53,114.032364,22.657650,1
22-22-59,114.046387,22.669283,0
23-0-9,114.011971,22.734699,1
23-0-15,114.037086,22.706083,0
23-0-42,114.025749,22.674482,1
23-0-47,114.006599,22.678400,0
23-0-58,114.024818,22.671232,1
23-1-23,114.023804,22.673250,0
23-1-25,114.023804,22.673250,1
23-1-30,114.027931,22.657600,0
23-1-34,114.020050,22.656334,1
23-1-37,114.022385,22.642017,0
23-2-31,114.006882,22.650717,1
23-2-31,114.006882,22.650717,0
23-7-1,114.021034,22.638166,1
23-7-38,113.817184,22.648718,0
23-8-46,114.002350,22.682117,1
23-8-54,114.000481,22.678083,0
23-9-2,113.991035,22.673349,1
23-9-10,114.015984,22.666033,0
23-9-18,114.019417,22.662333,1
23-9-27,114.030098,22.669849,0
23-9-29,114.027435,22.668449,1
23-9-44,114.010651,22.683634,0
23-9-47,114.005882,22.682917,1
23-10-26,113.990669,22.677134,0
23-10-27,113.990669,22.677134,1
23-10-44,114.004898,22.680099,0
23-10-45,114.004898,22.680099,1
23-11-1,114.015900,22.666483,0
23-11-5,114.021133,22.668449,1
23-11-24,114.036530,22.647051,0
23-11-31,114.034798,22.642700,1
23-11-44,114.020782,22.641850,0
23-11-44,114.020782,22.641850,1
23-11-50,114.032051,22.638733,0
23-11-53,114.033669,22.643167,1
23-12-14,114.033348,22.627884,0
23-12-14,114.033348,22.627884,1
23-12-32,114.129547,22.611032,0
23-12-45,114.083054,22.641068,1
23-13-6,114.035835,22.647017,0
23-13-9,114.031647,22.648968,1
23-14-17,114.029518,22.658684,0
23-14-27,114.039764,22.646032,1
23-14-42,114.016335,22.658100,0
23-14-42,114.016335,22.658100,1
23-15-3,114.002701,22.679983,0
23-15-4,114.002419,22.679583,1
23-15-26,114.023117,22.636583,0
23-15-58,114.020599,22.663467,1
23-16-33,114.068466,22.630417,0
23-16-34,114.074348,22.629482,1
23-16-44,114.057030,22.629683,0
23-16-45,114.057030,22.629683,1
23-17-21,114.011215,22.634600,0
23-17-23,114.013901,22.633133,1
23-17-24,114.016335,22.638468,0
23-17-24,114.016464,22.638483,1
23-17-36,114.046181,22.650667,0
23-17-36,114.046181,22.650667,1
23-17-49,114.039650,22.658266,0
23-17-51,114.038170,22.658033,1
23-18-58,113.997597,22.662600,0
23-20-27,114.026649,22.673067,1
23-20-46,114.041100,22.647882,0
23-21-49,114.016899,22.665133,1
23-22-10,114.045753,22.640051,0
23-22-15,114.037315,22.633400,1
23-22-23,114.030235,22.665033,0
23-22-37,114.032600,22.640617,1
23-22-46,114.019386,22.619499,0
23-22-49,114.023048,22.620184,1
23-23-23,114.021118,22.660950,0
24-0-24,114.024551,22.671600,1
24-0-27,114.026466,22.660650,0
24-0-55,114.033066,22.628782,1
24-0-56,114.035233,22.622232,0
24-1-18,114.040382,22.619133,1
24-1-25,114.034164,22.606783,0
24-1-37,114.032715,22.640751,1
24-1-42,114.037880,22.615917,0
24-1-46,114.035583,22.621067,1
24-1-53,114.047653,22.604017,0
24-1-57,114.039970,22.612368,1
24-2-0,114.033203,22.624983,0
24-6-58,114.028770,22.658016,1
24-7-7,114.005615,22.636417,0
24-8-25,114.025719,22.672117,1
24-8-27,114.034286,22.681868,0
24-8-49,114.219864,22.682083,1
24-8-50,114.223717,22.682768,0
24-9-12,114.149101,22.621933,1
24-9-25,114.111214,22.608183,0
24-10-12,114.083931,22.640450,1
24-10-18,114.028748,22.658318,0
24-10-19,114.028748,22.658318,1
24-10-48,114.039497,22.613083,0
24-10-48,114.039497,22.613083,1
24-11-4,114.055931,22.656782,0
24-11-25,114.044067,22.681534,1
24-11-42,114.052765,22.720682,0
24-11-42,114.052765,22.720682,1
24-11-59,114.058418,22.723766,0
24-12-29,114.033981,22.684500,1
24-14-19,114.013031,22.661617,0
24-14-19,114.013031,22.661617,1
24-14-50,114.016685,22.657749,0
24-14-50,114.016685,22.657749,1
24-16-7,114.043633,22.714817,0
24-16-19,114.032249,22.677700,1
24-17-26,114.033783,22.660967,0
24-17-27,114.033783,22.660967,1
24-17-41,114.033783,22.660967,0
24-17-41,114.033783,22.660967,1
24-17-48,114.033783,22.660967,0
24-17-49,114.033783,22.660967,1
24-18-38,114.033783,22.660967,0
24-18-39,114.033783,22.660967,1
24-18-50,114.033783,22.660967,0
24-19-31,114.057014,22.757032,1
24-19-41,114.053780,22.752951,0
24-21-15,114.014015,22.746717,1
24-21-20,114.055702,22.617800,0
24-21-20,114.055702,22.617800,1
24-21-23,114.055702,22.617800,0
24-21-45,114.044334,22.603416,1
24-22-0,114.044334,22.603416,0
24-22-1,114.044334,22.603416,1
24-22-12,114.044334,22.603416,0
24-22-17,114.044334,22.603416,1
24-22-26,114.044334,22.603416,0
24-22-47,114.044334,22.603416,1
24-22-57,114.044334,22.603416,0
24-23-20,114.044334,22.603416,1
24-23-36,114.044334,22.603416,0
24-23-41,114.044334,22.603416,1
24-23-57,114.044334,22.603416,0
