time,jd,wd,status
22-17-3,113.903366,22.536766,1
22-17-4,113.903366,22.536766,0
22-17-10,113.903366,22.536766,1
22-17-10,113.903366,22.536766,0
22-18-5,113.937881,22.555367,1
22-18-5,113.938751,22.555332,0
22-18-6,113.942932,22.555082,1
22-18-31,114.007332,22.627550,0
22-20-19,114.055801,22.623034,1
22-20-33,114.074852,22.630899,0
22-20-35,114.074852,22.630899,1
22-20-59,114.110817,22.595917,0
22-21-0,114.109985,22.589500,1
22-21-17,114.110947,22.614017,0
22-21-21,114.107330,22.612133,1
22-21-21,114.107330,22.612133,0
22-21-24,114.112915,22.602583,1
22-21-34,114.124580,22.606899,0
22-21-37,114.119247,22.603416,1
22-21-50,114.125183,22.594316,0
22-22-26,114.118019,22.599733,1
22-22-38,114.185234,22.639183,0
22-22-47,114.133514,22.617399,1
22-22-59,114.134064,22.617416,0
22-23-7,114.113434,22.603283,1
22-23-21,114.095413,22.614782,0
22-23-22,114.097633,22.613583,1
22-23-34,114.145164,22.609934,0
22-23-34,114.145164,22.609934,1
22-23-39,114.133499,22.617451,0
22-23-49,114.113380,22.603399,1
22-23-56,114.132004,22.605499,0
23-0-1,114.133102,22.610233,1
23-0-6,114.142052,22.621416,0
23-0-24,114.113403,22.603434,1
23-0-32,114.134598,22.617067,0
23-0-37,114.118286,22.606167,1
23-0-44,114.109886,22.614883,0
23-0-46,114.107552,22.615868,1
23-0-51,114.113632,22.624617,0
23-0-52,114.112869,22.621967,1
23-1-9,114.144119,22.606068,0
23-7-51,114.076920,22.630100,1
23-7-51,114.076920,22.630100,0
23-9-25,114.064529,22.661350,1
23-9-25,114.063034,22.661266,0
23-9-41,114.030746,22.673950,1
23-9-42,114.030586,22.675016,0
23-9-51,114.040802,22.651333,1
23-9-52,114.040802,22.651333,0
23-10-41,114.040352,22.646601,1
23-10-54,114.039551,22.672417,0
23-11-11,114.043053,22.639084,1
23-11-16,114.056534,22.636618,0
23-11-17,114.057053,22.636984,1
23-11-29,114.064285,22.640600,0
23-11-31,114.064552,22.641050,1
23-11-39,114.067703,22.662201,0
23-11-55,114.061050,22.648184,1
23-12-27,114.037415,22.613083,0
