time,jd,wd,status
18-8-36,113.927849,22.677299,0
18-8-56,113.972000,22.682768,1
18-9-16,114.017151,22.665033,0
18-9-21,114.011070,22.663467,1
18-9-36,113.986130,22.681650,0
18-10-11,114.024635,22.659567,1
18-11-26,114.028183,22.651667,0
18-11-31,114.026718,22.656799,1
18-11-41,114.042633,22.650633,0
18-11-51,114.027931,22.667683,1
18-11-56,114.026497,22.672550,0
18-12-6,114.044914,22.674316,1
18-12-21,114.050667,22.669132,0
18-12-26,114.039719,22.673967,1
18-12-36,114.038467,22.671232,0
18-13-31,114.025734,22.672533,1
18-14-1,114.031784,22.636784,0
18-14-6,114.028183,22.644768,1
18-14-26,114.017097,22.658466,0
18-14-41,114.016151,22.660784,1
18-15-16,114.026253,22.673668,0
18-15-41,114.022285,22.669733,1
18-18-1,114.045937,22.641283,0
18-18-16,114.022118,22.641100,1
18-18-21,114.005363,22.656200,0
18-18-46,114.014130,22.656450,1
18-19-6,114.026436,22.660517,0
18-21-21,114.074318,22.711399,1
18-21-26,114.068100,22.716299,0
18-22-1,113.857399,22.761883,1
18-22-11,113.840302,22.739668,0
18-23-36,113.993019,22.666283,1
18-23-46,114.013603,22.670383,0
18-23-51,114.026100,22.653933,1
19-0-1,114.056396,22.633551,0
19-0-21,114.049019,22.637850,1
19-0-31,114.055801,22.621849,0
19-0-36,114.034416,22.624916,1
19-1-1,114.018669,22.650534,0
19-1-6,114.014519,22.660183,1
19-1-12,114.021652,22.659233,0
19-2-41,114.024780,22.671984,1
19-3-1,114.034218,22.625067,0
19-3-31,114.015785,22.669184,1
19-3-36,114.015434,22.658966,0
19-7-11,113.923920,22.677134,1
19-7-26,113.858734,22.654333,0
19-7-46,113.840302,22.633833,1
19-8-11,113.867119,22.577200,0
19-8-21,113.877930,22.574051,1
19-8-31,113.894051,22.573700,0
19-10-59,113.917900,22.647516,1
19-11-39,113.902046,22.730551,0
19-11-44,113.902084,22.718718,1
19-12-29,114.028397,22.658417,0
19-12-34,114.037514,22.653099,1
19-12-39,114.024071,22.656967,0
19-13-9,114.007919,22.660583,1
19-14-54,114.273087,22.732183,0
19-15-4,114.259087,22.724684,1
19-15-14,114.236885,22.712950,0
19-15-29,114.201248,22.649900,1
19-15-44,114.154785,22.626516,0
19-15-49,114.150665,22.638634,1
19-17-4,114.132629,22.616568,0
19-17-29,114.047333,22.638233,1
19-17-39,114.038017,22.651068,0
19-18-19,114.044182,22.618183,1
19-18-55,114.081299,22.642151,0
19-19-20,114.050186,22.637800,1
19-19-35,114.009102,22.658716,0
19-20-15,114.022636,22.658016,1
19-20-25,114.026352,22.661432,0
19-20-45,114.025734,22.670282,1
19-20-55,114.025818,22.674116,0
19-21-10,114.023453,22.666451,1
19-21-15,114.022186,22.664383,0
19-23-23,114.056580,22.664850,1
19-23-34,114.044548,22.695499,0
20-0-25,114.062866,22.639017,1
20-0-30,114.050247,22.637733,0
20-3-10,114.024719,22.671368,1
20-3-20,114.045265,22.637768,0
20-4-56,113.828003,22.692484,1
20-5-1,113.821419,22.675751,0
20-6-57,114.046066,22.644234,1
20-7-2,114.038147,22.652634,0
20-7-42,114.021500,22.639717,1
20-7-57,114.026382,22.672882,0
20-9-27,114.018600,22.666983,1
20-10-13,113.817284,22.648750,0
20-10-18,113.814880,22.649834,1
20-10-48,113.805084,22.735332,0
20-10-53,113.805351,22.735300,1
20-11-38,113.933884,22.683100,0
20-12-13,114.024147,22.656200,1
20-12-29,114.043800,22.647917,0
20-13-24,114.024719,22.671432,1
20-13-44,114.032204,22.633617,0
20-13-49,114.023315,22.633617,1
20-14-4,114.041649,22.648983,0
20-14-9,114.041931,22.644350,1
20-14-44,113.971466,22.676634,0
20-15-14,113.912453,22.667683,1
20-15-49,113.875786,22.670418,0
20-16-59,114.024048,22.670967,1
20-17-14,114.048332,22.670517,0
20-17-24,114.035881,22.655333,1
20-17-39,114.025047,22.655399,0
20-18-9,114.038666,22.646299,1
20-18-19,114.020203,22.656334,0
20-18-49,114.021965,22.659000,1
20-18-59,114.028069,22.645433,0
20-19-4,114.022369,22.642317,1
20-19-29,114.026871,22.672850,0
20-21-4,114.032387,22.634184,1
20-21-39,114.045937,22.642467,0
20-22-19,114.009819,22.662466,1
20-22-29,113.987953,22.676750,0
20-23-15,114.102203,22.626682,1
20-23-20,114.109299,22.631001,0
21-0-20,114.030113,22.617950,1
21-0-25,114.027718,22.644650,0
21-1-35,114.017166,22.665100,1
21-1-45,114.038803,22.641350,0
21-1-55,114.045883,22.639450,1
21-2-0,114.034164,22.642750,0
21-2-10,114.022682,22.643017,1
21-2-15,114.027367,22.645166,0
21-4-45,114.020081,22.661034,1
21-4-50,114.027985,22.667500,0
21-6-31,114.043449,22.600866,1
21-6-36,114.029785,22.618418,0
21-6-51,114.027649,22.661783,1
21-7-11,114.058517,22.637783,0
21-7-16,114.061249,22.648884,1
21-7-21,114.054947,22.635967,0
21-8-16,114.038200,22.669733,1
21-8-26,114.048180,22.670401,0
21-8-36,114.036064,22.675734,1
21-8-46,114.026031,22.672768,0
21-9-1,114.032814,22.640783,1
21-9-26,114.041054,22.651266,0
21-9-31,114.030548,22.664583,1
21-10-6,114.028633,22.665916,0
21-12-14,114.043633,22.648001,1
21-14-7,114.016899,22.665417,0
21-14-42,114.025703,22.672567,1
21-15-37,114.116730,22.621218,0
21-15-52,114.069931,22.656233,1
21-15-57,114.067230,22.660233,0
21-16-27,114.031815,22.663082,1
21-16-57,114.034485,22.647766,0
21-17-7,114.026604,22.661900,1
21-17-12,114.025101,22.671133,0
21-17-22,114.041565,22.650999,1
21-17-42,114.034615,22.655582,0
21-18-22,114.038300,22.661266,1
21-18-32,114.038071,22.674667,0
21-19-37,114.021950,22.640766,1
21-19-52,114.045952,22.643566,0
21-20-7,114.017418,22.656567,1
21-20-17,114.012650,22.662100,0
21-20-22,114.024185,22.671083,1
21-20-27,114.026932,22.668633,0
21-20-53,114.022568,22.642517,1
21-20-58,114.024536,22.636917,0
21-21-28,114.093964,22.637716,1
21-21-33,114.075615,22.651150,0
21-21-48,114.046051,22.647867,1
21-21-58,114.027466,22.661716,0
21-23-13,114.020836,22.668583,1
21-23-18,114.019936,22.662867,0
22-0-23,114.046318,22.638350,1
22-0-33,114.014732,22.651699,0
22-4-13,114.009033,22.674982,1
22-4-18,114.003067,22.688850,0
22-7-50,113.945198,22.686167,1
22-8-20,114.026283,22.672934,0
22-8-50,114.035019,22.655132,1
22-9-10,114.044083,22.599649,0
22-9-20,114.034782,22.612232,1
22-9-25,114.034103,22.625099,0
22-9-30,114.032349,22.633183,1
22-9-50,114.025352,22.670683,0
22-10-15,114.025002,22.671783,1
22-10-45,114.032150,22.632401,0
22-11-0,114.034981,22.653833,1
22-11-25,114.026482,22.672899,0
22-11-30,114.023430,22.670616,1
22-11-51,114.047897,22.670366,0
22-11-56,114.039597,22.674101,1
22-12-51,114.029800,22.663366,0
22-13-11,114.026421,22.672951,1
22-13-31,114.049149,22.637934,0
22-13-46,114.025970,22.656000,1
22-14-6,113.987984,22.676649,0
22-14-16,114.007515,22.676582,1
22-14-57,114.035065,22.659918,0
22-15-7,114.026352,22.672916,1
22-16-37,114.056381,22.664949,0
22-17-23,114.024765,22.635851,1
22-17-48,114.055565,22.631968,0
22-17-58,114.045952,22.641701,1
22-18-3,114.045937,22.648333,0
22-20-38,114.024551,22.659317,1
22-20-58,114.018829,22.633383,0
22-21-58,114.044502,22.598867,1
22-22-8,114.027901,22.623501,0
22-22-38,114.051483,22.605167,1
22-22-48,114.048836,22.621950,0
22-23-13,114.030983,22.649450,1
22-23-23,114.025597,22.659967,0
23-1-0,114.046021,22.643250,1
23-1-10,114.017601,22.661600,0
23-2-10,114.011917,22.645567,1
23-2-15,114.015068,22.644068,0
23-6-35,114.043800,22.679783,1
23-6-50,114.044266,22.715799,0
23-7-5,114.036415,22.648100,1
23-7-20,114.034554,22.644800,0
23-7-55,114.027565,22.668118,1
23-8-20,114.025818,22.674417,0
23-8-25,114.041946,22.683849,1
23-8-35,114.045448,22.598650,0
23-8-50,114.044800,22.608784,1
23-9-5,114.037300,22.730350,0
23-10-5,114.025269,22.674549,1
23-10-55,114.037819,22.650784,0
23-11-0,114.028519,22.658667,1
23-12-0,114.016800,22.657417,0
23-12-5,114.018570,22.662083,1
23-12-55,114.025734,22.672518,0
23-15-0,114.014786,22.665701,1
23-15-5,114.013336,22.665199,0
23-17-36,114.026352,22.672916,1
23-17-41,114.025597,22.672318,0
23-20-48,114.003868,22.654034,1
23-21-3,114.010750,22.662983,0
23-22-23,114.007835,22.648533,1
23-22-44,114.013519,22.670767,0
24-2-1,114.055885,22.619133,1
24-2-11,114.045685,22.638983,0
24-3-16,114.058533,22.644167,1
24-3-26,114.045914,22.638468,0
24-5-1,113.997902,22.662350,1
24-5-6,114.004417,22.653017,0
24-6-41,113.814613,22.651051,1
24-6-46,113.818985,22.647051,0
24-7-31,113.999084,22.660534,1
24-7-41,114.027985,22.635099,0
24-7-46,114.059982,22.638700,1
24-7-56,114.058266,22.662817,0
24-9-1,114.038284,22.654083,1
24-9-16,114.028618,22.644617,0
24-9-26,114.037849,22.652582,1
24-9-52,114.035934,22.619900,0
24-10-7,114.033783,22.660950,1
24-10-17,114.026550,22.673000,0
24-10-22,114.025169,22.671932,1
24-10-57,114.025414,22.670782,0
24-11-27,114.025581,22.670401,1
24-11-52,114.042053,22.603350,0
24-12-22,114.024483,22.665400,1
24-12-27,114.024117,22.670900,0
24-12-53,114.021919,22.651484,1
24-13-33,114.035347,22.696817,0
24-14-28,114.018852,22.655216,1
24-14-53,114.024933,22.671368,0
24-16-28,114.031784,22.635733,1
24-16-33,114.032219,22.633633,0
24-17-33,114.032150,22.679800,1
24-18-3,114.045952,22.641451,0
24-18-13,114.038383,22.652050,1
24-18-23,114.025970,22.654499,0
24-19-44,113.989166,22.669750,1
24-20-4,114.036697,22.618299,0
