time,jd,wd,status
18-6,114.027603,22.661432,1
18-7,114.027786,22.661734,0
18-7,114.023567,22.646784,1
18-8,114.039536,22.651833,0
18-8,114.042931,22.632767,1
18-8,114.029869,22.650249,0
18-8,114.021652,22.639668,1
18-9,114.025681,22.660116,0
18-9,114.026451,22.660900,1
18-9,114.017464,22.656767,0
18-9,114.006104,22.661051,1
18-9,113.992104,22.666134,0
18-10,114.006615,22.661016,1
18-10,114.020882,22.668650,0
18-12,114.041603,22.651033,1
18-12,114.042603,22.603117,0
18-12,114.035614,22.621117,1
18-12,114.032265,22.633850,0
18-12,114.030670,22.664600,1
18-13,114.011169,22.667316,0
18-13,114.029831,22.659634,1
18-14,114.033051,22.629168,0
18-17,114.023300,22.657284,1
18-17,114.018364,22.662001,0
18-18,114.018181,22.663700,1
18-18,114.028198,22.623466,0
18-18,114.025116,22.636450,1
18-18,114.021332,22.638483,0
18-19,114.043480,22.650499,1
18-20,114.007500,22.653584,0
18-22,114.028183,22.661266,1
18-22,114.016617,22.656866,0
18-22,114.024780,22.655518,1
18-22,114.025635,22.640417,0
19-5,114.030029,22.665117,1
19-5,114.026367,22.660717,0
19-7,113.998497,22.662382,1
19-8,113.916481,22.648800,0
19-8,113.915031,22.652666,1
19-9,113.894836,22.567101,0
19-12,113.916168,22.655333,1
19-12,113.925865,22.678133,0
19-13,113.964966,22.698851,1
19-13,113.984482,22.692833,0
19-18,114.025200,22.719618,1
19-18,114.020447,22.731882,0
19-19,114.034714,22.687450,1
19-19,114.026398,22.672934,0
19-19,114.021980,22.658783,1
19-20,114.038864,22.646116,0
19-20,114.038200,22.669701,1
19-20,114.050331,22.672199,0
19-22,114.025864,22.645700,1
19-22,114.004684,22.661100,0
19-22,113.997948,22.662483,1
20-0,114.047432,22.604116,0
20-2,114.020950,22.652184,1
20-2,114.038483,22.654333,0
20-7,114.010582,22.657482,1
20-7,114.009552,22.650551,0
20-8,113.846420,22.632334,1
20-8,113.859451,22.653282,0
20-9,114.012497,22.662251,1
20-10,114.026070,22.651400,0
20-11,114.030983,22.664066,1
20-11,114.025818,22.639549,0
20-16,114.027763,22.645149,1
20-17,114.029518,22.644234,0
20-17,114.022903,22.658001,1
20-18,114.017830,22.666451,0
20-20,113.997169,22.662867,1
20-20,113.979431,22.676600,0
20-21,114.033546,22.677099,1
20-21,114.023918,22.665751,0
20-23,114.016800,22.665716,1
20-23,114.015198,22.668966,0
20-23,114.002434,22.661301,1
21-0,114.036118,22.647284,0
21-2,114.010414,22.663050,1
21-2,113.994102,22.668016,0
21-5,113.894318,22.659218,1
21-5,113.817833,22.646032,0
21-5,113.858650,22.627367,1
21-5,113.940430,22.683451,0
21-6,114.009979,22.645250,1
21-6,114.020103,22.649450,0
21-7,114.003281,22.661066,1
21-8,114.017235,22.666349,0
21-8,114.021118,22.663717,1
21-9,113.979469,22.680017,0
21-9,113.990234,22.681683,1
21-9,114.011818,22.664000,0
21-9,114.025032,22.664534,1
21-10,114.023735,22.658882,0
21-14,114.032600,22.668833,1
21-14,114.012169,22.662617,0
21-15,114.019615,22.667601,1
21-15,114.055382,22.723516,0
21-15,114.038071,22.708500,1
21-15,114.036400,22.706284,0
21-16,114.028786,22.658234,1
21-16,114.043816,22.603132,0
21-17,114.035233,22.622850,1
21-17,114.045731,22.638399,0
21-17,114.043381,22.650517,1
21-17,114.024399,22.665600,0
21-19,114.038536,22.652567,1
21-19,114.025734,22.640417,0
21-20,114.013382,22.651382,1
21-20,114.013229,22.661516,0
21-20,114.027985,22.661350,1
21-20,114.016167,22.666018,0
21-22,114.029236,22.646482,1
21-22,114.021179,22.637518,0
22-0,114.016365,22.666050,1
22-0,114.016068,22.666750,0
22-0,114.018852,22.662201,1
22-0,114.024849,22.655466,0
22-1,114.024734,22.659599,1
22-1,114.017281,22.665051,0
22-2,114.017220,22.666367,1
22-2,113.987701,22.677334,0
22-7,114.028481,22.660784,1
22-7,114.037132,22.649616,0
22-7,114.025101,22.655167,1
22-8,114.026382,22.663168,0
22-8,114.027367,22.657101,1
22-8,114.026184,22.651434,0
22-9,114.034317,22.625601,1
22-9,114.038834,22.606867,0
22-9,114.044083,22.605249,1
22-11,114.025780,22.672167,0
22-11,114.029533,22.665783,1
22-11,114.027100,22.661249,0
22-11,114.023415,22.665350,1
22-12,114.068230,22.618567,0
22-13,114.046532,22.638384,1
22-14,114.024597,22.653467,0
22-15,114.043968,22.600183,1
22-15,114.013298,22.646418,0
22-15,114.029083,22.658283,1
22-16,114.025215,22.671967,0
22-16,114.021271,22.668966,1
22-16,113.993416,22.666166,0
22-16,113.991020,22.668051,1
22-17,114.014366,22.656700,0
22-19,114.046181,22.638468,1
22-19,114.040184,22.610901,0
22-19,114.039200,22.613783,1
22-20,114.032082,22.638767,0
22-20,114.034050,22.648067,1
22-20,114.030434,22.664551,0
22-21,114.035019,22.633400,1
22-21,114.046318,22.638517,0
22-21,114.026497,22.660500,1
22-21,114.025085,22.671568,0
22-22,114.018814,22.662582,1
22-22,114.045403,22.649151,0
22-23,114.040665,22.609383,1
22-23,114.045166,22.598383,0
22-23,114.042969,22.603184,1
22-23,114.030632,22.603268,0
23-8,114.032448,22.648617,1
23-8,114.013168,22.665733,0
23-8,114.021217,22.668432,1
23-8,114.037148,22.658333,0
23-9,114.024231,22.665751,1
23-9,114.025398,22.674700,0
23-9,114.028450,22.657932,1
23-10,114.012871,22.658449,0
23-10,114.023003,22.657551,1
23-10,114.043617,22.600500,0
23-10,114.032204,22.633499,1
23-11,114.032204,22.648533,0
23-12,114.046417,22.638416,1
23-14,113.889267,22.563433,0
23-15,113.919800,22.661699,1
23-16,113.953934,22.687866,0
23-16,114.011467,22.650333,1
23-16,114.014435,22.656366,0
23-16,114.008064,22.660116,1
23-17,114.020432,22.678734,0
23-17,114.020035,22.669132,1
23-18,114.043152,22.650600,0
23-18,114.045166,22.638550,1
23-18,114.055435,22.635633,0
23-22,114.061531,22.652416,1
23-22,114.025116,22.640484,0
23-23,114.077133,22.648067,1
24-0,114.097237,22.611183,0
24-0,114.045464,22.631866,1
24-0,114.113281,22.599983,0
24-1,114.125717,22.613733,1
24-1,114.119652,22.620951,0
24-2,114.153564,22.617132,1
24-2,114.143204,22.609617,0
24-2,114.063004,22.637867,1
24-2,114.062553,22.654301,0
24-4,114.112267,22.603533,1
24-4,114.096169,22.633467,0
24-5,114.027649,22.657232,1
24-5,114.021202,22.657284,0
24-7,114.013550,22.659718,1
24-7,114.018585,22.667049,0
24-8,114.039932,22.645517,1
24-8,114.043152,22.650499,0
24-8,114.038834,22.652067,1
24-8,114.025116,22.664749,0
24-8,114.026115,22.656450,1
24-8,114.032249,22.648617,0
24-8,114.032303,22.648518,1
24-9,114.027702,22.652166,0
24-9,114.026970,22.661133,1
