time,jd,wd,status
18-0,114.119667,22.540649,1
18-0,114.081985,22.538218,0
18-0,114.085564,22.540667,1
18-0,114.097099,22.541250,0
18-0,114.119934,22.540867,1
18-0,114.074165,22.538383,0
18-1,114.120003,22.540817,1
18-1,114.042336,22.529751,0
18-1,114.119934,22.540632,1
18-1,114.130852,22.550850,0
18-2,114.119904,22.540333,1
18-2,114.119370,22.551666,0
18-2,114.119720,22.540733,1
18-2,114.124420,22.541782,0
18-6,114.033516,22.518551,1
18-7,114.043480,22.557716,0
18-7,114.042450,22.544483,1
18-7,114.057587,22.549417,0
18-7,114.099686,22.541149,1
18-7,114.113167,22.535601,0
18-8,114.113380,22.534283,1
18-8,114.117065,22.548134,0
18-8,114.117599,22.548018,1
18-8,114.105835,22.540100,0
18-8,114.106384,22.542601,1
18-8,114.044319,22.511017,0
18-8,114.042549,22.514383,1
18-8,114.052582,22.512966,0
18-9,114.057365,22.514683,1
18-9,114.056664,22.535299,0
18-9,114.056618,22.535534,1
18-9,114.056000,22.536034,0
18-9,114.059799,22.525084,1
18-9,114.068436,22.523899,0
18-9,114.067520,22.524300,1
18-9,114.058418,22.536783,0
18-9,114.058250,22.536934,1
18-10,114.107666,22.546818,0
18-10,114.108917,22.547234,1
18-10,114.113716,22.534233,0
18-10,114.113968,22.534401,1
18-10,114.080284,22.543333,0
18-10,114.073051,22.539049,1
18-10,114.052353,22.523800,0
18-11,114.067482,22.524616,1
18-11,114.059998,22.524450,0
18-11,114.063316,22.530767,1
18-11,114.112633,22.541950,0
18-11,114.113548,22.541149,1
18-11,114.116531,22.550016,0
18-12,114.117851,22.543783,1
18-12,114.023567,22.531900,0
18-12,113.970833,22.539650,1
18-12,113.945335,22.558800,0
18-13,113.940498,22.543568,1
18-13,113.967598,22.540150,0
18-13,113.972549,22.540283,1
18-14,113.814346,22.649401,0
18-14,113.904816,22.555717,1
18-15,114.091316,22.547632,0
18-15,114.091187,22.548866,1
18-15,114.120453,22.568701,0
18-15,114.124550,22.562433,1
18-15,114.118652,22.542883,0
18-15,114.113815,22.544399,1
18-16,114.058434,22.549566,0
18-16,114.062584,22.546467,1
18-16,114.067780,22.538218,0
18-17,114.014320,22.545017,1
18-17,114.040047,22.522301,0
18-17,114.038147,22.524082,1
18-17,114.048767,22.512350,0
18-17,114.051064,22.512667,1
18-17,114.053520,22.535583,0
18-17,114.051086,22.537500,1
18-18,113.938919,22.525316,0
18-21,114.031502,22.767799,1
18-21,114.116768,22.551033,0
18-21,114.116653,22.547600,1
18-21,114.113831,22.540867,0
18-21,114.113632,22.541218,1
18-22,114.113701,22.534184,0
18-22,114.113647,22.534184,1
18-22,113.888283,22.560217,0
18-23,113.816269,22.646883,1
19-0,113.982498,22.538799,0
19-0,113.989014,22.541451,1
19-0,114.042114,22.534018,0
19-0,114.120316,22.541332,1
19-1,114.133163,22.550484,0
19-1,114.128448,22.550249,1
19-1,114.157219,22.562332,0
19-1,114.119736,22.540701,1
19-1,114.122047,22.544901,0
19-1,114.120018,22.541183,1
19-1,114.120285,22.570168,0
19-2,114.119797,22.540583,1
19-2,114.075836,22.540167,0
19-2,114.119667,22.540833,1
19-2,114.107750,22.569767,0
19-3,114.120117,22.541267,1
19-3,114.044434,22.700783,0
19-7,114.036682,22.519251,1
19-7,114.062737,22.517517,0
19-7,114.063148,22.518583,1
19-8,114.035851,22.529333,0
19-8,114.034180,22.528282,1
19-8,114.048103,22.541250,0
19-8,114.049530,22.537333,1
19-8,114.068367,22.523684,0
19-8,114.066116,22.525949,1
19-8,114.052185,22.511118,0
19-8,114.054932,22.513683,1
19-9,114.004799,22.537951,0
