time,jd,wd,status
18-0-20,114.099480,22.551567,1
18-0-32,114.058136,22.536484,0
18-1-9,114.070068,22.538549,1
18-1-29,114.026482,22.653618,0
18-1-41,114.022331,22.636700,1
18-1-53,114.071632,22.655083,0
18-4-20,114.120384,22.552017,1
18-4-23,114.127113,22.549850,0
18-4-54,114.122818,22.551701,1
18-5-10,114.055817,22.530117,0
18-6-17,114.106415,22.541201,1
18-6-27,114.114365,22.577499,0
18-8-0,114.162903,22.562983,1
18-8-18,114.128365,22.553034,0
18-8-19,114.128899,22.552868,1
18-8-36,114.114166,22.534500,0
18-8-42,114.116486,22.549168,1
18-8-52,114.139771,22.565250,0
18-8-56,114.135002,22.565683,1
18-9-19,114.152786,22.626650,0
18-9-28,114.158615,22.611082,1
18-10-14,114.068481,22.523916,0
18-10-18,114.067535,22.524384,1
18-10-26,114.046570,22.541018,0
18-10-30,114.047852,22.539766,1
18-10-34,114.057098,22.537518,0
18-10-43,114.061363,22.531933,1
18-10-44,114.056084,22.531799,0
18-10-45,114.055397,22.531733,1
18-10-50,114.044250,22.552601,0
18-11-29,114.053032,22.651382,1
18-11-59,114.132034,22.605682,0
18-12-1,114.130653,22.606617,1
18-12-16,114.112915,22.545816,0
18-12-21,114.100883,22.554283,1
18-12-24,114.103851,22.557734,0
18-12-27,114.103867,22.557650,1
18-12-27,114.103867,22.557650,0
18-12-28,114.104050,22.555866,1
18-12-32,114.105934,22.543417,0
18-12-33,114.106697,22.541550,1
18-15-3,113.817917,22.647100,1
18-15-21,113.810219,22.603884,0
18-17-56,113.810898,22.604650,1
18-18-5,113.840118,22.607616,0
18-20-52,114.113815,22.534050,1
18-20-58,114.128632,22.550068,0
18-21-10,114.115051,22.544033,1
18-21-18,114.104767,22.541950,0
18-21-18,114.104881,22.541883,1
18-21-26,114.122467,22.548349,0
18-21-40,114.107635,22.541700,1
18-21-45,114.091202,22.541533,0
18-21-46,114.091187,22.541517,1
18-22-3,114.118851,22.569033,0
18-22-13,114.105370,22.543333,1
18-22-19,114.094070,22.543449,0
18-22-33,114.081985,22.549299,1
18-22-39,114.076317,22.540283,0
18-22-41,114.076149,22.540300,1
18-22-46,114.057953,22.537100,0
18-22-54,114.058151,22.535933,1
18-22-56,114.056915,22.527666,0
18-23-11,114.066963,22.525351,1
18-23-14,114.071434,22.544233,0
18-23-27,114.067451,22.524050,1
18-23-36,114.033630,22.518433,0
18-23-44,114.044098,22.510799,1
18-23-57,114.000633,22.539551,0
19-0-40,114.067566,22.523899,1
19-0-47,114.058617,22.523684,0
19-1-11,114.067253,22.524767,1
19-1-18,114.113853,22.538050,0
19-1-54,114.067482,22.524317,1
19-2-6,114.127831,22.549883,0
19-2-38,114.118179,22.548134,1
19-2-41,114.108704,22.547083,0
19-3-4,114.078613,22.540382,1
19-3-10,114.107330,22.552549,0
19-6-0,114.135765,22.566549,1
19-6-3,114.121002,22.557516,0
19-6-7,114.133469,22.563717,1
19-6-13,114.108002,22.546534,0
19-6-19,114.104881,22.541468,1
19-6-25,114.068550,22.524218,0
19-6-44,114.107697,22.536833,1
19-6-49,114.113998,22.531633,0
19-8-10,114.165520,22.563032,1
19-8-52,113.919235,22.529217,0
19-8-54,113.919533,22.530466,1
19-9-31,113.816170,22.647066,0
19-14-4,113.811668,22.606716,1
19-14-12,113.827583,22.625032,0
19-15-20,113.814850,22.649782,1
19-16-4,114.084435,22.543333,0
19-16-15,114.084099,22.546400,1
19-16-24,114.067047,22.538683,0
19-16-33,114.061180,22.537666,1
19-16-56,114.029053,22.551184,0
19-17-9,114.040466,22.542032,1
19-17-25,114.114120,22.545450,0
19-17-26,114.114082,22.544800,1
19-17-30,114.122200,22.545601,0
19-17-40,114.113731,22.534201,1
19-17-54,114.118568,22.568367,0
19-17-54,114.120651,22.568916,1
19-18-11,114.134430,22.547350,0
19-18-12,114.130402,22.544867,1
19-18-24,114.136948,22.561367,0
19-18-54,114.172600,22.562550,1
19-19-0,114.176430,22.561150,0
19-19-10,114.144783,22.555599,1
19-19-38,114.074669,22.537550,0
19-19-39,114.074730,22.537466,1
19-19-51,114.063469,22.517433,0
19-19-58,114.063271,22.518732,1
