time,jd,wd,status
18-6-47,113.816437,22.646500,0
18-7-25,113.895554,22.563450,1
18-7-52,113.939285,22.542566,0
18-7-57,113.963097,22.541817,1
18-8-8,114.013786,22.539417,0
18-8-9,114.013817,22.539583,1
18-8-14,114.008034,22.542967,0
18-9-38,114.093719,22.568382,1
18-9-59,114.055817,22.531816,0
18-10-31,114.004852,22.536633,1
18-10-47,113.923164,22.521017,0
18-11-6,113.918915,22.504917,1
18-11-33,114.104866,22.542299,0
18-11-33,114.105019,22.542549,1
18-11-50,114.058731,22.549383,0
18-11-56,114.057915,22.545401,1
18-12-57,114.033981,22.617300,0
18-13-3,114.038132,22.615168,1
18-13-6,114.042198,22.608950,0
18-13-13,114.037697,22.608683,1
18-13-18,114.034035,22.617567,0
18-13-21,114.038216,22.614750,1
18-13-33,114.080650,22.557182,0
18-13-43,114.081436,22.543249,1
18-13-49,114.062836,22.549282,0
18-14-0,114.044685,22.557751,1
18-14-11,114.038368,22.523968,0
18-14-23,114.006798,22.537001,1
18-14-59,113.962067,22.534117,0
18-15-0,113.962151,22.534201,1
18-15-6,113.946152,22.537201,0
18-15-9,113.940735,22.540300,1
18-15-18,113.926987,22.546534,0
18-15-22,113.930870,22.543350,1
18-15-27,113.941582,22.546183,0
18-15-27,113.941765,22.546133,1
18-15-40,113.895630,22.558867,0
18-15-45,113.904648,22.555033,1
18-15-54,113.914452,22.527901,0
18-15-55,113.912468,22.526350,1
18-16-4,113.924080,22.516117,0
18-16-7,113.922066,22.515667,1
18-16-15,113.927719,22.510717,0
18-16-16,113.927696,22.510782,1
18-16-25,113.917885,22.499100,0
18-17-13,113.924667,22.531233,1
18-17-18,113.931602,22.521000,0
18-17-22,113.924965,22.529249,1
18-17-35,113.873032,22.618784,0
18-19-5,113.915436,22.542217,1
18-19-55,114.027031,22.538683,0
18-21-16,113.946716,22.560301,1
18-21-19,113.941864,22.557199,0
18-21-23,113.939163,22.555782,1
18-21-45,113.907585,22.677467,0
18-22-24,114.032051,22.526333,1
18-22-25,114.032982,22.522766,0
18-22-27,114.032333,22.523167,1
18-22-33,114.068382,22.523718,0
18-22-39,114.038452,22.531017,1
18-22-45,114.007866,22.538183,0
18-22-48,113.997765,22.535418,1
18-22-54,113.961601,22.522917,0
18-23-6,113.918015,22.520832,1
18-23-9,113.910599,22.518732,0
18-23-11,113.910568,22.518650,1
18-23-15,113.914230,22.534983,0
18-23-16,113.915047,22.540783,1
18-23-23,113.963501,22.543417,0
18-23-29,113.950333,22.541582,1
18-23-38,113.910149,22.531384,0
19-0-15,113.917282,22.543266,1
19-0-33,114.039383,22.522350,0
19-6-40,113.918930,22.544117,1
19-6-42,113.934631,22.541849,0
19-6-44,113.934700,22.542133,1
19-6-52,114.008820,22.536633,0
19-6-57,114.001419,22.536583,1
19-7-25,113.816071,22.647182,0
19-9-14,113.814682,22.650618,1
19-9-24,113.889503,22.658751,0
19-10-29,114.022369,22.650801,1
19-10-57,114.044952,22.557983,0
19-10-58,114.044220,22.557117,1
19-11-9,114.099281,22.555099,0
19-11-10,114.099297,22.553667,1
19-11-24,114.099586,22.549417,0
19-11-28,114.099419,22.547983,1
19-11-38,114.111183,22.542816,0
19-11-45,114.090736,22.538218,1
19-11-57,114.059280,22.527250,0
19-12-3,114.054550,22.531668,1
19-12-16,113.961868,22.546967,0
19-12-20,113.963768,22.543583,1
19-12-27,113.991936,22.541218,0
19-12-30,113.991364,22.542351,1
19-13-3,113.814903,22.649233,0
19-14-4,113.910034,22.528383,1
19-14-16,113.924271,22.549150,0
19-14-21,113.918900,22.543882,1
19-14-25,113.928230,22.547768,0
19-14-31,113.938187,22.542982,1
19-15-9,113.848770,22.591949,0
19-15-30,113.894783,22.564466,1
19-15-41,113.933586,22.548117,0
19-15-44,113.938080,22.546118,1
19-16-5,114.046936,22.540934,0
19-16-7,114.045013,22.539316,1
19-16-11,114.039330,22.544100,0
19-16-46,113.916786,22.543533,1
19-17-10,113.899803,22.480516,0
19-17-17,113.908981,22.485649,1
19-17-20,113.904480,22.488632,0
19-17-22,113.907204,22.488268,1
19-17-46,113.951401,22.523649,0
19-18-19,114.113815,22.537983,1
19-18-33,114.084785,22.537666,0
19-18-38,114.082550,22.540783,1
19-18-41,114.078049,22.538834,0
