time,jd,wd,status
18-0,113.816048,22.647751,1
18-0,114.008148,22.551582,0
18-1,114.044930,22.525583,1
18-1,114.043503,22.555250,0
18-1,114.043480,22.554934,1
18-1,114.113647,22.541599,0
18-3,114.045052,22.525650,1
18-3,114.056053,22.520567,0
18-6,114.047165,22.525682,1
18-6,114.063271,22.519266,0
18-7,114.106384,22.546333,1
18-7,114.056213,22.531816,0
18-7,114.050301,22.527599,1
18-7,114.063065,22.536766,0
18-7,114.067070,22.538433,1
18-7,114.071053,22.526182,0
18-7,114.080948,22.536467,1
18-8,114.060516,22.527582,0
18-8,114.060600,22.529383,1
18-8,114.058502,22.545500,0
18-8,114.062965,22.539383,1
18-8,114.050766,22.547667,0
18-8,114.045952,22.558500,1
18-8,114.115517,22.558599,0
18-8,114.116898,22.558683,1
18-9,114.079636,22.556433,0
18-9,114.078064,22.554382,1
18-9,114.007118,22.542168,0
18-9,113.908699,22.574333,1
18-10,113.989716,22.535517,0
18-10,114.015114,22.537533,1
18-10,113.914619,22.499300,0
18-11,113.915314,22.500084,1
18-11,114.111069,22.535334,0
18-11,114.111099,22.535816,1
18-11,114.112717,22.541967,0
18-11,114.118431,22.540632,1
18-11,114.132568,22.568300,0
18-11,114.129700,22.558901,1
18-12,114.135536,22.564632,0
18-12,114.130249,22.550900,1
18-13,114.115486,22.535217,0
18-13,114.114098,22.536501,1
18-13,114.134964,22.568382,0
18-13,114.133118,22.563450,1
18-13,114.126785,22.554350,0
18-13,114.126816,22.554100,1
18-13,114.139603,22.603216,0
18-13,114.138115,22.607033,1
18-14,114.143814,22.555283,0
18-14,114.128998,22.545650,1
18-14,114.116096,22.542168,0
18-14,114.119514,22.540518,1
18-14,114.141151,22.547167,0
18-14,114.142448,22.550234,1
18-15,114.055435,22.537617,0
18-15,114.054604,22.537550,1
18-15,114.020447,22.532333,0
18-16,114.043701,22.604584,1
18-16,114.101463,22.558233,0
18-16,114.101585,22.557850,1
18-16,114.110115,22.556217,0
18-16,114.109680,22.554068,1
18-16,114.097183,22.566299,0
18-16,114.096313,22.566299,1
18-17,114.108047,22.541451,0
18-17,114.109818,22.541634,1
18-17,114.015282,22.545317,0
18-17,114.008331,22.548599,1
18-17,114.046829,22.601917,0
18-17,114.045601,22.604267,1
18-18,114.097153,22.538000,0
18-18,114.111153,22.534883,1
18-19,114.038567,22.518232,0
18-19,114.038002,22.518482,1
18-19,114.048065,22.537268,0
18-19,114.045753,22.537382,1
18-20,113.814819,22.651318,0
18-21,113.816132,22.647333,1
18-21,113.906731,22.585167,0
18-22,114.113731,22.534349,1
18-22,114.100868,22.557716,0
18-22,114.111366,22.533882,1
18-22,114.232880,22.550751,0
18-23,114.113449,22.533850,1
18-23,114.107834,22.537333,0
18-23,114.067635,22.526833,1
18-23,114.099403,22.541033,0
19-1,114.075203,22.532017,1
19-1,113.847351,22.593718,0
19-6,114.045013,22.525482,1
19-6,114.124115,22.547483,0
19-7,114.110680,22.587099,1
19-8,114.088982,22.551800,0
19-8,114.087730,22.553932,1
19-8,114.009735,22.547934,0
19-8,114.011887,22.543682,1
19-8,114.061485,22.542583,0
19-8,114.066467,22.538668,1
19-8,114.062599,22.547268,0
19-8,114.062668,22.546667,1
19-9,114.056351,22.535383,0
19-9,114.059715,22.526016,1
19-9,114.051453,22.533484,0
19-9,114.044930,22.529133,1
19-9,114.058296,22.536882,0
19-9,114.058784,22.525883,1
19-9,113.977470,22.539516,0
19-9,113.978233,22.540367,1
19-10,113.985367,22.537849,0
19-10,114.001297,22.537100,1
19-10,113.946587,22.541834,0
19-10,113.947914,22.541782,1
19-10,113.961914,22.538868,0
19-10,113.979897,22.535732,1
19-10,114.006783,22.549084,0
19-10,114.008347,22.548401,1
19-11,114.021950,22.540583,0
19-11,114.019333,22.540533,1
19-11,114.039833,22.547016,0
19-11,114.040001,22.547483,1
19-11,114.080353,22.557632,0
19-11,114.080818,22.557234,1
19-11,114.102783,22.561567,0
19-11,114.102402,22.561617,1
19-11,114.098434,22.577618,0
19-11,114.098083,22.575817,1
19-11,114.111732,22.587099,0
19-12,114.032730,22.571033,1
19-12,114.068481,22.523884,0
19-12,114.072037,22.530216,1
19-12,114.115967,22.542351,0
19-13,114.120850,22.547033,1
19-13,114.103882,22.570200,0
19-13,114.103867,22.566717,1
19-14,113.790985,22.680500,0
19-15,113.856369,22.616699,1
19-16,113.902733,22.589417,0
19-16,114.106682,22.540182,1
19-16,114.068382,22.524200,0
19-16,114.067520,22.524633,1
19-16,114.070053,22.547916,0
19-16,114.072586,22.547899,1
19-16,114.093231,22.570250,0
19-16,114.079964,22.558517,1
19-17,114.048767,22.569151,0
19-17,114.048782,22.568199,1
19-17,114.062347,22.571182,0
19-17,114.057617,22.562532,1
19-17,113.981651,22.559616,0
19-17,114.011597,22.534033,1
19-17,114.012619,22.535784,0
19-17,114.012016,22.533251,1
19-18,114.081436,22.549168,0
19-18,114.080147,22.549084,1
19-18,114.062119,22.520367,0
19-19,114.049332,22.541018,1
19-19,114.069832,22.547899,0
19-19,114.073364,22.547684,1
19-19,114.122803,22.548201,0
19-19,114.117630,22.544067,1
19-20,114.102654,22.540333,0
19-20,114.102654,22.540434,1
19-20,114.112350,22.547701,0
19-20,114.112366,22.547716,1
19-20,114.114182,22.534733,0
19-20,114.114304,22.535618,1
19-20,114.118118,22.558233,0
19-20,114.110786,22.547817,1
19-20,114.103119,22.552601,0
19-20,114.099670,22.552099,1
19-21,114.062820,22.519150,0
19-21,114.060669,22.518932,1
19-21,114.024902,22.527416,0
19-21,114.045265,22.541567,1
19-21,114.030998,22.564266,0
19-21,114.051033,22.547951,1
19-22,114.021233,22.529499,0
19-22,114.022751,22.531767,1
19-22,113.961983,22.571234,0
19-22,113.976334,22.563101,1
19-22,114.087868,22.544550,0
19-22,114.080002,22.543301,1
19-22,114.075371,22.540117,0
19-23,114.075798,22.536583,1
19-23,114.095184,22.540001,0
19-23,114.112000,22.531483,1
19-23,114.112534,22.607700,0
19-23,114.111885,22.531317,1
19-23,114.086632,22.539167,0
21-0,114.111664,22.532482,1
21-0,114.104431,22.557068,0
21-0,114.057014,22.526367,1
21-0,114.068481,22.523867,0
21-0,114.051201,22.528683,1
21-0,114.021103,22.530367,0
21-1,114.045715,22.525650,1
21-1,114.063286,22.525917,0
21-2,114.045364,22.525499,1
21-2,114.045235,22.525566,0
21-5,113.992516,22.534483,1
21-6,114.080452,22.557768,0
21-6,114.061714,22.525883,1
21-6,114.101700,22.541201,0
21-7,114.121315,22.569099,1
21-7,114.102135,22.542767,0
21-7,114.103767,22.540466,1
21-7,114.114014,22.531633,0
21-8,114.109184,22.601982,1
21-9,114.071320,22.527000,0
21-9,114.072067,22.530167,1
21-9,114.111084,22.535400,0
21-9,114.112381,22.531584,1
21-9,114.113770,22.543283,0
21-9,114.113480,22.542618,1
21-9,114.166252,22.568434,0
21-9,114.164497,22.566799,1
21-9,114.099670,22.540983,0
21-9,114.111336,22.533567,1
21-10,114.069534,22.527700,0
21-10,114.072220,22.530149,1
21-10,114.069084,22.526699,0
21-11,114.043182,22.521183,1
21-11,114.166382,22.561768,0
21-11,114.170815,22.566116,1
21-11,114.171753,22.561733,0
21-11,114.168518,22.562933,1
21-12,114.115318,22.535351,0
21-12,114.112000,22.537832,1
21-12,114.122917,22.548582,0
21-12,114.122917,22.548550,1
21-12,114.111298,22.532949,0
21-12,114.110970,22.536249,1
21-12,114.128632,22.579500,0
21-13,114.142220,22.609533,1
21-13,114.100929,22.551901,0
21-13,114.105568,22.553600,1
21-13,114.114052,22.531782,0
21-14,113.904564,22.531651,1
21-14,113.915085,22.540951,0
21-14,113.915497,22.542967,1
21-14,113.923447,22.591867,0
21-15,113.955521,22.571083,1
21-15,113.909866,22.541201,0
21-15,113.910118,22.539818,1
21-15,114.111664,22.539482,0
21-15,114.112930,22.535833,1
21-16,114.084015,22.571583,0
21-16,114.080414,22.573868,1
21-16,114.069435,22.551184,0
21-16,114.068947,22.551149,1
21-16,114.125618,22.552668,0
21-16,114.125664,22.552549,1
21-17,114.080666,22.543234,0
21-17,114.079697,22.543217,1
21-17,114.009598,22.534883,0
21-17,114.007950,22.534218,1
21-17,114.031197,22.524433,0
21-17,114.042419,22.520933,1
21-17,114.028503,22.522583,0
21-17,114.028549,22.522568,1
21-17,114.050034,22.535151,0
21-17,114.050003,22.535299,1
21-18,114.069870,22.528500,0
21-18,114.071831,22.530550,1
21-18,114.069183,22.526684,0
21-18,114.067886,22.527651,1
21-18,114.051620,22.526768,0
21-18,114.051300,22.535433,1
21-18,114.038918,22.524317,0
21-18,114.043335,22.523367,1
21-19,114.051949,22.569616,0
21-19,114.054085,22.568649,1
21-19,114.041466,22.550617,0
21-19,114.047180,22.541018,1
21-19,114.068085,22.524384,0
21-19,114.067451,22.524267,1
21-19,114.053185,22.537533,0
21-20,114.045280,22.540983,1
21-20,114.036385,22.566299,0
21-20,114.043686,22.545933,1
21-20,114.049583,22.562500,0
21-20,114.055336,22.549467,1
21-20,114.039803,22.548683,0
21-20,114.044601,22.540817,1
21-20,114.029648,22.530634,0
21-20,114.028633,22.530718,1
21-21,114.018166,22.539551,0
21-21,114.018646,22.540518,1
21-21,114.029030,22.532801,0
21-21,114.021751,22.536484,1
21-21,114.031731,22.523300,0
21-21,114.035530,22.524750,1
21-22,113.964287,22.550867,0
21-22,113.961136,22.534134,1
21-22,113.950180,22.570383,0
21-22,113.969116,22.539801,1
21-22,114.024536,22.528633,0
21-22,114.043114,22.530916,1
21-23,114.064697,22.551132,0
21-23,114.060600,22.537701,1
21-23,114.059685,22.525784,0
21-23,114.060486,22.522600,1
21-23,114.025620,22.524151,0
21-23,114.023720,22.530718,1
21-23,114.056816,22.530149,0
21-23,114.051552,22.528650,1
22-0,114.051666,22.528467,0
22-0,114.051430,22.529367,1
22-0,114.038963,22.524332,0
22-1,114.064064,22.571083,1
22-1,114.081413,22.572233,0
22-4,114.045052,22.525650,1
22-4,114.068481,22.523933,0
22-6,114.045349,22.525600,1
22-6,114.061668,22.529400,0
22-7,114.121696,22.573883,1
22-7,114.116699,22.541317,0
22-7,114.121384,22.543600,1
22-7,114.122734,22.558033,0
22-8,114.117554,22.560232,1
22-8,114.084099,22.558533,0
22-8,114.062935,22.546766,1
22-8,114.068382,22.523718,0
22-8,114.067383,22.524668,1
22-9,114.130898,22.580217,0
22-9,114.130585,22.581900,1
22-9,114.092247,22.543234,0
22-9,114.091301,22.544718,1
22-9,114.089752,22.564449,0
22-9,114.089600,22.561317,1
22-9,114.078613,22.542933,0
22-9,114.081818,22.542500,1
22-10,114.056351,22.537451,0
22-10,114.071686,22.530367,1
22-10,114.135246,22.545717,0
22-10,114.134781,22.546183,1
22-11,114.115021,22.534468,0
22-11,114.119614,22.538483,1
22-11,114.080467,22.545300,0
22-11,114.081749,22.543333,1
22-11,114.110435,22.546450,0
22-11,114.113068,22.549650,1
22-12,114.063148,22.538317,0
22-12,114.063416,22.537701,1
22-12,114.072220,22.530750,0
22-12,114.077721,22.532482,1
22-12,114.111298,22.547750,0
22-12,114.112152,22.547701,1
22-12,114.134979,22.570333,0
22-12,114.136368,22.569782,1
22-12,114.127785,22.551832,0
22-12,114.128265,22.550301,1
22-13,114.112717,22.535883,0
22-13,114.112396,22.536118,1
22-13,114.136948,22.571716,0
22-13,114.136917,22.571733,1
22-13,114.113136,22.584534,0
22-13,114.112000,22.585751,1
22-13,114.092033,22.551800,0
22-13,114.101280,22.555384,1
22-13,114.097931,22.543533,0
22-13,114.096268,22.543367,1
22-14,114.120148,22.573767,0
22-15,114.299980,22.595949,1
22-15,114.254051,22.578016,0
22-15,114.230934,22.559099,1
22-15,114.139366,22.549932,0
22-17,113.945686,22.506550,1
22-17,113.919685,22.509666,0
22-17,113.923370,22.520849,1
22-18,114.068481,22.523916,0
22-18,114.071716,22.530451,1
22-18,114.062119,22.520367,0
22-18,114.061951,22.519951,1
22-18,114.042183,22.530117,0
22-18,114.042015,22.530100,1
22-19,114.050079,22.511700,0
22-19,114.049950,22.512350,1
22-19,114.037567,22.565866,0
22-19,114.037483,22.565849,1
22-19,114.053703,22.570967,0
22-19,114.055801,22.571117,1
22-20,114.039001,22.613832,0
22-20,114.043633,22.600533,1
22-21,114.113586,22.539682,0
22-21,114.111847,22.539083,1
22-21,114.114098,22.534582,0
22-21,114.114166,22.534250,1
22-21,114.117516,22.538433,0
22-21,114.117485,22.539900,1
22-21,114.113998,22.542450,0
22-21,114.111183,22.536066,1
22-22,114.106148,22.541416,0
22-22,114.104584,22.543167,1
22-22,114.113998,22.532118,0
22-22,114.113365,22.534201,1
22-22,114.135635,22.614567,0
22-22,114.115219,22.602516,1
22-23,114.085533,22.540716,0
22-23,114.086998,22.540833,1
22-23,114.115448,22.542732,0
22-23,114.113052,22.542150,1
22-23,114.146202,22.556049,0
23-0,114.111130,22.535633,1
23-0,114.041397,22.551950,0
23-0,114.039864,22.551018,1
23-0,114.034569,22.528084,0
23-1,114.045036,22.525618,1
23-1,114.038635,22.524151,0
23-1,114.045166,22.525850,1
23-1,113.927536,22.546350,0
23-6,114.044899,22.529484,1
23-6,114.114983,22.534866,0
23-7,114.102135,22.572250,1
23-7,114.056267,22.537251,0
23-7,114.057869,22.546383,1
23-7,114.081169,22.558750,0
23-7,114.049599,22.562599,1
23-8,114.094536,22.558300,0
23-8,114.099251,22.566168,1
23-8,114.127068,22.575701,0
23-8,114.128197,22.574917,1
23-8,113.928780,22.636551,0
23-9,113.942596,22.583700,1
23-9,113.928169,22.548683,0
23-9,113.944748,22.547567,1
23-9,113.995667,22.527849,0
23-10,114.029251,22.521250,1
23-10,114.051201,22.528799,0
23-10,114.049103,22.518284,1
23-10,114.047798,22.567350,0
23-10,114.048332,22.567383,1
23-11,114.054916,22.573017,0
23-11,114.054482,22.571234,1
23-11,114.037369,22.575483,0
23-11,114.039917,22.570168,1
23-11,114.053566,22.537382,0
23-11,114.049866,22.535366,1
23-11,114.075050,22.542732,0
23-11,114.075836,22.542233,1
23-11,114.079498,22.543016,0
23-11,114.051231,22.531651,1
23-12,114.101402,22.558250,0
23-12,114.099915,22.555050,1
23-12,114.081749,22.551832,0
23-12,114.081635,22.552000,1
23-12,114.089920,22.551849,0
23-12,114.088531,22.551783,1
23-12,114.102936,22.592167,0
23-12,114.104301,22.588783,1
23-13,113.976730,22.565651,0
23-13,113.978699,22.563601,1
23-13,114.044083,22.565683,0
23-13,114.039581,22.564199,1
23-13,114.049751,22.527782,0
23-13,114.050613,22.518183,1
23-14,114.047935,22.539932,0
23-14,114.047600,22.539801,1
23-14,114.040718,22.515467,0
23-14,114.051567,22.511467,1
23-14,114.035698,22.542049,0
23-14,114.035614,22.542450,1
23-14,114.034264,22.549116,0
23-14,114.034981,22.545282,1
23-14,114.062767,22.517550,0
23-15,114.062798,22.517750,1
23-15,113.815987,22.647333,0
23-16,113.816185,22.647417,1
23-16,113.943130,22.530783,0
23-16,113.949165,22.542650,1
23-17,114.039566,22.613001,0
23-17,114.041534,22.603683,1
23-17,114.044868,22.597183,0
23-17,114.045197,22.596884,1
23-18,114.047234,22.542801,0
23-18,114.051003,22.537434,1
23-18,114.046051,22.558599,0
23-18,114.045097,22.527750,1
23-18,114.040535,22.549833,0
23-18,114.044350,22.550900,1
23-19,114.080383,22.581400,0
23-19,114.084198,22.570566,1
23-19,114.124535,22.541733,0
23-19,114.115334,22.534817,1
23-19,114.128632,22.550301,0
23-19,114.111465,22.532766,1
23-20,114.115166,22.545782,0
23-20,114.111603,22.532967,1
23-20,114.122551,22.548283,0
23-20,114.111618,22.532818,1
23-21,114.081131,22.532667,0
23-21,114.111336,22.534901,1
23-21,114.166801,22.571568,0
23-21,114.170914,22.564667,1
23-21,114.119949,22.544600,0
23-21,114.119232,22.543966,1
23-21,114.113815,22.537451,0
23-21,114.113335,22.535749,1
23-21,114.111351,22.532900,0
23-22,114.111984,22.531433,1
23-22,114.110283,22.547750,0
23-22,114.110565,22.547783,1
23-22,114.129898,22.579567,0
23-22,114.110214,22.547716,1
23-23,114.107651,22.569616,0
23-23,114.106949,22.565117,1
23-23,114.111931,22.537817,0
23-23,114.114548,22.533882,1
23-23,114.113953,22.546717,0
23-23,114.114136,22.546682,1
23-23,114.119720,22.538651,0
23-23,114.113419,22.534533,1
24-0,114.035583,22.614883,0
24-0,114.036552,22.617067,1
24-0,114.062935,22.535133,0
24-1,114.045067,22.525667,1
24-1,114.068497,22.524067,0
24-1,114.066986,22.525600,1
24-1,114.047867,22.538116,0
24-2,114.045517,22.525633,1
24-2,114.053299,22.525818,0
24-2,114.053970,22.525967,1
24-2,114.041367,22.527666,0
24-2,114.040970,22.529484,1
24-2,114.046181,22.567417,0
24-3,114.045166,22.525633,1
24-3,114.047363,22.537382,0
24-3,114.046333,22.525682,1
24-3,114.052834,22.528450,0
24-3,114.045097,22.525766,1
24-3,114.113716,22.543949,0
24-3,114.113518,22.543167,1
24-3,114.100403,22.541166,0
24-7,113.817650,22.646017,1
24-7,113.943283,22.675333,0
24-8,114.017532,22.656567,1
24-8,114.081436,22.549883,0
24-8,114.044029,22.556984,1
24-8,114.057999,22.536318,0
24-9,114.049553,22.525932,1
24-9,114.050636,22.551332,0
24-9,114.044601,22.557667,1
24-9,114.062500,22.527967,0
24-9,114.042664,22.519016,1
24-10,114.116951,22.563499,0
24-10,114.110786,22.558800,1
24-10,114.055801,22.535601,0
24-10,114.044296,22.533882,1
24-10,114.043297,22.523600,0
24-11,114.043716,22.520866,1
24-11,113.986084,22.561483,0
24-11,113.979050,22.561684,1
24-11,113.940720,22.532232,0
24-12,113.952065,22.543100,1
24-12,114.029617,22.566050,0
24-12,114.030365,22.567249,1
24-12,114.051987,22.549383,0
24-12,114.054832,22.549450,1
24-12,114.002563,22.538601,0
24-13,114.049271,22.542482,1
