time,jd,wd,status
18-0,114.084213,22.540850,1
18-0,114.069801,22.528549,0
18-0,114.074265,22.538099,1
18-0,114.081970,22.541750,0
18-1,114.090866,22.543217,1
18-1,114.109497,22.546833,0
18-1,114.118652,22.540983,1
18-1,114.135666,22.620367,0
18-4,114.113533,22.534201,1
18-5,114.213684,22.706984,0
18-5,114.224617,22.702118,1
18-5,114.247765,22.720800,0
18-6,114.110367,22.588432,1
18-6,114.109352,22.610567,0
18-7,114.106903,22.552933,1
18-7,114.086685,22.540518,0
18-7,114.089630,22.541166,1
18-7,114.114754,22.534616,0
18-7,114.125519,22.552717,1
18-7,114.114868,22.534733,0
18-8,114.166763,22.563066,1
18-8,114.131317,22.577900,0
18-8,114.130302,22.578117,1
18-9,114.098900,22.567766,0
18-9,114.098999,22.566900,1
18-9,114.099113,22.565718,0
18-9,114.099152,22.567984,1
18-9,114.019768,22.533150,0
18-9,114.019630,22.532284,1
18-9,113.949486,22.573566,0
18-10,114.013931,22.537399,1
18-10,114.062752,22.517599,0
18-11,114.062569,22.518183,1
18-11,114.020836,22.536200,0
18-11,114.022331,22.536533,1
18-11,114.024048,22.527550,0
18-11,114.028435,22.526667,1
18-11,114.037483,22.541517,0
18-12,114.049934,22.535383,1
18-12,114.080948,22.549250,0
18-12,114.078835,22.549150,1
18-12,114.137230,22.581083,0
18-12,114.139267,22.579399,1
18-12,114.099533,22.577084,0
18-12,114.098579,22.575701,1
18-13,114.130920,22.554367,0
18-13,114.124451,22.564016,1
18-13,114.086403,22.567350,0
18-13,114.062752,22.535517,1
18-14,114.081551,22.542566,0
18-14,114.076263,22.544916,1
18-14,114.080498,22.558533,0
18-14,114.079170,22.562468,1
18-14,114.056480,22.520166,0
18-14,114.056366,22.518950,1
18-14,114.048332,22.517117,0
18-14,114.050415,22.514967,1
18-14,114.042084,22.541384,0
18-14,114.042053,22.540649,1
18-15,114.046364,22.530466,0
18-15,114.050797,22.525766,1
18-15,114.071854,22.541767,0
18-15,114.072502,22.542833,1
18-15,114.084068,22.547182,0
18-15,114.084015,22.543583,1
18-15,114.073952,22.537733,0
18-15,114.073967,22.537951,1
18-15,114.084068,22.542250,0
18-15,114.088585,22.541416,1
18-16,114.114052,22.531750,0
18-16,114.113815,22.539400,1
18-16,114.037697,22.555883,0
18-16,114.040436,22.553467,1
18-16,114.095116,22.543283,0
18-17,114.095184,22.539583,1
18-17,114.068520,22.523800,0
18-17,114.114197,22.546301,1
18-17,114.120064,22.544367,0
18-17,114.120415,22.544083,1
18-17,114.114098,22.534567,0
18-17,114.114067,22.534500,1
18-18,114.094719,22.568501,0
18-18,114.114349,22.533733,1
18-19,114.119698,22.565983,0
18-19,114.124702,22.553801,1
18-19,114.166702,22.564083,0
18-20,114.104134,22.561867,1
18-20,114.104935,22.545650,0
18-21,114.106018,22.543600,1
18-21,114.112434,22.535618,0
18-21,114.112663,22.533667,1
18-21,114.161316,22.568132,0
18-21,114.136703,22.549683,1
18-21,114.127151,22.548218,0
18-21,114.120621,22.551884,1
18-22,114.112099,22.607401,0
18-22,114.098602,22.573683,1
18-22,114.109749,22.552650,0
18-22,114.113350,22.534149,1
18-22,114.141830,22.548283,0
18-22,114.113419,22.533600,1
18-22,114.124664,22.545900,0
18-23,114.121132,22.543200,1
18-23,114.113983,22.533867,0
18-23,114.113983,22.533850,1
18-23,114.108597,22.601933,0
18-23,114.106918,22.601351,1
18-23,114.119652,22.591084,0
18-23,114.137085,22.551434,1
19-0,114.129669,22.546867,0
19-0,114.099319,22.552067,1
19-0,114.118202,22.541849,0
19-0,114.118431,22.540483,1
19-0,114.100929,22.546583,0
19-0,114.090332,22.543249,1
19-1,114.108719,22.569616,0
19-1,114.089600,22.543118,1
19-1,114.105652,22.629351,0
19-1,114.107231,22.611900,1
19-2,114.111580,22.609266,0
19-2,114.111847,22.604017,1
19-2,114.120300,22.544567,0
19-5,114.113464,22.534218,1
19-5,114.105530,22.593033,0
19-6,114.078682,22.534050,1
19-6,114.112152,22.585583,0
19-6,114.107170,22.566500,1
19-6,114.121201,22.568884,0
19-6,114.124634,22.562416,1
19-6,114.133400,22.563284,0
19-7,114.112717,22.541433,1
19-7,114.134567,22.564800,0
19-8,114.164330,22.564234,1
19-8,114.117668,22.543283,0
19-8,114.116585,22.543182,1
19-9,114.111130,22.531384,0
19-10,114.098633,22.572067,1
19-10,114.088203,22.545099,0
19-10,114.091148,22.545366,1
19-10,114.093018,22.561501,0
19-10,114.094315,22.561483,1
19-10,114.101852,22.561533,0
19-10,114.103981,22.561184,1
19-11,114.130814,22.549168,0
19-11,114.128670,22.550516,1
19-11,114.087685,22.537600,0
19-11,114.040916,22.542049,1
19-11,114.047813,22.537817,0
19-12,114.051300,22.533033,1
19-12,114.097702,22.551399,0
19-12,114.099434,22.550516,1
19-12,114.118736,22.540016,0
19-12,114.121452,22.543167,1
19-12,114.114304,22.535900,0
19-12,114.117447,22.540150,1
19-12,114.105721,22.541018,0
19-13,114.104866,22.541067,1
19-13,113.946686,22.564734,0
19-14,113.895050,22.564150,1
19-14,113.916130,22.543234,0
19-14,113.937149,22.544733,1
19-15,113.855965,22.590134,0
19-15,113.904716,22.555849,1
19-16,113.941704,22.546183,0
19-16,113.943565,22.546301,1
19-16,113.972321,22.542534,0
19-16,113.973663,22.540518,1
19-16,114.035370,22.522249,0
19-16,114.037399,22.523466,1
19-16,114.043533,22.557684,0
19-16,114.043297,22.557949,1
19-17,113.933701,22.521566,0
19-17,113.931030,22.521883,1
19-17,113.895866,22.569317,0
19-17,113.894264,22.564934,1
19-17,113.982300,22.548082,0
19-18,113.989784,22.541599,1
19-18,113.979935,22.537100,0
19-18,113.979851,22.537117,1
19-18,113.996330,22.531700,0
19-18,113.997681,22.531982,1
19-18,114.016533,22.540182,0
19-18,114.043968,22.542282,1
19-18,114.043617,22.550667,0
19-18,114.041000,22.549883,1
19-19,114.031548,22.558901,0
19-20,114.140236,22.550034,1
19-20,114.102600,22.540016,0
19-20,114.101799,22.541582,1
19-20,114.124229,22.548782,0
19-20,114.122185,22.551767,1
19-20,114.108734,22.537817,0
19-20,114.102219,22.541332,1
19-20,114.033249,22.551933,0
19-21,114.030685,22.543783,1
19-21,114.003365,22.536301,0
19-21,113.969215,22.540083,1
19-21,113.921852,22.642717,0
19-21,113.932518,22.608150,1
19-22,113.949486,22.584450,0
19-22,114.107536,22.545467,1
19-23,114.089981,22.556334,0
19-23,114.090500,22.542982,1
19-23,114.070686,22.584618,0
19-23,114.073631,22.583817,1
19-23,114.079269,22.573933,0
20-0,114.118553,22.540318,1
20-0,114.104034,22.553818,0
20-0,114.113800,22.540483,1
20-0,114.083618,22.543068,0
20-1,114.118614,22.540550,1
20-1,113.902168,22.513767,0
20-2,113.913902,22.530867,1
20-2,113.895630,22.578751,0
20-4,114.113518,22.534218,1
20-5,114.242683,22.652849,0
20-6,114.184380,22.641050,1
20-6,114.158432,22.631184,0
20-7,114.100098,22.547617,1
20-7,114.081917,22.539232,0
20-10,114.178131,22.559883,1
20-10,114.118736,22.539850,0
20-10,114.070267,22.543167,1
20-10,114.063515,22.517433,0
20-10,114.063049,22.517866,1
20-11,113.895920,22.596117,0
20-13,113.894485,22.564716,1
20-13,113.918335,22.549417,0
20-13,113.951897,22.540916,1
20-13,113.966980,22.559334,0
20-13,113.976570,22.537033,1
20-13,114.001251,22.536734,0
20-14,114.021233,22.536333,1
20-14,114.099365,22.561317,0
20-14,114.100967,22.561449,1
20-14,114.109947,22.551701,0
20-14,114.115150,22.553801,1
20-14,114.082115,22.556168,0
20-15,114.096947,22.558384,1
20-15,114.122803,22.569384,0
20-15,114.135902,22.569817,1
20-15,114.141953,22.555468,0
20-15,114.137634,22.549749,1
20-15,114.117264,22.544683,0
20-15,114.118118,22.543133,1
20-16,114.111832,22.534567,0
20-16,114.111832,22.534567,1
20-16,114.047783,22.539749,0
20-17,113.895584,22.563732,1
20-18,113.924271,22.529417,0
20-18,114.115715,22.543682,1
20-18,114.121185,22.556801,0
20-19,114.137253,22.571751,1
20-19,114.104065,22.557249,0
20-19,114.125717,22.552717,1
20-19,114.120483,22.541567,0
20-21,114.062050,22.532667,1
20-21,114.056870,22.527451,0
20-21,114.057533,22.527617,1
20-21,114.118301,22.539682,0
20-21,114.113548,22.534283,1
20-21,114.118866,22.537701,0
20-22,114.099434,22.556900,1
20-22,114.107918,22.547934,0
20-22,114.108200,22.547367,1
20-22,114.059120,22.520267,0
20-22,114.058968,22.522432,1
20-22,114.068352,22.523632,0
20-23,114.067482,22.526600,1
20-23,114.112503,22.542183,0
20-23,114.112282,22.542200,1
20-23,114.055901,22.618933,0
21-0,114.083336,22.549267,1
21-0,114.036163,22.522783,0
21-0,114.056885,22.527918,1
21-0,114.062866,22.540417,0
21-1,114.067230,22.524767,1
21-1,114.008385,22.538300,0
21-1,114.007332,22.538567,1
21-1,113.967720,22.544983,0
21-2,114.118019,22.541018,1
21-2,114.130630,22.550882,0
21-4,114.113434,22.534218,1
21-5,114.060051,22.519182,0
21-5,114.067383,22.531366,1
21-5,114.039070,22.622534,0
21-6,114.099586,22.547701,1
21-6,114.050766,22.549433,0
21-6,114.094666,22.555267,1
21-7,114.117348,22.596451,0
21-7,114.133514,22.584417,1
21-7,114.126999,22.543818,0
21-8,114.171684,22.563084,1
21-8,114.118416,22.543400,0
21-8,114.122231,22.543318,1
21-9,114.051399,22.549351,0
21-9,114.051567,22.551132,1
21-9,114.113586,22.596333,0
21-9,114.117584,22.596483,1
21-9,114.122536,22.634150,0
21-9,114.129265,22.612949,1
21-10,114.098801,22.629900,0
21-10,114.112114,22.606600,1
21-10,114.122437,22.556351,0
21-10,114.128487,22.556400,1
21-10,114.123703,22.558533,0
21-10,114.122551,22.557899,1
21-10,114.115829,22.561968,0
21-10,114.116486,22.560301,1
21-11,114.038231,22.618116,0
21-11,114.038536,22.614033,1
21-11,114.031197,22.624300,0
21-11,114.036697,22.617382,1
21-11,114.078171,22.545418,0
21-11,114.067467,22.543768,1
21-11,114.009567,22.535267,0
21-12,114.007835,22.534250,1
21-12,114.033752,22.518433,0
21-12,114.047699,22.533768,1
21-12,113.927048,22.542732,0
21-12,113.935669,22.583200,1
21-13,113.964104,22.583300,0
21-13,113.961037,22.564266,1
21-13,114.085548,22.568434,0
21-13,114.087418,22.566683,1
21-13,114.081367,22.554350,0
21-13,114.076530,22.549049,1
21-13,114.048866,22.566900,0
21-14,114.054047,22.567083,1
21-14,114.094551,22.565599,0
21-14,114.120934,22.542717,1
21-14,114.111801,22.547750,0
21-14,114.112419,22.547167,1
21-14,114.110130,22.542950,0
21-15,114.116249,22.547832,1
21-15,114.123215,22.564217,0
21-15,114.124886,22.560600,1
21-15,114.116081,22.578199,0
21-15,114.114281,22.587099,1
21-15,114.130547,22.557783,0
21-15,114.130302,22.552267,1
21-16,114.123314,22.544867,0
21-16,114.122002,22.544968,1
21-16,114.116882,22.536600,0
21-16,114.114067,22.536600,1
21-16,114.128487,22.550516,0
21-16,114.128548,22.549450,1
21-16,114.039886,22.544683,0
21-16,114.041763,22.544434,1
21-16,114.060249,22.543966,0
21-16,114.060417,22.544968,1
21-18,114.108070,22.541582,0
21-18,114.113480,22.534283,1
21-18,114.086830,22.537500,0
21-18,114.030983,22.523533,1
21-18,114.049385,22.535000,0
21-19,114.075279,22.531668,1
21-19,114.086517,22.537251,0
21-19,114.106415,22.544399,1
21-19,114.121765,22.556950,0
21-19,114.125099,22.553217,1
21-19,114.125801,22.542999,0
21-19,114.164413,22.564199,1
21-20,113.911919,22.584000,0
21-21,113.906464,22.553534,1
21-21,113.929100,22.563967,0
21-21,113.948997,22.579132,1
21-21,113.901466,22.560499,0
21-22,113.907532,22.552032,1
21-22,113.927383,22.536432,0
21-22,113.930870,22.548000,1
21-22,113.926468,22.533983,0
21-22,113.930016,22.542999,1
21-23,113.963249,22.543167,0
21-23,113.963203,22.542418,1
21-23,114.107719,22.569918,0
21-23,114.107513,22.549183,1
21-23,114.071930,22.543167,0
21-23,114.071503,22.547983,1
21-23,114.059715,22.574232,0
22-0,114.058380,22.562384,1
22-0,114.095169,22.541433,0
22-0,114.098816,22.541000,1
22-0,114.120453,22.573851,0
22-0,114.118752,22.573967,1
22-0,114.111397,22.603733,0
22-1,114.117653,22.543283,1
22-1,114.136032,22.585449,0
22-2,114.118164,22.541018,1
22-2,114.119614,22.544268,0
22-4,114.113449,22.534349,1
22-5,114.035553,22.525383,0
22-6,114.112297,22.536966,1
22-6,114.096848,22.559433,0
22-6,114.096313,22.568600,1
22-6,114.112549,22.585983,0
22-6,114.114098,22.596666,1
22-6,114.129379,22.584682,0
22-7,114.105034,22.549133,1
22-7,114.101166,22.544350,0
22-7,114.101532,22.547518,1
22-7,114.113266,22.535868,0
22-8,114.167366,22.563168,1
22-8,114.120033,22.541117,0
22-8,114.117683,22.540234,1
22-8,114.111465,22.541451,0
22-8,114.111465,22.541517,1
22-9,114.104881,22.597668,0
22-9,114.103798,22.597750,1
22-9,114.006882,22.549900,0
22-9,113.991653,22.543400,1
