time,jd,wd,status
18-1-12,114.069099,22.529682,0
18-1-25,114.120766,22.543800,1
18-1-34,114.157303,22.568083,0
18-1-42,114.132164,22.545668,1
18-1-45,114.137367,22.544233,0
18-2-10,114.121002,22.543667,1
18-2-21,114.057335,22.514467,0
18-2-55,114.120636,22.543966,1
18-2-58,114.115036,22.545982,0
18-3-8,114.120834,22.544001,1
18-3-12,114.118500,22.546833,0
18-3-17,114.120285,22.544968,1
18-4-26,114.116951,22.557283,0
18-3-48,114.120537,22.544083,1
18-3-59,114.059013,22.528633,0
18-4-19,114.120514,22.544001,1
18-4-24,114.131203,22.548683,0
18-4-47,114.120918,22.543768,1
18-4-51,114.129700,22.547733,0
18-5-10,114.120796,22.543783,1
18-5-14,114.112816,22.535999,0
18-6-18,114.157654,22.613300,1
18-6-27,114.185150,22.591984,0
18-6-50,114.122932,22.578217,1
18-6-55,114.131203,22.584368,0
18-7-17,114.122917,22.578449,1
18-7-29,114.066116,22.551233,0
18-7-33,114.063080,22.551382,1
18-7-40,114.047729,22.541750,0
18-7-45,114.045197,22.550632,1
18-7-52,114.062866,22.552401,0
18-7-54,114.065468,22.557934,1
18-8-4,114.033485,22.561083,0
18-8-5,114.033485,22.561083,1
18-8-38,113.934547,22.631184,0
18-9-39,114.078102,22.543068,1
18-9-44,114.089500,22.543467,0
18-9-46,114.089500,22.543467,1
18-9-55,114.097748,22.558416,0
18-9-55,114.097748,22.558416,1
18-10-6,114.111115,22.535450,0
18-10-7,114.111115,22.535450,1
18-10-55,113.816437,22.646450,0
18-12-5,113.816414,22.647766,1
18-12-39,114.105652,22.546499,0
18-12-47,114.111916,22.531116,1
18-12-55,114.120033,22.541100,0
18-12-56,114.120117,22.541349,1
18-13-5,114.131401,22.579567,0
18-13-9,114.138046,22.580151,1
18-13-19,114.084335,22.571182,0
18-13-50,114.044319,22.543734,1
18-13-53,114.042465,22.540550,0
18-13-58,114.052399,22.531233,1
18-14-11,114.081451,22.548317,0
18-14-12,114.081451,22.548317,1
18-14-23,114.104164,22.553867,0
18-14-30,114.116600,22.550217,1
18-14-42,114.081635,22.544283,0
18-14-43,114.081635,22.544283,1
18-14-54,114.101501,22.552267,0
18-14-54,114.101501,22.552267,1
18-14-59,114.105949,22.546682,0
18-15-4,114.110619,22.539351,1
18-15-23,114.113297,22.603317,0
18-15-25,114.113182,22.603100,1
18-15-45,114.106369,22.543283,0
18-15-45,114.107018,22.542767,1
18-15-51,114.112701,22.545851,0
18-15-54,114.108414,22.546900,1
18-16-0,114.104431,22.557034,0
18-16-10,114.116280,22.552450,1
18-16-39,114.081619,22.545300,0
18-17-9,114.123131,22.558268,1
18-17-19,114.116402,22.540850,0
18-17-20,114.116402,22.540850,1
18-17-25,114.113602,22.534218,0
18-17-28,114.114647,22.531950,1
18-17-42,114.117531,22.547533,0
18-17-42,114.117531,22.547533,1
18-18-1,114.113815,22.531532,0
18-18-3,114.113869,22.537832,1
18-18-14,114.119499,22.542450,0
18-18-15,114.119499,22.542450,1
18-18-30,114.113533,22.534483,0
18-18-31,114.112267,22.533583,1
18-18-51,114.122520,22.556084,0
18-18-52,114.124619,22.553932,1
18-18-56,114.123032,22.563999,0
18-18-57,114.124069,22.564051,1
18-19-4,114.134865,22.570482,0
18-19-8,114.132500,22.571917,1
18-20-1,113.941170,22.524517,0
18-20-2,113.922752,22.526199,1
18-20-2,113.922066,22.526367,0
18-20-3,113.921364,22.526533,1
18-20-9,113.916534,22.527634,0
18-20-24,113.933670,22.521467,1
18-20-38,113.978218,22.540268,0
18-20-40,113.978218,22.540268,1
18-20-43,113.972214,22.542801,0
18-20-57,113.970001,22.539351,1
18-21-34,114.032616,22.629601,0
18-22-2,114.087914,22.549299,1
18-22-12,114.084770,22.563534,0
18-22-18,114.087952,22.548550,1
18-22-28,114.105652,22.546083,0
18-23-29,114.106430,22.545151,1
19-0-39,114.084465,22.571117,0
19-0-48,114.095299,22.559868,1
19-1-6,114.123718,22.575018,0
19-2-40,114.120399,22.544167,1
19-2-42,114.118317,22.540716,0
19-3-7,114.120682,22.543716,1
19-3-11,114.113686,22.541082,0
19-3-55,114.120483,22.544018,1
19-4-7,114.043884,22.534550,0
19-4-19,114.120567,22.543966,1
19-4-39,114.024849,22.531218,0
19-6-55,114.122932,22.578283,1
19-7-7,114.114166,22.531300,0
19-7-38,114.112732,22.544216,1
19-7-51,114.121216,22.571367,0
19-7-53,114.121696,22.569166,1
19-8-19,114.056953,22.525900,0
19-8-20,114.053253,22.525850,1
19-8-41,113.919815,22.534349,0
19-8-41,113.919853,22.533916,1
19-9-8,114.039833,22.544701,0
19-9-9,114.039833,22.544701,1
19-9-31,114.115166,22.535017,0
19-9-34,114.114281,22.534100,1
19-10-17,113.915749,22.577101,0
19-10-47,113.902802,22.561150,1
19-11-8,113.943184,22.506468,0
19-11-11,113.945152,22.506533,1
19-11-24,114.056396,22.531334,0
19-11-32,114.056282,22.531782,1
19-12-15,113.815933,22.647400,0
19-14-4,113.814819,22.648617,1
19-14-34,114.040703,22.618017,0
19-14-35,114.040703,22.618017,1
19-14-41,114.043434,22.600866,0
