time,jd,wd,status
18-0,114.099380,22.543367,1
18-0,114.121803,22.546949,0
18-6,114.099686,22.547182,1
18-7,114.137650,22.570583,0
18-7,114.137650,22.570583,1
18-7,114.127182,22.543882,0
18-7,114.102051,22.548183,1
18-7,114.112129,22.537083,0
18-7,114.113480,22.534468,1
18-8,113.919853,22.512684,0
18-8,113.917130,22.516733,1
18-8,113.903366,22.543118,0
18-9,113.907829,22.535200,1
18-9,113.853386,22.616516,0
18-10,113.814796,22.649616,1
18-11,114.047783,22.540567,0
18-11,114.055916,22.539301,1
18-11,114.034752,22.530550,0
18-11,114.046547,22.540133,1
18-11,113.963631,22.547283,0
18-11,113.960152,22.546551,1
18-11,113.966301,22.541117,0
18-11,113.959984,22.543350,1
18-11,113.930786,22.544033,0
18-12,113.948166,22.543333,1
18-12,113.916885,22.541967,0
18-12,113.951935,22.540716,1
18-12,113.947533,22.527884,0
18-12,113.946236,22.541683,1
18-12,113.916763,22.543800,0
18-13,114.008614,22.536716,1
18-13,114.048668,22.568884,0
18-13,114.048668,22.568884,1
18-13,114.043564,22.557583,0
18-14,114.099266,22.552883,1
18-14,114.084068,22.543550,0
18-14,114.084114,22.543617,1
18-14,114.090950,22.550966,0
18-14,114.080200,22.554016,1
18-14,114.077034,22.547150,0
18-14,114.077850,22.549150,1
18-15,114.098999,22.551832,0
18-15,114.100616,22.552050,1
18-15,114.136147,22.621218,0
18-15,114.116180,22.603783,1
18-16,114.121048,22.542368,0
18-16,114.112534,22.538750,1
18-16,114.113998,22.531799,0
18-16,114.113533,22.533283,1
18-16,114.121933,22.613951,0
18-16,114.122299,22.613667,1
18-17,114.135986,22.553617,0
18-17,114.108833,22.545300,1
18-17,114.114014,22.531500,0
18-17,114.113503,22.534433,1
18-18,114.123116,22.557949,0
18-18,114.118217,22.552933,1
18-18,114.118164,22.552799,0
18-18,114.117851,22.552349,1
18-18,114.116600,22.550350,0
18-18,114.116600,22.550350,1
18-18,114.089684,22.543533,0
18-18,114.089684,22.543533,1
18-18,114.089684,22.543533,0
18-18,114.087883,22.544600,1
18-18,114.095932,22.564684,0
18-18,114.098801,22.564783,1
18-19,114.048332,22.537333,0
18-19,114.048332,22.537333,1
18-20,114.101418,22.543699,0
18-20,114.099449,22.549868,1
18-20,114.094681,22.556084,0
18-20,114.085968,22.549200,1
18-20,113.947502,22.528366,0
18-21,113.946968,22.541834,1
18-21,113.962036,22.536533,0
18-21,113.962067,22.534849,1
18-21,113.900070,22.567333,0
18-21,113.903397,22.561684,1
18-21,113.931335,22.520634,0
18-22,113.951447,22.539618,1
18-22,113.916229,22.538651,0
18-22,113.944115,22.541683,1
18-22,113.943253,22.586550,0
18-22,113.979332,22.550449,1
18-23,113.901268,22.514334,0
18-23,113.912086,22.513933,1
18-23,114.048065,22.537268,0
19-5,114.112198,22.603518,1
19-6,114.113884,22.531767,0
19-6,114.115898,22.533167,1
19-6,114.124184,22.554434,0
19-6,114.124184,22.554434,1
19-6,114.122536,22.544968,0
19-6,114.130981,22.548700,1
19-6,114.118080,22.555532,0
19-7,114.123985,22.554533,1
19-7,114.138336,22.560133,0
19-7,114.129799,22.550850,1
19-7,114.114197,22.534567,0
19-7,114.102982,22.549116,1
19-7,114.110519,22.546783,0
19-7,114.111420,22.547716,1
19-8,114.114098,22.534666,0
19-8,114.113419,22.534533,1
19-8,114.133247,22.567333,0
19-8,114.133316,22.565083,1
19-8,114.103203,22.549168,0
19-8,114.103203,22.549168,1
19-9,114.056282,22.531834,0
19-9,114.049118,22.537251,1
19-9,114.052315,22.529633,0
19-9,114.051666,22.528749,1
19-9,114.053566,22.537466,0
19-9,114.042847,22.528183,1
19-9,114.051537,22.533016,0
19-10,114.054283,22.535267,1
19-10,114.008186,22.548468,0
19-10,114.008186,22.548468,1
19-10,114.122551,22.545033,0
19-10,114.123901,22.545033,1
19-11,114.113647,22.542801,0
19-11,114.116150,22.535517,1
19-11,114.122917,22.569366,0
19-11,114.124664,22.564417,1
19-11,114.098579,22.540251,0
19-11,114.098579,22.540251,1
19-11,114.104568,22.539400,0
19-12,114.074081,22.539534,1
19-12,114.113785,22.547182,0
19-12,114.113785,22.547182,1
19-12,114.071899,22.530283,0
19-12,114.079552,22.535351,1
19-13,114.058563,22.524467,0
19-13,114.057220,22.525999,1
19-13,114.028320,22.522633,0
19-13,114.025002,22.527050,1
19-13,114.062569,22.517532,0
19-13,114.063599,22.517401,1
19-14,114.071533,22.544067,0
