time,jd,wd,status
18-0-36,114.148781,22.544849,0
18-2-7,114.116150,22.548933,1
18-2-12,114.116150,22.548933,0
18-7-52,114.116150,22.548933,1
18-8-21,114.080284,22.545401,0
18-8-23,114.081520,22.549250,1
18-8-33,114.099480,22.550667,0
18-8-40,114.100235,22.547466,1
18-8-49,114.114250,22.534700,0
18-8-52,114.113602,22.534317,1
18-8-59,114.108620,22.541599,0
18-9-0,114.107918,22.541567,1
18-9-24,113.989265,22.541599,0
18-9-44,114.008118,22.536568,1
18-9-57,114.082153,22.543068,0
18-9-59,114.088715,22.543301,1
18-10-9,114.111298,22.534433,0
18-10-10,114.111900,22.531183,1
18-11-3,114.051567,22.745518,0
18-12-5,114.035301,22.621901,1
18-12-32,114.084183,22.545616,0
18-13-2,114.100731,22.554800,1
18-13-36,113.902000,22.564034,0
18-13-52,113.894234,22.565083,1
18-14-13,114.029297,22.543417,0
18-14-14,114.028847,22.543467,1
18-14-29,113.991753,22.540400,0
18-14-51,114.003548,22.535851,1
18-14-59,114.025780,22.537268,0
18-14-59,114.026337,22.537382,1
18-15-9,114.074753,22.540033,0
18-15-10,114.074951,22.540117,1
18-15-27,114.112648,22.538082,0
18-15-27,114.112648,22.538082,1
18-15-33,114.124001,22.558634,0
18-15-33,114.124001,22.558634,1
18-15-39,114.118896,22.562317,0
18-15-45,114.118896,22.562317,1
18-15-56,114.106018,22.543600,0
18-15-58,114.105469,22.543083,1
18-16-9,114.081680,22.539818,0
18-16-10,114.081581,22.538982,1
18-16-33,114.091949,22.561501,0
18-16-34,114.094597,22.561199,1
18-16-39,114.090965,22.551268,0
18-16-39,114.090965,22.551268,1
18-16-50,114.100533,22.547449,0
18-16-51,114.100533,22.547449,1
18-17-2,114.119797,22.566151,0
18-17-4,114.122299,22.565384,1
18-17-22,114.115379,22.535299,0
18-17-26,114.113701,22.541718,1
18-17-32,114.118202,22.544434,0
18-17-33,114.118202,22.544434,1
18-17-54,114.113914,22.531900,0
18-17-59,114.113533,22.541651,1
18-18-50,114.118599,22.563717,0
18-18-52,114.120796,22.568850,1
18-18-59,114.116600,22.550217,0
18-18-59,114.116600,22.550217,1
18-19-12,114.078613,22.534700,0
18-19-16,114.077187,22.540182,1
18-20-11,114.023300,22.620399,0
18-20-32,114.043350,22.601316,1
18-20-51,114.122147,22.571383,0
18-20-53,114.121765,22.569166,1
18-21-15,114.128883,22.601749,0
18-21-19,114.121414,22.603283,1
18-21-33,114.112167,22.603416,0
18-21-36,114.113266,22.603451,1
18-21-37,114.113266,22.603451,0
18-21-50,114.113266,22.603451,1
18-22-6,114.113953,22.531799,0
18-22-13,114.107903,22.541582,1
18-22-19,114.081650,22.541901,0
