time,jd,wd,status
18-0,114.125870,22.552467,1
18-0,114.118370,22.560833,0
18-0,114.128082,22.551216,1
18-0,114.104866,22.543150,0
18-0,114.103149,22.544117,1
18-0,114.122719,22.549667,0
18-0,114.129066,22.550817,1
18-0,114.129486,22.551033,0
18-1,114.129219,22.550318,1
18-2,114.137680,22.562468,0
18-2,114.128334,22.550301,1
18-2,114.121300,22.547768,0
18-2,114.128365,22.550533,1
18-2,114.130402,22.583817,0
18-3,114.089386,22.543283,1
18-3,114.080414,22.532400,0
18-3,114.090782,22.543301,1
18-3,114.115364,22.582050,0
18-4,114.103951,22.561382,1
18-4,114.127800,22.551832,0
18-4,114.128517,22.550449,1
18-4,114.123932,22.545183,0
18-4,114.128448,22.550516,1
18-5,114.119064,22.561317,0
18-6,114.134232,22.617317,1
18-7,114.099030,22.629717,0
18-7,114.136215,22.623751,1
18-7,114.129036,22.591600,0
18-7,114.128532,22.590651,1
18-7,114.124748,22.579451,0
18-7,114.124283,22.572666,1
18-7,114.105217,22.545950,0
18-7,114.105751,22.551483,1
18-8,114.062653,22.517532,0
18-8,114.062599,22.518066,1
18-9,113.816269,22.646868,0
18-10,113.814949,22.650150,1
18-10,114.072250,22.531633,0
18-11,114.123764,22.554867,1
18-11,114.116982,22.541300,0
18-11,114.053848,22.654051,1
18-12,114.054367,22.535316,0
18-12,114.055016,22.535267,1
18-12,114.041115,22.552584,0
18-12,114.039780,22.550716,1
18-12,114.037582,22.565832,0
18-13,114.047585,22.542267,1
18-13,114.064415,22.554518,0
18-13,114.063583,22.547533,1
18-13,114.124100,22.542233,0
18-14,114.119980,22.541517,1
18-14,114.108147,22.543484,0
18-14,114.113770,22.545584,1
18-14,114.099518,22.554951,0
18-14,114.122620,22.557533,1
18-15,114.139687,22.565050,0
18-15,114.130203,22.561716,1
18-15,114.113602,22.550417,0
18-15,114.113480,22.550133,1
18-15,114.108734,22.539932,0
18-15,114.109917,22.542049,1
18-15,114.099182,22.538218,0
18-16,114.079918,22.535982,1
18-16,114.138550,22.549650,0
18-16,114.146164,22.554983,1
18-16,114.128983,22.585234,0
18-16,114.130486,22.583050,1
18-16,114.114998,22.580282,0
18-17,114.118820,22.568350,1
18-17,114.105614,22.543800,0
18-17,114.110184,22.543533,1
18-17,114.112083,22.542168,0
18-18,114.129814,22.559116,1
18-18,114.134315,22.548183,0
18-18,114.133934,22.546867,1
18-18,114.114082,22.531418,0
18-18,114.113800,22.537567,1
18-18,114.147346,22.543949,0
18-18,114.137100,22.549732,1
18-19,114.094521,22.560617,0
18-19,114.095032,22.561483,1
18-20,114.141014,22.550083,0
18-21,114.123116,22.547350,1
18-21,114.057869,22.531851,0
18-21,113.910866,22.487818,1
18-22,113.916183,22.509884,0
18-22,113.922981,22.520700,1
18-22,113.911514,22.488234,0
18-23,114.089951,22.543182,1
18-23,114.116997,22.541300,0
18-23,114.118683,22.540333,1
18-23,114.120369,22.541733,0
18-23,114.121033,22.543034,1
18-23,114.120567,22.544050,0
18-23,114.119865,22.546682,1
18-23,114.067482,22.526716,0
19-0,114.081749,22.541300,1
19-0,114.055435,22.635633,0
19-1,114.128418,22.550367,1
19-1,114.164703,22.564951,0
19-1,114.132050,22.550350,1
19-1,114.115852,22.544649,0
19-7,114.119286,22.606617,1
19-8,114.116096,22.566450,0
19-8,114.123032,22.567083,1
19-8,114.109131,22.544533,0
19-8,114.092598,22.538116,1
19-9,114.019547,22.535732,0
19-9,114.032166,22.525499,1
19-9,113.951515,22.539833,0
19-9,113.951782,22.540951,1
19-9,113.921951,22.530300,0
19-9,113.923180,22.535250,1
19-9,113.930847,22.545116,0
19-10,113.985535,22.544149,1
19-10,113.978920,22.539066,0
19-10,113.981087,22.537001,1
19-10,114.010483,22.539417,0
19-11,113.933533,22.547983,1
19-11,113.875450,22.564133,0
19-11,113.874199,22.565216,1
19-11,113.871368,22.558832,0
19-12,113.909714,22.545500,1
19-12,113.897583,22.562416,0
19-14,113.909500,22.546749,1
19-14,113.917618,22.527233,0
19-15,114.024834,22.531250,1
19-15,114.120636,22.552000,0
19-15,114.122383,22.551201,1
19-15,114.099503,22.550800,0
