time,jd,wd,status
18-0,114.122536,22.561983,1
18-0,114.133865,22.565018,0
18-1,114.078720,22.540550,1
18-1,114.077316,22.537018,0
18-7,114.048515,22.521618,1
18-7,114.077332,22.547132,0
18-8,114.077286,22.547182,1
18-8,114.063332,22.517401,0
18-8,114.062950,22.517799,1
18-8,114.025352,22.536716,0
18-9,114.019470,22.536034,1
18-9,114.049881,22.545549,0
18-9,114.067467,22.524267,1
18-10,113.837914,22.722700,0
18-11,113.814346,22.650150,1
18-11,113.964035,22.534817,0
18-12,114.020302,22.531717,1
18-12,114.036453,22.522818,0
18-12,114.068367,22.531717,1
18-12,114.022186,22.534983,0
18-12,114.043350,22.530518,1
18-12,114.047935,22.525551,0
18-12,114.058746,22.530167,1
18-13,114.068199,22.523832,0
18-13,114.067818,22.523817,1
18-13,114.058052,22.527666,0
18-13,114.051453,22.533617,1
18-13,113.991684,22.532883,0
18-13,113.993553,22.528868,1
18-13,113.943283,22.506451,0
18-13,114.040352,22.530767,1
18-13,114.049049,22.535233,0
18-13,114.048050,22.535282,1
18-14,114.054367,22.545334,0
18-14,114.054337,22.545183,1
18-14,114.079132,22.541918,0
18-14,114.064117,22.537718,1
18-14,114.068398,22.524250,0
18-14,114.067703,22.523899,1
18-15,114.084084,22.540817,0
18-15,114.063934,22.537750,1
18-15,114.094467,22.561417,0
18-15,114.091499,22.558634,1
18-15,114.009666,22.534918,0
18-16,114.009384,22.534767,1
18-16,114.127403,22.547701,0
18-16,114.121002,22.542900,1
18-17,114.084198,22.539717,0
18-17,114.078285,22.534367,1
18-17,114.070366,22.529617,0
18-17,114.067848,22.543900,1
18-18,113.956650,22.599768,0
18-18,113.958336,22.596884,1
18-19,113.946014,22.552601,0
18-19,113.944885,22.547068,1
18-19,114.037354,22.557333,0
18-20,114.050079,22.534533,1
18-20,114.016182,22.537983,0
18-20,114.016350,22.538017,1
18-20,114.092232,22.543301,0
18-20,114.074051,22.532084,1
18-20,114.063484,22.539499,0
18-20,114.074516,22.542868,1
18-21,114.116768,22.588783,0
18-22,114.122597,22.579050,1
18-21,114.123116,22.544968,0
18-23,114.138916,22.549850,1
18-23,114.117401,22.545151,0
18-23,114.118217,22.543716,1
19-0,114.101433,22.555300,0
19-0,114.119499,22.539568,1
19-0,114.103104,22.549232,0
19-0,114.119568,22.540400,1
19-1,114.067566,22.519251,0
19-1,114.067436,22.518917,1
19-1,114.124214,22.548782,0
19-1,114.119568,22.540733,1
19-2,113.963470,22.551718,0
19-7,114.045364,22.525682,1
19-7,114.060684,22.532333,0
19-7,114.044868,22.525784,1
19-7,114.047066,22.539417,0
19-7,114.038803,22.525534,1
19-8,114.068352,22.523684,0
19-8,114.051147,22.526518,1
19-8,114.062950,22.533567,0
19-8,114.062782,22.533518,1
19-8,114.090446,22.566233,0
19-8,114.090797,22.561333,1
19-8,114.099617,22.549084,0
19-8,114.100349,22.552116,1
19-9,114.055946,22.531782,0
19-9,114.046898,22.525749,1
19-9,114.048782,22.539650,0
19-9,114.038834,22.525333,1
19-9,114.049164,22.537367,0
19-9,114.049484,22.537367,1
19-9,114.041016,22.520250,0
19-10,114.033783,22.518417,1
19-10,114.068214,22.524332,0
19-10,114.067802,22.523968,1
19-10,114.112396,22.542200,0
19-10,114.112602,22.542049,1
19-10,114.111252,22.533783,0
19-11,114.140732,22.550100,1
19-11,114.138100,22.569250,0
19-11,114.135933,22.566950,1
19-11,114.159981,22.566732,0
19-11,114.161819,22.566784,1
19-11,114.107620,22.568951,0
19-12,114.103981,22.561417,1
19-12,114.046852,22.544100,0
19-12,114.044350,22.542482,1
19-12,114.034981,22.541668,0
19-12,114.071686,22.527849,1
19-12,114.080032,22.545584,0
19-12,114.081352,22.545218,1
19-13,114.086632,22.539133,0
19-13,114.086502,22.538651,1
19-13,114.119370,22.590866,0
19-13,114.115196,22.588301,1
19-13,114.121849,22.565866,0
19-13,114.110153,22.543301,1
19-13,114.099617,22.548416,0
19-13,114.099297,22.551649,1
19-14,114.068520,22.524183,0
19-14,114.067719,22.523867,1
19-14,114.052719,22.531733,0
19-14,114.052666,22.531717,1
19-14,114.059616,22.525101,0
19-14,114.059700,22.525049,1
19-14,114.053848,22.513300,0
19-14,114.063004,22.517782,1
19-15,113.961983,22.541782,0
19-15,114.037498,22.523350,1
19-16,114.113503,22.534433,0
19-16,114.113503,22.534433,1
19-16,114.074120,22.542900,0
19-16,114.074135,22.542850,1
19-16,114.064003,22.532267,0
19-16,114.056870,22.531851,1
19-16,113.913071,22.521049,0
19-17,113.932335,22.524166,1
19-17,113.961784,22.560066,0
19-17,113.978233,22.562017,1
19-17,114.054169,22.570118,0
19-17,114.047234,22.567568,1
19-18,114.021797,22.539433,0
19-18,114.018181,22.539917,1
19-18,114.035751,22.567984,0
19-18,114.042084,22.556700,1
19-18,113.964417,22.533001,0
19-18,113.964447,22.532984,1
19-19,113.978882,22.538950,0
19-19,113.979935,22.537817,1
19-19,113.961830,22.546967,0
19-19,113.963303,22.541849,1
19-19,113.970833,22.539167,0
19-19,114.060982,22.518333,1
19-19,114.068520,22.524067,0
19-20,114.057381,22.514500,1
19-20,114.107903,22.541567,0
19-20,114.107697,22.541567,1
19-21,114.188202,22.561300,0
19-21,114.114487,22.542850,1
19-21,114.129669,22.545549,0
19-21,114.126419,22.545366,1
19-22,114.075516,22.537184,0
19-22,114.076668,22.535667,1
19-22,114.064484,22.527800,0
19-22,114.063148,22.525932,1
19-22,114.063080,22.535801,0
19-22,114.063881,22.518801,1
19-22,114.078850,22.561768,0
19-22,114.077904,22.558483,1
19-23,114.112648,22.540533,0
19-23,114.118248,22.541134,1
19-23,114.060669,22.521482,0
19-23,114.059067,22.519934,1
19-23,114.071915,22.530416,0
19-23,114.057098,22.525900,1
19-23,114.041466,22.527468,0
20-0,114.042381,22.530033,1
20-0,113.923103,22.522949,0
20-0,113.931580,22.520950,1
20-0,113.929230,22.502983,0
20-1,113.928200,22.522083,1
20-1,114.050636,22.570284,0
20-7,114.054115,22.570566,1
20-7,114.025467,22.562300,0
20-7,114.028297,22.568216,1
20-8,114.088203,22.544201,0
20-8,114.067818,22.523849,1
20-8,113.950081,22.537750,0
