time,jd,wd,status
18-0-5,113.926331,22.565533,1
18-0-18,113.907265,22.553450,0
18-1-0,113.823586,22.652750,1
18-1-4,113.823586,22.652750,0
18-1-44,113.814980,22.649467,1
18-2-9,114.052216,22.529617,0
18-3-21,114.049835,22.542667,1
18-3-27,114.057419,22.562616,0
18-4-8,114.047783,22.542267,1
18-4-35,114.065048,22.542816,0
18-5-46,114.065048,22.542816,1
18-5-50,114.065048,22.542816,0
18-6-2,114.065048,22.542816,1
18-6-12,114.065048,22.542816,0
18-8-7,114.065048,22.542816,1
18-7-50,113.968513,22.540518,0
18-7-52,113.960266,22.543301,1
18-8-20,113.820236,22.642683,0
18-8-39,113.868584,22.576250,1
18-8-58,113.927353,22.536551,0
18-8-58,113.927330,22.536568,1
18-9-6,113.919029,22.543917,0
18-9-9,113.918365,22.552750,1
18-9-22,113.940681,22.563650,0
18-9-32,113.952385,22.566633,1
18-10-1,113.969917,22.539351,0
18-10-11,114.012421,22.529449,1
18-10-26,114.085152,22.564266,0
18-10-37,114.049133,22.561399,1
18-10-38,114.044899,22.557949,0
18-10-39,114.044800,22.557867,1
18-10-57,114.096786,22.561518,0
18-10-59,114.097366,22.561518,1
18-11-6,114.099365,22.582268,0
18-11-9,114.098351,22.575783,1
18-11-14,114.090164,22.566917,0
18-11-16,114.089546,22.564568,1
18-11-30,114.047234,22.533350,0
18-12-24,114.042519,22.528799,1
18-12-43,114.114464,22.534300,0
18-12-50,114.113747,22.545168,1
18-12-57,114.129997,22.547132,0
18-13-2,114.118484,22.537701,1
18-13-12,114.114349,22.534550,0
18-13-15,114.114334,22.534500,1
18-13-21,114.117554,22.543600,0
18-13-21,114.117615,22.543682,1
18-13-35,114.126801,22.613167,0
18-13-46,114.112030,22.585684,1
18-13-57,114.103729,22.589933,0
18-14-0,114.103653,22.588432,1
18-14-17,114.079765,22.540449,0
18-14-25,114.072037,22.536983,1
18-14-33,114.067986,22.524166,0
18-14-45,114.039635,22.522600,1
18-14-49,114.033768,22.526150,0
18-14-50,114.033920,22.525667,1
18-14-55,114.044365,22.521833,0
18-14-59,114.044830,22.526417,1
18-15-7,114.039230,22.564817,0
18-15-51,114.053818,22.564833,1
18-16-9,114.137016,22.580383,0
18-16-16,114.122765,22.577049,1
18-16-28,114.081451,22.549232,0
18-16-29,114.079399,22.549217,1
18-16-47,114.060951,22.563618,0
18-16-52,114.062386,22.561600,1
18-17-5,114.058167,22.570168,0
18-17-12,114.041168,22.556383,1
18-17-18,114.031998,22.548367,0
18-17-30,114.044533,22.542601,1
18-17-36,114.031685,22.544050,0
18-17-40,114.035583,22.542749,1
18-17-52,114.009300,22.535366,0
18-18-2,114.018730,22.532267,1
18-18-8,114.009186,22.535851,0
18-18-11,114.003532,22.534283,1
18-18-26,114.039818,22.547199,0
18-18-27,114.039833,22.548149,1
18-18-38,114.011917,22.544233,0
18-18-59,114.009102,22.529867,1
18-19-11,113.968819,22.552732,0
18-19-13,113.972237,22.550400,1
18-19-17,113.969749,22.540867,0
18-19-18,113.971352,22.540733,1
18-20-0,114.059502,22.562450,0
18-20-13,114.026268,22.540150,1
18-20-19,114.050499,22.527750,0
