time,jd,wd,status
18-20-29,114.038620,22.615517,0
18-20-31,114.037933,22.615801,1
18-20-40,114.032349,22.630400,0
19-6-49,114.040337,22.569099,1
19-6-54,114.049019,22.564068,0
19-7-15,114.040802,22.608816,1
19-7-36,113.960869,22.585632,0
19-7-39,113.960083,22.584932,1
19-7-58,113.941917,22.546249,0
19-8-6,113.941803,22.553850,1
19-8-42,114.022346,22.535549,0
19-8-52,114.021683,22.555500,1
19-9-10,114.080368,22.557684,0
19-9-14,114.093933,22.567883,1
19-9-23,114.097916,22.576017,0
19-9-24,114.098396,22.575783,1
19-9-49,114.063004,22.535683,0
19-9-52,114.065567,22.537901,1
19-9-56,114.074135,22.542883,0
19-9-57,114.074730,22.542900,1
19-10-6,114.087952,22.551649,0
19-10-6,114.087967,22.551649,1
19-10-12,114.083069,22.543318,0
19-10-24,114.072784,22.558033,1
19-10-27,114.084084,22.562099,0
19-10-33,114.094551,22.565567,1
19-10-44,114.081581,22.550051,0
19-10-54,114.089104,22.566668,1
19-11-15,114.059448,22.526867,0
19-11-15,114.059570,22.526899,1
19-11-35,114.054184,22.566282,0
19-11-35,114.054199,22.566317,1
19-11-51,114.089333,22.543617,0
19-13-1,114.125969,22.549767,1
19-13-22,114.094849,22.616667,0
19-13-27,114.099182,22.612017,1
19-13-40,114.111519,22.603050,0
19-13-45,114.112320,22.600384,1
19-14-2,114.139099,22.549732,0
19-14-2,114.139297,22.549868,1
19-14-53,113.907913,22.515100,0
19-14-55,113.904320,22.516333,1
19-15-43,113.814499,22.649851,0
19-16-33,114.020432,22.653267,1
19-17-4,114.081535,22.549917,0
19-17-5,114.081551,22.549932,1
19-17-22,114.114037,22.531651,0
19-17-25,114.113983,22.537466,1
19-17-40,114.084213,22.540483,0
19-17-41,114.084267,22.540649,1
19-18-27,114.129135,22.603701,0
19-18-31,114.130852,22.610132,1
19-19-0,114.029869,22.545683,0
19-19-5,114.034981,22.541634,1
19-19-15,114.031517,22.555099,0
19-19-16,114.031380,22.555283,1
19-19-42,114.105370,22.543100,0
19-19-42,114.105934,22.543367,1
19-19-49,114.111267,22.534100,0
19-19-50,114.111519,22.533567,1
19-20-5,114.099380,22.548201,0
19-20-9,114.099297,22.548283,1
19-20-16,114.100487,22.541817,0
19-20-17,114.100601,22.541332,1
19-20-21,114.092064,22.541468,0
19-20-30,114.107918,22.545483,1
19-20-35,114.091431,22.541550,0
19-20-41,114.113235,22.545267,1
19-20-44,114.114449,22.542433,0
19-20-58,114.124985,22.565617,1
19-21-3,114.116920,22.549932,0
19-21-6,114.112747,22.547268,1
19-21-10,114.107765,22.542267,0
19-21-13,114.106331,22.544701,1
19-21-20,114.113297,22.560699,0
19-21-28,114.113869,22.546066,1
19-21-36,114.119797,22.537884,0
19-21-39,114.118286,22.540817,1
19-21-49,114.139084,22.553551,0
19-21-53,114.125954,22.549967,1
19-22-14,114.175529,22.646633,0
19-22-40,114.093414,22.568399,1
19-22-49,114.027229,22.567883,0
19-22-50,114.029152,22.567017,1
19-22-54,114.047585,22.559834,0
19-22-58,114.061050,22.556000,1
19-23-8,114.055847,22.616568,0
19-23-18,114.043701,22.601633,1
19-23-26,114.029747,22.618633,0
20-6-45,114.019485,22.658300,1
20-7-23,114.114151,22.531767,0
20-7-44,114.114487,22.534233,1
20-8-45,114.226082,22.722033,0
20-9-15,114.197571,22.646400,1
20-9-54,114.052734,22.562717,0
20-9-56,114.049049,22.564150,1
20-10-4,114.041397,22.573450,0
20-10-10,114.054230,22.571068,1
20-11-29,114.064186,22.537750,0
20-10-49,114.038429,22.607901,1
20-11-11,114.075935,22.630867,0
20-12-11,114.026566,22.628450,1
20-12-49,113.917480,22.565683,0
20-12-54,113.918320,22.552267,1
20-13-4,113.932281,22.521151,0
20-13-24,113.922569,22.524834,1
20-13-31,113.948853,22.538200,0
20-13-31,113.948936,22.537916,1
20-13-40,113.972252,22.539917,0
20-13-44,113.979919,22.537067,1
20-14-11,114.118248,22.543650,0
20-14-14,114.119080,22.542049,1
20-14-58,114.052803,22.636818,0
20-15-8,114.032051,22.643400,1
20-15-27,114.025032,22.672016,0
20-16-28,114.021370,22.652332,1
20-16-32,114.022301,22.641317,0
20-16-36,114.021820,22.640400,1
20-17-11,114.113380,22.532167,0
20-17-16,114.113731,22.541332,1
20-17-25,114.101151,22.546450,0
20-17-27,114.101601,22.547800,1
20-17-40,114.113770,22.531982,0
20-17-46,114.114716,22.544916,1
20-17-55,114.129219,22.548250,0
20-17-57,114.129585,22.546932,1
20-18-1,114.119133,22.538082,0
20-18-1,114.117401,22.536783,1
20-18-21,114.111580,22.547667,0
20-18-21,114.111633,22.547667,1
20-18-27,114.101067,22.546350,0
20-18-44,114.101768,22.548100,1
20-19-8,114.135246,22.568733,0
20-19-10,114.135880,22.566833,1
20-19-20,114.116531,22.535933,0
20-19-23,114.113953,22.537300,1
20-20-4,114.112648,22.627016,0
20-20-11,114.111214,22.614033,1
20-21-1,114.112320,22.548767,0
21-6-58,114.030167,22.663767,1
21-7-32,113.816284,22.646767,0
21-7-42,113.847565,22.622967,1
21-7-56,113.894081,22.573816,0
21-8-11,113.909821,22.543051,1
21-8-23,113.917336,22.535316,0
21-8-28,113.919403,22.530849,1
21-8-53,114.062317,22.533417,0
21-8-56,114.063065,22.536266,1
21-9-9,114.040482,22.519283,0
21-9-9,114.040482,22.519251,1
21-9-20,114.062569,22.517550,0
21-9-22,114.063080,22.517782,1
21-9-41,114.095200,22.543167,0
21-9-45,114.099548,22.549433,1
21-9-52,114.105400,22.558517,0
21-9-53,114.107765,22.558567,1
21-10-3,114.114098,22.531099,0
21-10-16,114.110451,22.576767,1
21-10-27,114.049004,22.565783,0
21-10-47,114.048820,22.567066,1
21-10-52,114.054199,22.564266,0
21-10-54,114.044769,22.557783,1
21-10-59,114.059219,22.563633,0
21-11-2,114.066681,22.558018,1
21-11-12,114.099518,22.547800,0
21-11-13,114.099564,22.548183,1
21-11-24,114.126053,22.558399,0
21-13-8,114.136948,22.551233,1
21-13-13,114.124367,22.541800,0
21-13-14,114.124268,22.541683,1
21-13-25,114.114235,22.534782,0
21-13-26,114.114235,22.534782,1
21-13-33,114.112015,22.547832,0
21-13-37,114.110168,22.547632,1
21-13-46,114.112083,22.537283,0
21-13-54,114.113602,22.534582,1
21-14-2,114.113647,22.546633,0
21-14-15,114.117882,22.572433,1
21-14-20,114.112167,22.597851,0
21-14-42,114.113564,22.597866,1
21-15-3,114.117554,22.559116,0
21-15-7,114.115486,22.559532,1
21-15-13,114.119835,22.560949,0
21-15-46,114.054169,22.567249,1
21-16-1,114.068451,22.523849,0
21-16-39,114.027664,22.624582,1
21-16-48,114.016602,22.639900,0
21-17-18,114.019897,22.653950,1
21-17-27,114.024452,22.635267,0
21-17-31,114.021515,22.639584,1
21-18-3,113.909767,22.543266,0
21-18-18,113.919868,22.533916,1
21-18-20,113.919067,22.528683,0
21-18-25,113.919731,22.519432,1
21-19-15,113.986885,22.695232,0
21-19-21,113.989037,22.684967,1
21-19-24,113.990814,22.677467,0
21-20-21,114.022163,22.642000,1
21-20-51,114.087814,22.549383,0
21-20-53,114.082947,22.549368,1
21-21-8,114.081764,22.538334,0
21-21-10,114.085167,22.540867,1
21-21-17,114.101196,22.543501,0
21-21-22,114.099602,22.547268,1
21-21-45,114.027802,22.623699,0
21-21-47,114.025520,22.631832,1
21-21-52,114.020416,22.634199,0
22-5-58,114.019432,22.649651,1
