time,jd,wd,status
18-0-38,114.068398,22.523684,0
18-0-48,114.040466,22.531233,1
18-0-50,114.021080,22.532383,0
18-1-31,113.963631,22.542400,1
18-1-35,113.945084,22.536882,0
18-3-10,113.814667,22.649633,1
18-3-42,114.099518,22.552282,0
18-7-7,113.923134,22.551201,1
18-7-11,113.938347,22.542534,0
18-7-14,113.937752,22.542950,1
18-7-23,113.907120,22.534634,0
18-7-27,113.907318,22.531282,1
18-7-41,113.937965,22.542482,0
18-7-48,113.927116,22.528418,1
18-8-19,114.051384,22.534666,0
18-8-23,114.043999,22.534349,1
18-8-42,113.940582,22.539101,0
18-8-44,113.939880,22.536867,1
18-8-49,113.931931,22.521418,0
18-8-51,113.929802,22.522484,1
18-9-21,114.081665,22.539700,0
18-9-22,114.081680,22.538750,1
18-10-26,114.107918,22.540632,0
18-9-30,114.110168,22.538750,1
18-9-32,114.113029,22.531683,0
18-9-38,114.113068,22.533850,1
18-10-4,113.940964,22.536751,0
18-10-9,113.937386,22.536383,1
18-12-12,113.942665,22.506483,0
18-12-20,113.945480,22.506550,1
18-11-30,113.915154,22.526983,0
18-11-30,113.915535,22.527117,1
18-11-41,113.969849,22.539433,0
18-11-47,113.967918,22.540684,1
18-12-4,113.883530,22.569550,0
18-13-13,113.913864,22.533251,1
18-13-20,113.938797,22.542517,0
18-13-24,113.944382,22.542583,1
18-13-43,113.892784,22.510267,0
18-13-50,113.904015,22.516216,1
18-13-57,113.926369,22.507816,0
18-14-1,113.928619,22.502899,1
18-15-7,113.924934,22.490299,0
18-15-9,113.922935,22.491333,1
18-15-12,113.917267,22.498383,0
18-15-16,113.917053,22.503099,1
18-14-30,113.903214,22.535250,0
18-14-39,113.916069,22.534567,1
18-14-51,113.945099,22.536949,0
18-14-54,113.944832,22.545383,1
18-14-58,113.939598,22.548082,0
18-15-1,113.939430,22.543118,1
18-15-4,113.933533,22.547850,0
18-15-7,113.935799,22.545616,1
18-15-13,113.952332,22.541050,0
18-15-17,113.949051,22.542433,1
18-15-20,113.944183,22.536917,0
18-15-57,113.906502,22.553650,1
18-16-9,113.941101,22.571867,0
18-16-51,113.940666,22.560167,1
18-17-0,113.938637,22.543100,0
18-17-1,113.938637,22.543100,1
18-17-44,113.816185,22.647034,0
18-18-29,113.884148,22.563717,1
18-18-40,113.938934,22.542601,0
18-18-43,113.944901,22.541767,1
18-19-1,113.918449,22.535534,0
18-19-1,113.918282,22.535534,1
18-19-18,113.901070,22.514099,0
18-20-1,113.917503,22.504284,1
18-20-15,113.916130,22.535383,0
18-20-21,113.919968,22.533234,1
18-20-29,113.930763,22.543301,0
18-20-34,113.930817,22.547867,1
18-20-43,113.916000,22.508432,0
18-20-45,113.916367,22.509649,1
18-20-52,113.924866,22.514183,0
18-20-55,113.923897,22.515499,1
18-21-21,114.087502,22.561132,0
18-21-38,114.088150,22.543417,1
18-21-58,114.052116,22.567183,0
18-22-17,114.031967,22.541201,1
18-22-22,114.014267,22.537300,0
18-22-24,114.020821,22.538750,1
18-22-38,114.112831,22.536066,0
18-22-40,114.112297,22.537083,1
18-22-41,114.111870,22.539534,0
18-22-51,114.099068,22.543633,1
18-23-4,114.084297,22.538433,0
18-23-9,114.063454,22.532017,1
18-23-35,114.118019,22.570833,0
20-0-8,113.935051,22.559799,1
