time,jd,wd,status
18-0-27,113.951935,22.578632,1
18-1-1,113.919785,22.519583,0
18-1-18,114.035919,22.530117,1
18-1-30,114.093018,22.566334,0
18-7-26,114.104202,22.610132,1
18-7-51,114.130783,22.577517,0
18-7-54,114.134468,22.573366,1
18-8-15,114.099434,22.572399,0
18-8-23,114.098831,22.577032,1
18-8-57,113.919067,22.510166,0
18-9-1,113.919563,22.502367,1
18-9-21,113.943718,22.532600,0
18-9-22,113.945168,22.534067,1
18-9-39,113.939247,22.562384,0
18-10-0,114.011948,22.533100,1
18-10-13,114.042831,22.558582,0
18-10-23,114.048882,22.567051,1
18-10-33,114.051514,22.533583,0
18-11-8,114.075996,22.541433,1
18-11-18,114.081764,22.547367,0
18-11-29,114.099419,22.554182,1
18-11-41,114.112915,22.535950,0
18-11-43,114.112297,22.537018,1
18-11-50,114.095779,22.538267,0
18-11-53,114.090935,22.542168,1
18-12-1,114.066299,22.524017,0
18-12-9,114.075317,22.539967,1
18-12-15,114.045433,22.531549,0
18-12-55,113.920166,22.492149,1
18-13-9,113.908546,22.515633,0
18-13-14,113.913315,22.512318,1
18-13-39,114.031616,22.567066,0
18-13-45,114.048820,22.568617,1
18-14-6,113.915352,22.541416,0
18-14-16,113.914864,22.539867,1
18-14-21,113.910202,22.541082,0
18-14-58,114.057381,22.514833,1
18-15-0,114.062668,22.517550,0
18-15-2,114.062767,22.518267,1
18-15-31,113.814682,22.649517,0
18-16-23,113.816383,22.647682,1
18-16-48,113.955315,22.543266,0
18-16-54,113.978432,22.536200,1
18-17-6,114.036514,22.548599,0
18-17-7,114.038567,22.549200,1
18-17-16,114.013420,22.550301,0
18-17-17,114.013100,22.547068,1
18-17-30,114.066620,22.568850,0
18-17-57,114.124763,22.572683,1
18-18-6,114.095032,22.568550,0
18-18-45,114.032249,22.559601,1
18-19-3,114.060234,22.523783,0
18-19-5,114.060699,22.521383,1
18-19-57,113.912621,22.543217,0
18-20-52,114.051949,22.531384,1
18-20-55,114.079002,22.534550,0
18-21-5,114.076317,22.540567,1
18-21-13,114.066963,22.574751,0
18-22-11,114.116447,22.548834,1
18-22-12,114.116714,22.549601,0
18-22-13,114.116669,22.549967,1
18-22-22,114.124664,22.561701,0
18-22-25,114.119148,22.554317,1
18-22-33,114.087250,22.560900,0
18-22-50,114.081398,22.550249,1
18-23-3,114.141235,22.555367,0
18-23-14,114.116631,22.549967,1
18-23-19,114.113564,22.583918,0
18-23-57,114.136917,22.566401,1
19-0-0,114.133820,22.549232,0
19-0-18,114.102280,22.556049,1
19-0-24,114.127068,22.560101,0
19-1-28,114.023621,22.531366,1
19-1-34,114.045532,22.525566,0
19-7-0,114.094849,22.566282,1
19-7-26,113.869797,22.568632,0
19-7-45,113.904404,22.556334,1
19-8-13,113.942932,22.530867,0
19-8-14,113.943130,22.530067,1
19-8-43,114.052917,22.658667,0
19-9-1,114.055603,22.632233,1
19-9-19,114.131866,22.614950,0
19-9-24,114.134552,22.610533,1
19-10-1,114.113747,22.534616,0
19-10-4,114.113853,22.537817,1
19-10-8,114.115952,22.546482,0
19-10-28,114.114067,22.534233,1
19-10-43,114.222084,22.553801,0
19-10-44,114.223419,22.552383,1
19-11-34,114.258835,22.593933,0
19-12-5,114.224670,22.550983,1
19-12-31,114.122498,22.550484,0
19-12-32,114.122253,22.551382,1
19-12-42,114.113747,22.532150,0
19-12-55,114.101402,22.552267,1
19-13-5,114.095268,22.539917,0
19-13-43,114.091568,22.558468,1
19-13-59,114.004379,22.556316,0
19-14-15,113.975052,22.563816,1
19-14-50,114.004517,22.536432,0
19-15-8,113.951553,22.540466,1
19-15-16,113.943367,22.506451,0
19-15-25,113.945984,22.506901,1
19-15-59,113.852402,22.576933,0
19-16-6,113.853432,22.576017,1
19-16-12,113.844048,22.574699,0
19-16-28,113.877930,22.580883,1
19-16-29,113.879036,22.579800,0
19-16-39,113.903297,22.557768,1
19-17-6,114.080971,22.546232,0
19-17-8,114.081329,22.544533,1
19-17-40,113.908165,22.479750,0
19-17-55,113.908302,22.480183,1
19-19-13,113.963081,22.541883,0
19-19-19,113.972084,22.538733,1
19-19-45,114.035233,22.558617,0
19-19-51,114.034653,22.554951,1
19-20-10,113.973351,22.542868,0
19-20-11,113.976616,22.540916,1
19-20-21,113.962135,22.534134,0
19-20-23,113.961830,22.535482,1
19-20-30,113.972069,22.540583,0
19-20-53,114.042786,22.530899,1
19-21-5,114.048851,22.569599,0
19-21-8,114.054497,22.571083,1
