time,jd,wd,status
18-0,114.083885,22.543318,1
18-0,114.036613,22.612232,0
18-0,114.087799,22.550249,1
18-1,114.063133,22.574167,0
18-1,114.079514,22.551533,1
18-1,114.134750,22.565533,0
18-1,114.116951,22.548267,1
18-1,114.088097,22.543318,0
18-1,114.086884,22.548134,1
18-2,114.084167,22.541517,0
18-2,114.075920,22.534018,1
18-2,114.063217,22.534401,0
18-3,114.040787,22.616217,1
18-3,114.047249,22.621450,0
18-4,114.040749,22.615618,1
18-4,114.033096,22.619450,0
18-4,114.036484,22.617018,1
18-4,114.033279,22.629999,0
18-5,114.025085,22.671801,1
18-5,114.011436,22.663668,0
18-5,114.021614,22.639732,1
18-5,114.081085,22.559084,0
18-6,114.040482,22.615351,1
18-7,114.014603,22.538200,0
18-7,114.013885,22.550501,1
18-7,114.126381,22.558117,0
18-7,114.126915,22.557650,1
18-7,114.136032,22.557333,0
18-8,114.141647,22.550117,1
18-8,114.111099,22.545616,0
18-8,114.109482,22.545300,1
18-8,114.050331,22.545433,0
18-8,114.046532,22.547350,1
18-8,114.059280,22.535618,0
18-9,114.062836,22.540533,1
18-9,114.059998,22.547400,0
18-9,114.066315,22.551117,1
18-9,114.139183,22.554068,0
18-9,114.137283,22.556351,1
18-9,114.168770,22.566833,0
18-9,114.166817,22.566833,1
18-9,114.111916,22.538782,0
18-9,114.111832,22.539516,1
18-10,114.063065,22.529699,0
18-10,114.067719,22.550449,1
18-10,114.078430,22.542933,0
18-10,114.078735,22.541983,1
18-10,114.038254,22.523951,0
18-11,114.051414,22.534184,1
18-11,114.055733,22.525984,0
18-11,114.053734,22.525801,1
18-11,114.084030,22.542982,0
18-11,114.097069,22.542816,1
18-11,113.991768,22.540350,0
18-11,114.009132,22.547951,1
18-12,114.015633,22.540600,0
18-12,114.015533,22.541683,1
18-12,114.067619,22.524549,0
18-12,114.085098,22.537184,1
18-13,114.086052,22.543100,0
18-14,114.137634,22.580383,1
18-14,114.129082,22.591551,0
18-14,114.126999,22.587400,1
18-14,114.126053,22.610983,0
18-14,114.124733,22.609516,1
18-14,114.081520,22.550117,0
18-14,114.078934,22.549168,1
18-14,114.105865,22.552282,0
18-14,114.107552,22.549667,1
18-15,114.114082,22.531384,0
18-15,114.113518,22.534267,1
18-15,114.103981,22.569483,0
18-15,114.052681,22.531584,1
18-16,114.068214,22.524282,0
18-16,114.067451,22.524616,1
18-16,114.052254,22.531267,0
18-16,114.052780,22.531282,1
18-16,114.110916,22.534050,0
18-16,114.111702,22.532534,1
18-17,114.111336,22.547768,0
18-17,114.110916,22.547832,1
18-17,114.130569,22.606733,0
18-17,114.081451,22.551416,1
18-17,114.081467,22.551033,0
18-17,114.081383,22.549749,1
18-18,114.084297,22.562416,0
18-18,114.084732,22.558451,1
18-18,114.056984,22.562550,0
18-18,114.049736,22.562267,1
18-19,114.060585,22.576517,0
18-19,114.067497,22.543783,1
18-21,113.923698,22.549200,0
18-21,113.947380,22.541767,1
18-21,113.877930,22.581617,0
18-21,113.893417,22.567682,1
18-21,113.903603,22.529917,0
18-22,113.936264,22.542467,1
18-22,113.919296,22.508818,0
18-22,113.926300,22.517817,1
18-22,113.929802,22.501368,0
18-22,113.927620,22.512333,1
18-23,113.887436,22.589899,0
18-23,113.881699,22.584749,1
18-23,113.914597,22.539133,0
19-0,114.113617,22.542784,1
19-0,114.068481,22.523968,0
19-0,114.075630,22.536650,1
19-0,114.084251,22.540684,0
19-1,114.077980,22.533617,1
19-1,114.037598,22.523451,0
19-1,114.056366,22.528717,1
19-1,114.057098,22.513384,0
19-1,114.058998,22.519850,1
19-1,114.116920,22.553917,0
19-1,114.101898,22.552601,1
19-2,114.081001,22.539682,0
19-2,114.076469,22.535433,1
19-2,114.084335,22.548317,0
19-2,114.083969,22.549032,1
19-2,114.107681,22.569584,0
19-2,114.088699,22.551767,1
19-3,114.050903,22.550367,0
19-3,114.051147,22.549749,1
19-4,114.033096,22.619499,0
19-6,114.040535,22.615334,1
19-7,114.081146,22.558867,0
19-7,114.083214,22.571899,1
19-7,114.090652,22.563133,0
19-7,114.090698,22.561817,1
19-7,114.111397,22.545584,0
19-7,114.109886,22.546833,1
19-8,113.828552,22.650133,0
19-8,113.895798,22.558317,1
19-9,113.920631,22.512882,0
19-9,113.920586,22.512632,1
19-9,113.939034,22.544600,0
19-9,113.962364,22.533751,1
19-9,113.988449,22.538982,0
19-10,114.030563,22.557768,1
19-10,114.039185,22.544533,0
19-10,114.039536,22.554600,1
19-10,114.053268,22.535767,0
19-10,114.057915,22.539017,1
19-11,114.067352,22.531750,0
19-11,114.100166,22.541283,1
19-11,114.102997,22.559668,0
19-11,114.103752,22.555683,1
