time,jd,wd,status
18-1-0,114.094620,22.559383,0
18-1-33,114.072014,22.538082,1
18-1-37,114.084251,22.541517,0
18-1-38,114.083481,22.540768,1
18-1-41,114.071869,22.543550,0
18-3-9,114.100601,22.555218,1
18-3-21,114.057137,22.571117,0
18-3-30,114.089417,22.558317,1
18-3-35,114.097900,22.558434,0
18-6-34,114.128052,22.574900,1
18-6-50,114.114433,22.531816,0
18-7-4,114.130302,22.572067,1
18-7-18,114.100334,22.538450,0
18-8-30,114.131065,22.610750,1
18-8-52,114.052231,22.659401,0
18-9-0,114.060547,22.638817,1
18-10-1,114.124252,22.545982,0
18-10-1,114.124184,22.545282,1
18-10-27,114.079834,22.573116,0
18-10-28,114.083237,22.572983,1
18-11-12,114.047813,22.540867,0
18-11-28,114.053352,22.549500,1
18-11-35,114.048019,22.540117,0
18-12-9,114.040764,22.556183,1
18-12-22,114.062614,22.517517,0
18-12-38,114.062614,22.517982,1
18-13-1,114.062935,22.538418,0
18-13-6,114.070000,22.547951,1
18-13-14,114.084068,22.545282,0
18-13-19,114.084015,22.551517,1
18-13-33,114.104370,22.589649,0
18-13-49,114.103851,22.563551,1
18-14-15,114.084084,22.544451,0
18-14-18,114.084000,22.545868,1
18-14-29,114.084267,22.571301,0
18-14-49,114.102982,22.555717,1
18-15-7,114.053970,22.547300,0
18-15-7,114.055069,22.547400,1
18-15-20,114.078766,22.541067,0
18-15-21,114.078781,22.540783,1
18-15-33,114.075035,22.531033,0
18-15-33,114.074654,22.530567,1
18-15-34,114.072235,22.531000,0
18-15-35,114.071800,22.531067,1
18-15-41,114.062767,22.517599,0
18-15-42,114.063271,22.518867,1
18-15-58,114.027115,22.539433,0
18-15-59,114.027351,22.539433,1
18-16-30,114.129700,22.545834,0
18-16-37,114.129616,22.544300,1
18-16-49,114.174469,22.563000,0
18-16-52,114.165581,22.566799,1
18-17-14,114.123619,22.612633,0
18-17-18,114.120285,22.607183,1
18-17-24,114.112602,22.608801,0
18-17-26,114.112030,22.608650,1
18-17-39,114.099785,22.608400,0
18-17-43,114.102165,22.596300,1
18-18-23,114.118332,22.543383,0
18-19-20,114.137337,22.562099,1
18-19-56,114.158768,22.610817,0
18-20-26,114.065033,22.568800,1
18-20-52,114.004486,22.536568,0
18-21-7,114.021919,22.538918,1
18-21-11,114.029083,22.526800,0
18-21-32,114.036163,22.522734,1
18-21-38,114.024666,22.527050,0
18-21-39,114.024834,22.527349,1
18-22-7,113.906982,22.487600,0
18-22-10,113.909081,22.488449,1
18-22-16,113.912170,22.504984,0
18-22-48,113.981979,22.536133,1
18-22-58,114.043152,22.523100,0
18-23-9,114.055702,22.530018,1
18-23-24,114.139069,22.553516,0
18-23-35,114.130898,22.560432,1
18-23-46,114.114967,22.589951,0
18-23-48,114.115097,22.588249,1
19-0-18,114.111916,22.602633,0
19-0-22,114.109802,22.601950,1
19-0-31,114.098053,22.578217,0
19-0-44,114.095047,22.561434,1
19-0-51,114.121719,22.573933,0
19-1-5,114.136070,22.557350,1
19-1-57,114.071930,22.535784,0
19-2-11,114.073647,22.536917,1
19-2-19,114.056969,22.526068,0
19-2-20,114.056953,22.527634,1
19-2-27,114.067650,22.524532,0
19-2-48,114.076447,22.538050,1
19-2-53,114.077347,22.532034,0
19-6-8,114.128098,22.574966,1
19-7-2,114.134064,22.564568,0
19-8-9,114.163498,22.605267,1
19-8-31,114.128250,22.561001,0
19-8-32,114.131218,22.561916,1
19-8-33,114.131218,22.561916,0
19-8-35,114.135696,22.566151,1
19-8-50,114.114784,22.534733,0
19-8-53,114.114334,22.533751,1
19-9-35,114.081497,22.547100,0
19-9-41,114.090668,22.551733,1
19-10-40,113.816353,22.646601,0
19-12-0,113.919418,22.529917,1
19-12-27,113.919830,22.496683,0
19-12-34,113.925003,22.497549,1
19-12-41,113.943436,22.506517,0
19-13-6,113.910370,22.535351,1
19-13-28,113.911568,22.502983,0
19-13-44,113.918266,22.506451,1
19-13-54,113.919014,22.528517,0
19-14-31,114.117981,22.537800,1
19-14-44,114.114601,22.534634,0
19-14-50,114.113686,22.541634,1
19-15-23,114.058167,22.516518,0
19-15-23,114.057999,22.516417,1
19-15-23,114.056747,22.515583,0
19-15-23,114.054153,22.514467,1
19-16-30,113.814796,22.651234,0
19-16-53,113.817131,22.645582,1
19-17-23,114.043518,22.537100,0
19-17-30,114.056633,22.537600,1
19-17-39,114.063553,22.532066,0
19-17-55,114.104019,22.544067,1
19-17-59,114.114685,22.545483,0
19-18-5,114.113564,22.542667,1
19-18-21,114.107697,22.568251,0
19-18-22,114.107719,22.568716,1
19-18-27,114.118446,22.561016,0
19-18-33,114.124397,22.554283,1
19-18-42,114.117851,22.536501,0
19-18-42,114.115463,22.535151,1
19-19-1,114.096298,22.559917,0
19-19-31,114.136971,22.563284,1
19-19-35,114.137085,22.561649,0
19-19-47,114.130363,22.572100,1
19-19-58,114.129700,22.553667,0
19-20-0,114.130249,22.553083,1
19-20-19,114.114098,22.534300,0
19-20-19,114.114098,22.534300,1
19-20-28,114.109268,22.541683,0
19-20-30,114.105019,22.542267,1
19-20-38,114.114052,22.531366,0
19-20-42,114.114265,22.540733,1
19-21-7,113.923737,22.524033,0
19-21-7,113.923653,22.524067,1
19-21-25,114.068497,22.523884,0
19-21-32,114.067413,22.524050,1
19-21-44,114.050331,22.567316,0
19-21-48,114.048920,22.567751,1
19-22-10,114.077515,22.557182,0
19-22-11,114.077484,22.557783,1
19-22-21,114.078514,22.534700,0
19-22-21,114.078415,22.534599,1
19-22-34,114.087135,22.560883,0
19-22-51,114.084801,22.549400,1
19-23-6,114.041451,22.551184,0
19-23-38,114.075935,22.540100,1
19-23-41,114.086517,22.540567,0
19-23-46,114.089447,22.539984,1
19-23-53,114.076920,22.535700,0
19-23-53,114.076866,22.535601,1
19-23-58,114.074951,22.531000,0
21-1-58,114.130867,22.550449,1
21-2-3,114.136169,22.557266,0
21-2-33,114.129913,22.574734,1
21-2-49,114.115334,22.558367,0
21-2-52,114.115883,22.557899,1
21-3-1,114.134201,22.547684,0
21-3-8,114.130470,22.550917,1
21-3-16,114.132629,22.565666,0
21-6-4,114.128166,22.574932,1
21-6-9,114.118980,22.570784,0
21-6-30,114.128136,22.574751,1
21-6-44,114.114067,22.531616,0
21-7-2,114.129868,22.571833,1
21-7-11,114.126221,22.543934,0
21-8-10,114.166946,22.605618,1
21-8-18,114.152847,22.626818,0
21-8-20,114.146599,22.622967,1
21-8-41,114.061569,22.641718,0
21-8-49,114.055580,22.622250,1
21-9-17,113.959351,22.594017,0
21-9-26,113.949532,22.574734,1
21-9-39,113.982635,22.536100,0
21-10-9,114.008232,22.548450,1
21-10-19,113.990448,22.531067,0
21-10-28,114.024414,22.531267,1
21-10-35,114.078529,22.533882,0
21-10-37,114.082153,22.534166,1
21-10-48,114.082367,22.543283,0
21-11-42,114.104332,22.552383,1
21-11-49,114.115646,22.546232,0
21-12-24,114.114098,22.534367,1
21-12-34,114.113632,22.550667,0
21-12-35,114.113281,22.550217,1
21-12-46,114.112663,22.542101,0
21-12-54,114.112221,22.538700,1
21-13-25,113.945099,22.555733,0
21-13-37,113.951286,22.538151,1
21-13-47,114.004181,22.536917,0
21-14-17,113.949532,22.539167,1
21-14-31,114.024765,22.536966,0
21-14-32,114.025566,22.537083,1
21-15-0,114.157753,22.563618,0
21-15-9,114.164452,22.565733,1
21-15-16,114.184448,22.560766,0
21-15-28,114.151398,22.556650,1
21-15-37,114.115982,22.542583,0
21-15-39,114.115898,22.542883,1
21-15-56,114.127602,22.560400,0
21-15-59,114.125450,22.558950,1
21-16-19,114.050880,22.550301,0
21-16-39,114.089531,22.551767,1
21-17-14,114.009598,22.535400,0
21-17-21,114.009621,22.534018,1
21-17-34,114.039169,22.524082,0
21-17-41,114.047935,22.534866,1
21-17-53,114.071915,22.537666,0
21-17-55,114.071983,22.537067,1
21-18-20,114.063004,22.517633,0
21-18-22,114.062782,22.517866,1
21-18-32,114.053619,22.527468,0
21-18-42,114.063118,22.537718,1
21-19-11,114.086098,22.570583,0
21-20-33,114.114883,22.586367,1
21-20-53,114.045982,22.534218,0
21-20-55,114.047798,22.533068,1
21-21-5,114.029602,22.527018,0
21-21-6,114.029732,22.527082,1
21-21-21,114.047852,22.539482,0
21-21-22,114.048584,22.539568,1
21-21-40,114.146271,22.557182,0
21-21-53,114.131386,22.550650,1
21-22-18,114.077271,22.537001,0
21-22-21,114.074181,22.539618,1
21-22-27,114.057198,22.527817,0
21-22-36,114.058365,22.527666,1
21-23-0,114.117851,22.570133,0
21-23-11,114.127251,22.574467,1
21-23-51,114.047485,22.510717,0
21-23-56,114.057983,22.517834,1
22-0-4,114.057266,22.529234,0
22-0-9,114.056770,22.530132,1
22-0-16,114.048203,22.537451,0
22-2-4,114.112152,22.585501,1
22-2-11,114.118446,22.546568,0
22-2-13,114.119286,22.546766,1
22-2-22,114.101120,22.547449,0
22-2-23,114.103165,22.549150,1
22-2-26,114.107666,22.548300,0
22-2-28,114.107651,22.548967,1
22-2-35,114.117485,22.580099,0
22-5-33,114.127968,22.574766,1
22-6-6,113.814682,22.649616,0
22-8-6,114.169899,22.605766,1
22-9-13,114.116615,22.536200,0
22-9-30,114.114403,22.533701,1
22-9-50,114.089630,22.554367,0
22-10-0,114.099266,22.559799,1
22-10-4,114.119553,22.559250,0
22-10-5,114.118553,22.563467,1
22-10-9,114.117035,22.582916,0
22-10-10,114.114731,22.586033,1
22-10-34,114.111153,22.542717,0
22-10-39,114.113617,22.539400,1
22-10-51,114.114929,22.532867,0
22-11-3,114.113365,22.534134,1
22-11-13,114.131134,22.548700,0
22-11-14,114.131798,22.548817,1
22-11-17,114.133682,22.549601,0
22-11-19,114.131569,22.548834,1
22-11-24,114.116982,22.541384,0
22-11-26,114.115616,22.539217,1
22-11-33,114.112999,22.535633,0
22-11-43,114.119553,22.538134,1
22-12-24,114.106796,22.540100,0
22-13-10,114.104134,22.554333,1
22-13-21,114.081467,22.546867,0
22-13-21,114.081619,22.545799,1
22-13-29,114.084114,22.535151,0
22-13-30,114.082001,22.535282,1
22-13-34,114.087318,22.540951,0
22-13-34,114.088936,22.541451,1
22-14-28,114.060669,22.653267,0
22-15-4,114.086815,22.566982,1
22-15-32,113.930420,22.541233,0
22-15-40,113.948280,22.541967,1
22-16-5,114.041618,22.523350,0
22-16-9,114.041283,22.530800,1
22-16-27,114.029282,22.563450,0
22-16-30,114.032951,22.564817,1
22-16-48,114.081482,22.547150,0
22-16-48,114.081650,22.546383,1
22-17-8,114.069519,22.527817,0
22-17-8,114.069435,22.526951,1
22-17-24,114.109001,22.537582,0
22-17-26,114.110031,22.537582,1
22-17-35,114.096802,22.540167,0
22-17-35,114.096169,22.540083,1
22-18-9,114.085670,22.565367,0
22-18-10,114.084198,22.562651,1
22-18-26,114.058830,22.562450,0
22-18-27,114.058418,22.562450,1
22-19-10,114.099182,22.567150,0
22-19-59,114.128304,22.550249,1
22-20-15,114.113953,22.531750,0
22-20-20,114.114067,22.538134,1
22-20-33,114.151398,22.552383,0
22-20-42,114.144966,22.554867,1
22-20-46,114.155884,22.560066,0
22-20-53,114.139099,22.549850,1
22-21-7,114.058632,22.569300,0
22-21-12,114.054268,22.568434,1
22-21-35,114.114883,22.542900,0
22-21-36,114.115150,22.543318,1
22-21-52,114.062866,22.517616,0
22-22-1,114.059669,22.525949,1
22-22-14,114.100899,22.546167,0
22-22-15,114.100914,22.546200,1
22-23-9,113.962685,22.549618,0
22-23-12,113.963783,22.543783,1
22-23-21,113.929153,22.545584,0
22-23-29,113.964081,22.541582,1
22-23-42,114.032997,22.518766,0
22-23-55,114.042931,22.527550,1
23-0-7,114.115250,22.544666,0
23-0-27,114.098717,22.540199,1
23-0-44,114.032364,22.554417,0
23-1-41,114.077286,22.537216,1
23-1-48,114.084114,22.547216,0
23-2-36,114.087868,22.541500,1
23-2-42,114.081596,22.551550,0
23-2-47,114.090485,22.554268,1
23-2-55,114.129631,22.555183,0
23-6-42,114.128181,22.574783,1
23-6-55,114.114166,22.531700,0
23-9-29,114.135071,22.611717,1
23-10-7,114.010185,22.548317,0
23-10-12,114.010948,22.548683,1
23-10-43,114.122086,22.565117,0
23-10-52,114.125183,22.566267,1
23-11-9,114.114082,22.531433,0
23-11-14,114.115486,22.544582,1
23-11-27,114.021004,22.532417,0
23-11-40,114.035515,22.548483,1
23-11-44,114.017181,22.543682,0
23-11-45,114.017853,22.542067,1
23-12-6,114.053452,22.513184,0
23-12-7,114.055618,22.513983,1
23-12-14,114.062653,22.537451,0
23-12-15,114.062851,22.535801,1
23-12-21,114.068466,22.523916,0
23-13-11,114.079918,22.554016,1
23-13-23,114.047951,22.533600,0
23-13-31,114.048485,22.525667,1
23-14-9,114.082832,22.571716,0
23-14-26,114.105949,22.609734,1
23-14-42,114.081535,22.547600,0
23-14-42,114.081764,22.547350,1
23-14-55,114.093300,22.541651,0
23-14-56,114.091919,22.541616,1
23-15-20,113.976830,22.548750,0
23-15-31,113.986320,22.538633,1
23-15-34,113.973747,22.540833,0
23-15-53,113.992218,22.539083,1
23-16-0,113.977654,22.553534,0
23-16-2,113.979301,22.550484,1
23-16-11,113.947533,22.527718,0
23-16-27,113.976830,22.536432,1
23-16-32,114.008430,22.536617,0
23-16-36,114.022079,22.536350,1
23-16-58,113.921921,22.508766,0
23-17-1,113.925781,22.510817,1
23-17-37,113.927521,22.506166,0
23-18-11,114.044815,22.531082,1
23-18-15,114.049820,22.535351,0
23-18-15,114.049820,22.535467,1
23-18-57,114.031769,22.615383,0
23-19-43,114.124367,22.569967,1
23-19-48,114.116249,22.579866,0
23-19-48,114.116936,22.580099,1
23-19-55,114.133247,22.571449,0
23-19-59,114.132629,22.571667,1
23-20-12,114.114670,22.546867,0
23-20-25,114.115250,22.550716,1
23-20-36,114.111816,22.539650,0
23-20-54,114.114799,22.553400,1
23-21-8,114.075752,22.534134,0
23-21-11,114.073883,22.537933,1
23-21-36,114.114929,22.586250,0
23-21-39,114.112282,22.585283,1
23-21-47,114.136032,22.569866,0
23-21-47,114.136902,22.569550,1
23-22-3,114.068466,22.524233,0
23-22-19,114.089767,22.541483,1
23-22-27,114.114052,22.531668,0
23-22-29,114.114349,22.535467,1
23-22-48,114.025230,22.528233,0
23-22-49,114.024948,22.528183,1
23-23-11,114.031151,22.623383,0
24-0-6,114.085869,22.549299,1
24-0-26,114.011482,22.544451,0
24-0-43,114.021515,22.536234,1
24-1-30,114.077950,22.533449,0
24-2-14,114.076614,22.535833,1
24-2-22,114.049866,22.528833,0
24-2-50,114.075882,22.534332,1
24-3-3,114.088318,22.549417,0
24-3-15,114.085785,22.549334,1
24-3-24,114.116066,22.541883,0
24-10-23,114.112396,22.585167,1
24-10-31,114.123703,22.558533,0
24-10-38,114.122398,22.557817,1
24-11-0,114.121033,22.625668,0
24-11-1,114.121216,22.624517,1
24-11-33,114.111282,22.533649,0
24-11-49,114.111664,22.532551,1
24-12-1,114.127914,22.556816,0
24-12-2,114.126900,22.554550,1
24-12-10,114.100700,22.564716,0
24-12-17,114.102966,22.555668,1
24-12-28,114.095047,22.541483,0
24-13-0,114.100830,22.554501,1
24-13-9,114.112564,22.585600,0
24-13-11,114.111916,22.585800,1
24-13-18,114.121468,22.580400,0
24-13-22,114.122597,22.578867,1
24-14-31,114.029800,22.650368,0
24-14-37,114.021347,22.638901,1
24-15-1,113.957565,22.565367,0
24-15-13,113.960915,22.559084,1
24-15-51,114.105766,22.551933,0
24-16-24,114.127586,22.550266,1
24-16-29,114.131966,22.548782,0
24-16-41,114.129631,22.547251,1
24-16-46,114.135948,22.550900,0
24-16-50,114.129585,22.546482,1
24-16-56,114.116135,22.542433,0
24-16-59,114.115631,22.546118,1
24-17-10,114.114815,22.551483,0
24-17-18,114.110550,22.546333,1
24-17-39,114.138466,22.609034,0
24-17-43,114.147186,22.609417,1
24-18-15,114.116615,22.548532,0
24-18-16,114.117050,22.547083,1
24-18-37,114.068535,22.524000,0
24-19-4,114.115517,22.544184,1
24-19-6,114.118668,22.543934,0
24-19-46,114.137115,22.568167,1
24-20-0,114.107780,22.540234,0
24-20-2,114.108818,22.540400,1
24-20-32,114.113419,22.541317,0
24-20-45,114.120216,22.538683,1
24-20-56,114.122551,22.550283,0
24-20-57,114.122398,22.550768,1
24-21-17,114.138885,22.579733,0
24-21-43,114.120430,22.544733,1
24-22-1,114.113998,22.531782,0
24-22-9,114.119270,22.542233,1
24-22-41,114.022469,22.533567,0
24-22-55,114.042213,22.529600,1
24-23-6,114.022850,22.527567,0
24-23-43,114.060303,22.520683,1
24-23-48,114.061035,22.529449,0
