time,jd,wd,status
18-0,113.933815,22.522017,1
18-0,113.949570,22.578100,0
18-0,113.984268,22.546949,1
18-0,114.065681,22.547600,0
18-3,114.129379,22.551033,1
18-3,114.130280,22.571632,0
18-3,114.133614,22.549534,1
18-3,114.113800,22.540733,0
18-7,114.117668,22.537201,1
18-7,113.816299,22.646767,0
18-8,113.895554,22.563766,1
18-9,113.964180,22.583567,0
18-9,114.018867,22.555416,1
18-9,114.063484,22.531467,0
18-9,114.079231,22.535000,1
18-10,114.079147,22.543150,0
18-10,114.076767,22.543118,1
18-10,114.005814,22.549999,0
18-10,114.006432,22.549433,1
18-10,114.015137,22.533068,0
18-10,114.020599,22.538799,1
18-11,114.019920,22.539066,0
18-11,114.026268,22.545601,1
18-11,114.018669,22.555683,0
18-11,114.033447,22.553017,1
18-11,114.100548,22.543200,0
18-12,114.098564,22.541100,1
18-12,114.164635,22.563101,0
18-12,114.164230,22.564383,1
18-13,114.105186,22.545668,0
18-14,114.229347,22.556433,1
18-14,114.229347,22.556467,0
18-14,114.175285,22.562017,1
18-14,114.133781,22.560101,0
18-14,114.126251,22.559950,1
18-14,114.114830,22.540934,0
18-16,114.124336,22.554317,1
18-16,114.131569,22.557632,0
18-17,114.133102,22.549183,1
18-17,114.114151,22.534367,0
18-17,114.114151,22.534367,1
18-17,114.116280,22.552467,0
18-17,114.116531,22.552168,1
18-17,114.111847,22.586433,0
18-17,114.116280,22.546350,1
18-17,114.113953,22.531918,0
18-18,114.119499,22.539249,1
18-18,114.102570,22.543016,0
18-18,114.104103,22.543217,1
18-18,114.084236,22.544382,0
18-18,114.084152,22.545334,1
18-19,114.121536,22.543516,0
18-19,114.121918,22.544649,1
18-21,114.111748,22.595568,0
18-21,114.114983,22.551683,1
18-21,114.103020,22.551434,0
18-21,114.116302,22.546316,1
18-22,114.127800,22.560034,0
18-22,114.127914,22.560284,1
18-22,114.122299,22.562250,0
18-22,114.117134,22.546700,1
18-22,114.136002,22.560118,0
18-22,114.134117,22.557367,1
18-22,114.106102,22.551567,0
18-22,114.104614,22.553350,1
18-22,114.104568,22.543133,0
18-22,114.109550,22.541550,1
18-23,114.068466,22.524134,0
18-23,114.081886,22.534967,1
18-23,114.083931,22.547632,0
18-23,114.086632,22.549334,1
18-23,114.043732,22.601700,0
18-23,114.089020,22.562300,1
19-0,114.060883,22.648951,0
19-0,114.058136,22.637716,1
19-0,114.084053,22.548901,0
19-1,114.226517,22.549150,1
19-1,114.067017,22.519150,0
19-1,114.117203,22.551201,1
19-1,114.118034,22.610233,0
19-6,114.164200,22.564100,1
19-6,114.114731,22.532717,0
19-6,114.117630,22.536833,1
19-7,114.112030,22.547733,0
