time,jd,wd,status
18-0-5,114.119919,22.546984,0
18-0-15,114.120682,22.542133,1
18-0-25,114.068398,22.523817,0
18-1-9,114.055115,22.525984,1
18-1-18,114.019783,22.529200,0
18-2-33,114.053886,22.526182,1
18-2-42,114.113914,22.537434,0
18-3-0,114.118347,22.540117,1
18-3-1,114.113586,22.542700,0
18-3-9,114.117081,22.539749,1
18-3-12,114.109970,22.546600,0
18-3-31,114.105553,22.539932,1
18-3-56,114.119965,22.541533,0
18-7-3,114.055969,22.525917,1
18-7-30,114.054848,22.525801,0
18-7-31,114.055901,22.525883,1
18-7-40,114.009781,22.534533,0
18-7-46,114.016914,22.537983,1
18-8-8,114.050652,22.567133,0
18-8-9,114.051483,22.567232,1
18-8-19,114.044800,22.557833,0
18-8-23,114.041153,22.556299,1
18-8-33,114.008080,22.551683,0
18-8-34,114.007050,22.550016,1
18-8-39,114.017433,22.540483,0
18-8-41,114.017517,22.542982,1
18-8-44,114.008949,22.549368,0
18-8-47,114.020668,22.555517,1
18-9-4,114.101631,22.561832,0
18-9-8,114.103432,22.558634,1
18-9-29,114.055763,22.535633,0
18-9-47,114.086304,22.540716,1
18-9-57,114.111298,22.532818,0
18-9-59,114.110649,22.538483,1
18-10-21,114.051003,22.565767,0
18-10-24,114.052086,22.567217,1
18-10-46,114.137779,22.580299,0
18-10-48,114.139000,22.579517,1
18-11-6,114.113815,22.535133,0
18-11-8,114.113747,22.534166,1
18-11-53,113.944832,22.683083,0
18-12-25,113.934036,22.627916,1
18-12-53,114.053619,22.535049,0
18-12-59,114.058998,22.542032,1
18-13-16,114.123764,22.558567,0
18-13-51,114.100533,22.538366,1
18-14-7,114.010246,22.548332,0
18-14-15,114.033936,22.550783,1
18-14-42,113.893333,22.506968,0
18-14-45,113.900414,22.513332,1
18-15-6,113.963135,22.541834,0
18-15-8,113.965401,22.541033,1
18-15-15,113.990448,22.541367,0
18-15-19,113.992203,22.538000,1
18-15-27,113.963600,22.543051,0
18-15-45,114.023232,22.538200,1
18-15-50,114.024132,22.526182,0
18-15-53,114.027031,22.525932,1
18-16-2,114.044403,22.521816,0
18-16-4,114.042450,22.522017,1
18-16-10,114.050934,22.550367,0
18-16-10,114.050934,22.550367,1
18-16-48,114.110184,22.598499,0
18-17-3,114.091164,22.564600,1
18-17-24,114.123367,22.569668,0
18-17-26,114.122070,22.569332,1
18-17-46,114.081680,22.549749,0
18-18-16,114.078331,22.533882,1
18-18-40,114.042419,22.514767,0
18-19-16,114.056618,22.520866,1
18-19-55,114.063347,22.519318,0
18-20-52,114.116966,22.547132,1
18-20-53,114.116531,22.547850,0
18-20-58,114.119583,22.546932,1
18-21-5,114.118568,22.541767,0
18-21-6,114.119270,22.542418,1
18-21-14,114.113930,22.531549,0
18-21-16,114.114983,22.533400,1
18-21-28,114.119118,22.561617,0
18-21-34,114.116714,22.548067,1
18-21-43,114.108315,22.541401,0
18-21-45,114.108116,22.541416,1
18-21-50,114.116653,22.547951,0
18-21-51,114.121246,22.547899,1
18-22-1,114.137650,22.562532,0
18-22-2,114.138313,22.563417,1
18-22-12,114.128098,22.579700,0
18-22-21,114.123650,22.558434,1
18-22-30,114.120979,22.547182,0
18-22-33,114.120819,22.543667,1
18-22-44,114.068352,22.523767,0
18-23-0,114.059570,22.526182,1
18-23-3,114.058884,22.520300,0
18-23-18,114.055481,22.526033,1
18-23-36,114.113815,22.596416,0
18-23-50,114.111931,22.597300,1
18-23-57,114.108070,22.616117,0
