time,jd,wd,status
18-3-34,114.125504,22.552780,0
19-23-58,113.816483,22.647881,1
20-0-0,113.816483,22.647881,0
20-0-0,113.816483,22.647881,1
20-0-1,113.816483,22.647881,0
20-0-2,113.816483,22.647881,1
20-0-4,113.816483,22.647881,0
20-0-4,113.816483,22.647881,1
20-0-6,113.816483,22.647881,0
20-0-8,113.816483,22.647881,1
20-0-9,113.816483,22.647881,0
20-0-11,113.816483,22.647881,1
20-0-12,113.816483,22.647881,0
20-0-15,113.816483,22.647881,1
20-0-16,113.816483,22.647881,0
20-0-16,113.816483,22.647881,1
20-0-18,113.816505,22.647392,0
20-0-29,113.862465,22.601187,1
20-0-30,113.862457,22.601175,0
20-0-30,113.862457,22.601175,1
20-0-32,113.862457,22.601175,0
20-0-32,113.862457,22.601175,1
20-0-33,113.863747,22.599791,0
20-16-26,114.120903,22.677582,1
20-16-27,114.120872,22.677607,0
20-16-28,114.120872,22.677607,1
20-16-30,114.120872,22.677607,0
20-16-30,114.120872,22.677607,1
20-16-32,114.120872,22.677607,0
23-9-46,113.923119,22.527502,1
23-9-48,113.922897,22.527937,0
