time,jd,wd,status
18-1-7,114.068382,22.523649,0
18-2-48,113.920448,22.543249,1
18-2-51,113.914764,22.539150,0
18-7-18,113.908752,22.572184,1
18-7-46,113.917618,22.522150,0
18-7-50,113.922081,22.522818,1
18-8-2,113.905434,22.531450,0
18-8-3,113.905434,22.531450,1
18-8-39,113.937569,22.542583,0
18-8-45,113.948463,22.543367,1
18-9-1,113.935097,22.557383,0
18-9-8,113.918350,22.550432,1
18-9-44,114.058052,22.536034,0
18-10-1,113.996201,22.535151,1
18-10-19,113.927200,22.550533,0
18-10-33,113.919380,22.540783,1
18-10-44,113.944984,22.542732,0
18-10-53,113.925919,22.535450,1
18-11-2,113.930336,22.527767,0
18-11-8,113.919899,22.532600,1
18-11-19,113.928703,22.548717,0
18-12-53,113.930801,22.544333,1
18-13-13,114.048416,22.537283,0
18-13-14,114.049469,22.537367,1
18-13-18,114.063049,22.538082,0
18-13-20,114.062668,22.539700,1
18-13-31,114.050903,22.525784,0
18-13-33,114.046768,22.525833,1
18-13-37,114.038185,22.529467,0
18-13-51,113.988884,22.536333,1
18-14-0,113.930733,22.543818,0
18-14-8,113.938904,22.543083,1
18-14-14,113.910332,22.544483,0
18-14-17,113.917915,22.543034,1
18-14-24,113.938751,22.546150,0
18-14-25,113.939880,22.546133,1
18-14-43,113.969521,22.596050,0
18-14-44,113.969116,22.595984,1
18-15-2,113.945351,22.583717,0
18-15-26,113.947784,22.563801,1
18-15-51,114.107803,22.572233,0
18-15-54,114.106232,22.574717,1
18-16-2,114.078453,22.549833,0
18-16-3,114.078430,22.549133,1
18-16-9,114.062599,22.546749,0
18-16-27,113.970665,22.539618,1
18-16-39,113.904816,22.557083,0
18-17-37,113.915047,22.541250,1
18-18-9,114.084236,22.538218,0
18-18-12,114.083549,22.537600,1
18-19-28,114.025734,22.531483,0
18-18-30,114.020935,22.532400,1
18-18-54,113.814468,22.650017,0
18-20-1,113.980797,22.553417,1
18-20-9,114.023720,22.531418,0
18-20-10,114.023964,22.531349,1
18-20-16,114.041496,22.520884,0
18-20-19,114.039268,22.517082,1
18-20-27,114.047897,22.537767,0
18-20-33,114.042282,22.550266,1
18-20-39,114.034752,22.568666,0
18-21-13,114.034218,22.549368,1
18-21-27,114.062584,22.517532,0
18-21-36,114.059814,22.525482,1
18-21-48,114.137550,22.551283,0
18-21-52,114.143265,22.551468,1
18-22-8,114.106682,22.598351,0
18-22-23,114.094551,22.561983,1
18-22-35,114.158333,22.564199,0
18-22-56,114.160896,22.562401,1
18-23-6,114.183418,22.557417,0
19-0-3,114.122032,22.552032,1
19-0-11,114.113548,22.541582,0
19-0-13,114.112717,22.538668,1
19-0-30,114.116447,22.543800,0
19-0-30,114.116447,22.543800,1
19-0-35,114.116447,22.543800,0
19-0-35,114.116447,22.543800,1
19-0-43,114.117218,22.543333,0
