time,jd,wd,status
18-0-42,114.095268,22.541250,0
18-1-2,114.120499,22.542267,1
18-1-7,114.117981,22.554268,0
18-1-15,114.118698,22.543783,1
18-1-21,114.117882,22.560516,0
18-1-35,114.119720,22.542534,1
18-1-38,114.113647,22.544733,0
18-2-43,114.121513,22.542982,1
18-2-49,114.129181,22.560034,0
18-3-11,114.121201,22.543400,1
18-3-15,114.116653,22.548834,0
18-7-6,114.108170,22.611267,1
18-7-16,114.098900,22.571650,0
18-7-34,114.089302,22.537951,1
18-7-42,114.079651,22.549116,0
18-7-47,114.070381,22.548000,1
18-8-10,114.117783,22.590567,0
18-8-14,114.114899,22.589718,1
18-8-46,114.113968,22.534634,0
18-8-49,114.113503,22.534401,1
18-9-7,114.080734,22.537149,0
18-9-7,114.080551,22.537083,1
18-9-25,113.951530,22.542183,0
18-9-41,113.981270,22.536150,1
18-10-16,114.122398,22.556267,0
18-10-17,114.123619,22.555149,1
18-10-27,114.131485,22.572100,0
18-10-28,114.135468,22.570482,1
18-10-39,114.143547,22.552767,0
18-10-45,114.132629,22.549067,1
18-10-53,114.113480,22.543200,0
18-10-55,114.112335,22.542049,1
18-11-15,114.013885,22.533216,0
18-12-46,113.815567,22.649782,1
18-13-29,114.103920,22.584183,0
18-13-35,114.107780,22.571617,1
18-13-37,114.107750,22.568501,0
18-13-50,114.068901,22.551018,1
18-14-8,114.116882,22.536266,0
18-14-21,114.113464,22.534451,1
18-14-26,114.123154,22.540934,0
18-14-27,114.126419,22.542549,1
18-14-37,114.103233,22.552883,0
18-14-41,114.100487,22.555218,1
18-15-5,114.081970,22.548866,0
18-15-32,114.082153,22.533318,1
18-15-51,114.081619,22.544201,0
18-16-55,114.101883,22.629000,1
18-17-14,114.043602,22.616583,0
18-17-51,114.044067,22.547400,1
18-17-59,114.028831,22.533300,0
18-18-22,114.024948,22.531250,1
18-19-7,114.117020,22.543217,0
18-19-11,114.111771,22.542000,1
18-19-19,114.107269,22.551783,0
18-19-56,114.121429,22.543516,1
18-20-51,114.081314,22.537283,0
18-20-54,114.078430,22.533867,1
18-21-0,114.060951,22.521532,0
18-21-5,114.063080,22.528517,1
18-21-19,114.094536,22.560467,0
18-21-26,114.104034,22.557432,1
18-21-36,114.114136,22.534866,0
18-21-42,114.113503,22.534401,1
18-21-52,114.121284,22.568951,0
18-22-5,114.110352,22.546167,1
18-22-24,114.129967,22.548668,0
18-22-33,114.121315,22.539633,1
18-22-41,114.108932,22.541782,0
18-22-44,114.109749,22.541817,1
18-22-50,114.081863,22.536318,0
18-22-54,114.075752,22.532034,1
18-22-57,114.061699,22.534451,0
18-22-59,114.061920,22.532516,1
18-23-7,113.974953,22.522949,0
18-23-17,113.923515,22.522484,1
18-23-24,113.923103,22.527683,0
18-23-25,113.922997,22.527782,1
18-23-28,113.923103,22.517851,0
18-23-34,113.918518,22.526382,1
18-23-38,113.910133,22.539467,0
18-23-43,113.917564,22.527283,1
18-23-48,113.904549,22.517384,0
18-23-51,113.913429,22.526266,1
18-23-53,113.917786,22.523567,0
18-23-59,113.921997,22.501534,1
19-0-3,113.922279,22.488817,0
19-0-7,113.920151,22.492649,1
19-0-16,113.901680,22.514767,0
19-1-44,114.079681,22.535784,1
19-1-48,114.076050,22.534384,0
19-2-4,114.079498,22.535366,1
19-2-9,114.118698,22.539551,0
19-3-26,114.121651,22.543068,1
19-3-32,114.126350,22.549049,0
19-5-32,114.065948,22.642517,1
19-5-36,114.082787,22.637850,0
19-7-34,114.063934,22.537750,1
19-7-40,114.062737,22.518917,0
19-7-43,114.057785,22.515249,1
19-7-52,114.058418,22.536667,0
19-7-58,114.064499,22.537317,1
19-8-13,114.104385,22.555017,0
19-8-14,114.104103,22.556217,1
19-8-21,114.096886,22.564751,0
