time,jd,wd,status
18-0-9,113.914902,22.543682,0
18-0-12,113.905869,22.553667,1
18-0-38,114.024666,22.659582,0
18-1-7,114.061417,22.571550,1
18-1-13,114.040283,22.575199,0
18-1-17,114.037086,22.568617,1
18-1-26,114.064018,22.536182,0
18-6-51,113.910080,22.540182,1
18-7-16,114.062386,22.517532,0
18-7-37,114.063271,22.517799,1
18-7-54,114.023666,22.530783,0
18-7-56,114.026382,22.527582,1
18-8-9,114.026131,22.536034,0
18-8-18,114.018021,22.531300,1
18-8-40,114.111031,22.534967,0
18-8-41,114.110970,22.534067,1
18-9-4,114.056152,22.531799,0
18-9-8,114.049568,22.527184,1
18-9-19,114.065514,22.547600,0
18-9-20,114.064766,22.547449,1
18-9-22,114.058434,22.549517,0
18-9-26,114.059418,22.549517,1
18-9-39,114.101898,22.543568,0
18-9-40,114.101898,22.543568,1
18-9-54,114.056580,22.531834,0
18-10-12,114.067886,22.523951,1
18-10-30,114.119598,22.549500,0
18-10-35,114.118629,22.547968,1
18-10-42,114.129684,22.557699,0
18-10-43,114.129829,22.559151,1
18-11-6,114.068420,22.523933,0
18-11-20,114.067848,22.523884,1
18-11-28,114.062820,22.517633,0
18-11-43,114.063416,22.517799,1
18-11-50,114.066818,22.538799,0
18-11-55,114.074471,22.542583,1
18-12-5,114.107964,22.540817,0
18-12-9,114.108467,22.541634,1
18-12-17,114.093918,22.541468,0
18-12-18,114.092316,22.541451,1
18-12-26,114.074867,22.541634,0
18-12-28,114.075752,22.541317,1
18-12-40,114.062820,22.572599,0
18-12-48,114.045403,22.558483,1
18-13-5,113.915985,22.543533,0
18-13-5,113.915985,22.543533,1
18-13-15,113.921783,22.515833,0
18-13-17,113.919785,22.510851,1
18-13-23,113.908630,22.514168,0
18-13-26,113.915199,22.510532,1
18-13-33,113.915634,22.514883,0
18-13-36,113.919853,22.514500,1
18-13-44,113.926834,22.527384,0
18-13-47,113.924667,22.530800,1
18-14-10,114.114037,22.531717,0
18-14-13,114.113785,22.537884,1
18-14-38,114.032784,22.564083,0
18-14-58,114.042130,22.560034,1
18-15-12,114.063637,22.531467,0
18-15-13,114.063637,22.531467,1
18-15-32,114.102753,22.560266,0
18-15-42,114.081215,22.558767,1
18-15-50,114.044800,22.557882,0
18-15-51,114.043518,22.556883,1
18-15-53,114.040230,22.559549,0
18-15-58,114.035965,22.560400,1
18-16-17,113.900719,22.554716,0
18-16-22,113.906715,22.553833,1
18-16-26,113.914566,22.539017,0
18-16-51,113.939430,22.546217,1
18-17-1,113.926865,22.549250,0
18-17-9,113.940468,22.546101,1
18-17-25,113.899719,22.513849,0
18-17-36,113.924103,22.523867,1
18-17-46,113.965469,22.532700,0
18-17-50,113.961830,22.537382,1
18-18-6,114.026535,22.538349,0
18-18-8,114.026886,22.537399,1
18-18-26,113.922165,22.526550,0
18-18-27,113.922165,22.526550,1
18-18-38,113.913818,22.540867,0
18-18-41,113.915230,22.541616,1
18-18-51,113.951065,22.551132,0
18-18-55,113.948982,22.544001,1
18-19-17,113.907402,22.528383,0
18-20-1,113.909370,22.515118,1
18-20-11,113.883102,22.496668,0
18-20-20,113.906235,22.515118,1
18-20-29,113.917732,22.497732,0
18-20-48,113.908730,22.479733,1
18-21-34,114.058716,22.648916,0
18-21-41,114.061020,22.648233,1
18-22-3,114.115135,22.579233,0
18-22-14,114.113419,22.546568,1
18-22-27,114.130569,22.574717,0
18-22-28,114.130348,22.574766,1
18-22-31,114.120583,22.573900,0
18-22-44,114.112846,22.546432,1
18-22-45,114.113914,22.546066,0
18-23-0,114.113235,22.546049,1
18-23-16,114.080498,22.532450,0
18-23-24,114.063965,22.531982,1
18-23-34,114.069504,22.571318,0
19-0-15,113.920082,22.535601,1
19-0-20,113.928482,22.512882,0
19-7-2,113.907631,22.531233,1
19-7-22,113.902046,22.581484,0
19-7-30,113.895950,22.563299,1
19-7-41,113.940430,22.544567,0
19-7-50,113.938568,22.543083,1
19-7-58,113.924202,22.517799,0
19-7-58,113.924202,22.517799,1
19-8-30,114.049721,22.549200,0
19-8-41,114.039146,22.543650,1
19-8-51,114.054916,22.535267,0
19-8-52,114.054916,22.535267,1
19-8-56,114.056847,22.535351,0
19-9-7,114.051598,22.526367,1
19-9-23,114.039635,22.550249,0
19-9-25,114.039597,22.550034,1
19-9-37,114.048515,22.524332,0
19-9-38,114.048683,22.521099,1
19-9-43,114.054382,22.530533,0
19-9-47,114.052330,22.531250,1
19-10-5,114.062798,22.517616,0
19-10-7,114.063065,22.517799,1
19-10-55,113.816284,22.646618,0
19-11-38,113.906548,22.553734,1
19-11-47,113.919884,22.532717,0
19-11-49,113.919800,22.534033,1
19-12-0,113.930183,22.517282,0
19-12-7,113.924881,22.518267,1
19-12-12,113.920151,22.511450,0
19-12-13,113.919701,22.510082,1
19-12-38,114.108620,22.541634,0
19-12-41,114.108620,22.541634,1
19-12-48,114.113518,22.534433,0
19-12-50,114.113518,22.534433,1
19-13-2,114.120018,22.538082,0
19-13-3,114.120018,22.538082,1
19-13-17,114.113968,22.537033,0
19-13-27,114.113480,22.534317,1
19-13-32,114.118217,22.537550,0
19-13-47,114.116982,22.547216,1
19-13-52,114.121399,22.569017,0
19-13-59,114.118553,22.553633,1
19-14-4,114.115868,22.542700,0
19-14-4,114.115868,22.542700,1
19-14-28,114.130203,22.583817,0
19-14-29,114.130333,22.584316,1
19-14-41,114.159264,22.610567,0
19-14-46,114.149467,22.608482,1
19-14-57,114.115219,22.578983,0
19-14-58,114.115219,22.578983,1
19-15-5,114.090668,22.561417,0
19-15-9,114.090820,22.556368,1
19-15-13,114.082397,22.552000,0
19-15-14,114.082298,22.552000,1
19-16-7,113.814430,22.649851,0
19-16-55,113.938751,22.546133,1
19-17-0,113.950470,22.550266,0
19-17-4,113.948219,22.543533,1
19-17-8,113.944252,22.551001,0
19-17-12,113.940033,22.543301,1
19-17-17,113.923203,22.532183,0
19-17-18,113.921867,22.530033,1
19-17-21,113.932671,22.523533,0
19-17-24,113.931114,22.521584,1
19-17-36,113.892464,22.561199,0
19-18-4,113.906532,22.553717,1
19-18-31,113.929916,22.493784,0
19-18-33,113.930817,22.489267,1
19-18-37,113.917320,22.493217,0
19-18-38,113.917084,22.493183,1
19-18-58,113.931015,22.519899,0
19-19-1,113.928581,22.519617,1
19-20-27,113.892548,22.505533,0
19-19-35,113.913147,22.520983,1
19-20-1,113.859886,22.576433,0
19-21-27,113.913963,22.539066,1
19-20-38,113.925980,22.522766,0
19-20-43,113.923714,22.521618,1
19-20-52,113.963364,22.542850,0
19-20-53,113.963364,22.542850,1
19-21-15,113.853554,22.575050,0
19-21-31,113.912514,22.539400,1
19-21-39,113.916649,22.526016,0
19-21-47,113.918182,22.520651,1
19-21-54,113.914619,22.528383,0
19-22-0,113.919083,22.530600,1
19-22-4,113.916534,22.542133,0
19-22-37,113.940453,22.546034,1
19-22-42,113.920151,22.530317,0
19-22-44,113.921051,22.530167,1
19-22-57,113.894348,22.570583,0
19-23-17,113.933548,22.548283,1
19-23-36,113.856483,22.616800,0
20-6-52,113.907135,22.535101,1
20-7-0,113.922333,22.542749,0
20-7-21,113.914749,22.539467,1
20-7-50,114.114166,22.534550,0
20-8-12,114.105385,22.551617,1
20-8-26,114.129280,22.550699,0
20-8-29,114.130219,22.554882,1
20-8-51,114.089516,22.543633,0
20-8-52,114.089516,22.543633,1
20-9-26,114.065414,22.684267,0
20-10-4,114.046669,22.604300,1
20-10-26,114.045731,22.549334,0
20-10-27,114.045448,22.549299,1
20-10-38,114.068382,22.523817,0
20-10-45,114.071602,22.530451,1
20-11-1,114.092552,22.559799,0
20-11-2,114.092552,22.559799,1
20-11-5,114.080597,22.558117,0
20-11-6,114.080597,22.558117,1
20-11-19,114.047050,22.540800,0
20-11-26,114.050903,22.550367,1
20-11-31,114.043404,22.557917,0
20-11-31,114.043404,22.557917,1
20-11-50,113.971252,22.596684,0
20-11-53,113.966331,22.595949,1
20-11-59,113.950851,22.583799,0
20-12-0,113.950851,22.583799,1
20-12-5,113.951164,22.579332,0
20-13-25,113.940315,22.553467,1
20-12-32,113.962868,22.541967,0
20-12-58,114.009384,22.534849,1
20-13-9,114.078667,22.533951,0
20-13-19,114.071884,22.539333,1
20-13-32,114.087830,22.548483,0
20-15-16,114.089935,22.560516,1
20-15-26,114.094048,22.564684,0
20-15-27,114.094048,22.564684,1
