time,jd,wd,status
18-0,114.080971,22.549232,1
18-0,114.051666,22.526367,0
18-0,114.058319,22.525618,1
18-0,114.117554,22.543783,0
18-0,114.117348,22.544832,1
18-0,114.101883,22.608482,0
18-1,114.111900,22.585934,1
18-1,114.134117,22.557383,0
18-1,114.125565,22.548000,1
18-2,114.111000,22.587133,0
18-4,114.011551,22.534599,1
18-4,114.063202,22.533817,0
18-4,114.008385,22.534117,1
18-4,114.044418,22.510834,0
18-7,114.083534,22.571800,1
18-7,114.121468,22.569082,0
18-8,114.130470,22.606916,1
18-8,114.109718,22.545650,0
18-8,114.108437,22.541550,1
18-9,114.009682,22.535200,0
18-9,114.009331,22.535151,1
18-9,113.949799,22.537333,0
18-9,113.986214,22.536051,1
18-9,114.006065,22.548532,0
18-9,114.037781,22.555901,1
18-10,114.118050,22.547768,0
18-10,114.116936,22.550833,1
18-10,114.116020,22.542200,0
18-10,114.115883,22.542700,1
18-10,114.134369,22.578751,0
18-10,114.130615,22.577967,1
18-11,114.112701,22.549417,0
18-11,114.111748,22.548117,1
18-11,114.063049,22.536133,0
18-11,114.075966,22.534332,1
18-12,114.064720,22.537783,0
18-12,114.062653,22.542534,1
18-12,114.095268,22.540216,0
18-12,114.099930,22.541082,1
18-12,114.111580,22.540667,0
18-13,114.116631,22.576500,1
18-13,114.135635,22.570101,0
18-13,114.136864,22.568001,1
18-13,114.138069,22.559834,0
18-13,114.134415,22.557617,1
18-13,114.129631,22.550949,0
18-14,114.108253,22.547016,1
18-14,114.125420,22.567417,0
18-14,114.124870,22.560949,1
18-14,114.104103,22.560118,0
18-14,114.106934,22.561050,1
18-15,114.113518,22.534500,0
18-15,114.113518,22.534416,1
18-15,114.130531,22.551216,0
18-15,114.129349,22.551050,1
18-15,114.143501,22.553034,0
18-15,114.138680,22.549816,1
18-16,114.118149,22.543983,0
18-16,114.117401,22.543167,1
18-16,114.068436,22.523832,0
18-16,114.067436,22.524633,1
18-16,114.058365,22.525883,0
18-16,114.059402,22.525932,1
18-16,114.067001,22.525583,0
18-16,114.075684,22.531668,1
18-16,114.081764,22.539801,0
18-16,114.084267,22.539682,1
18-16,114.072052,22.530216,0
18-16,114.072151,22.531282,1
18-17,114.125732,22.550501,0
18-17,114.126053,22.550449,1
18-17,114.084251,22.542334,0
18-17,114.085854,22.543501,1
18-18,114.107330,22.546850,0
18-18,114.107582,22.546900,1
18-19,114.114685,22.580667,0
18-19,114.012718,22.542999,1
18-21,113.971046,22.540783,0
18-21,113.979118,22.539600,1
18-21,113.992249,22.539516,0
18-21,113.991798,22.542549,1
18-22,114.027084,22.627283,0
18-22,114.030418,22.625483,1
18-22,114.025368,22.660133,0
18-22,114.022736,22.657932,1
18-22,114.038452,22.555550,0
18-22,114.039848,22.554117,1
18-23,113.931480,22.512899,0
18-23,113.927536,22.513733,1
18-23,113.900948,22.519083,0
18-23,113.917435,22.508818,1
18-23,113.923149,22.496082,0
19-0,114.011269,22.534117,1
19-0,113.986450,22.536417,0
19-0,114.011932,22.533216,1
19-0,114.121315,22.543432,0
19-0,114.122101,22.544767,1
19-0,114.137604,22.585466,0
19-1,114.104431,22.558567,1
19-1,114.122498,22.545116,0
19-3,114.012383,22.532084,1
19-3,114.024635,22.526817,0
19-5,114.083237,22.572817,1
19-5,114.111801,22.563101,0
19-6,114.083733,22.571850,1
19-6,114.082199,22.533449,0
19-7,114.132050,22.603132,1
19-8,114.112396,22.535933,0
19-8,114.113815,22.534218,1
19-9,114.136902,22.571817,0
19-9,114.137550,22.571016,1
19-9,114.112366,22.546383,0
19-9,114.112068,22.545668,1
19-9,114.019684,22.534567,0
19-9,114.029671,22.527767,1
19-9,114.025482,22.535650,0
19-9,114.025452,22.535749,1
19-10,114.079865,22.573217,0
19-10,114.098648,22.572983,1
19-10,114.099586,22.548500,0
19-10,114.099548,22.548866,1
19-10,114.113983,22.531651,0
19-10,114.113480,22.534166,1
19-11,114.063835,22.571133,0
19-11,114.066002,22.571217,1
19-11,114.032654,22.566799,0
19-11,114.037315,22.568701,1
19-11,114.045570,22.596832,0
19-12,114.112000,22.585733,1
19-12,114.051147,22.535151,0
19-12,114.060234,22.535583,1
19-12,114.063667,22.545601,0
19-12,114.081833,22.543150,1
19-13,114.105019,22.549517,0
19-13,114.105530,22.551567,1
19-13,114.046585,22.569233,0
19-13,114.047432,22.569267,1
19-14,114.089149,22.551733,0
19-14,114.101883,22.556984,1
19-14,114.060432,22.543667,0
19-14,114.060432,22.543734,1
19-14,114.082214,22.545650,0
19-15,114.084053,22.546167,1
19-15,114.080368,22.557568,0
19-15,114.074417,22.542282,1
19-15,114.039368,22.519600,0
19-16,114.022552,22.533916,1
19-16,114.007568,22.537117,0
19-16,114.006531,22.536818,1
19-17,114.035965,22.567183,0
19-17,114.048882,22.567949,1
19-18,114.128830,22.614300,0
19-18,114.110580,22.587250,1
19-19,114.114014,22.531183,0
19-19,114.106247,22.590267,1
19-20,114.110985,22.611950,0
19-20,114.116280,22.546249,1
19-20,114.130898,22.550900,0
19-21,114.129486,22.551817,1
19-21,114.033096,22.561317,0
19-21,114.125748,22.552717,1
19-22,114.119568,22.563883,0
19-22,114.123901,22.562183,1
19-22,114.150047,22.552633,0
19-22,114.112335,22.545616,1
19-22,114.141670,22.612949,0
19-22,114.135666,22.609850,1
19-22,114.110466,22.621817,0
19-23,114.110870,22.586634,1
19-23,114.094734,22.580433,0
19-23,114.098419,22.575750,1
19-23,114.102020,22.572750,0
19-23,114.079567,22.549168,1
20-0,114.071999,22.530268,0
20-0,114.081566,22.548683,1
20-0,114.107765,22.567783,0
20-0,114.085732,22.549200,1
20-0,114.029152,22.619818,0
20-0,114.028954,22.618750,1
20-1,114.030685,22.619301,0
20-2,113.935730,22.524050,1
20-2,113.921097,22.506018,0
20-6,114.083321,22.571833,1
20-6,114.118103,22.584618,0
20-8,114.132080,22.602966,1
20-8,114.103966,22.569633,0
20-8,114.107765,22.571432,1
20-8,114.117264,22.548067,0
20-8,114.117371,22.548267,1
20-9,114.112267,22.536516,0
20-9,114.111618,22.540367,1
20-9,114.113953,22.531767,0
20-9,114.118881,22.554251,1
20-9,114.094620,22.562668,0
20-9,114.094582,22.564167,1
20-9,114.081032,22.543333,0
20-10,114.100052,22.555099,1
20-10,114.114983,22.530733,0
20-10,114.116814,22.550833,1
20-10,114.111580,22.587267,0
20-10,114.110916,22.587618,1
20-10,114.114487,22.561832,0
20-10,114.115433,22.554466,1
20-11,114.170898,22.566816,0
20-11,114.160233,22.564182,1
20-11,114.156967,22.561817,0
20-11,114.130630,22.554533,1
20-11,114.144279,22.556450,0
20-11,114.134102,22.557617,1
20-11,114.125114,22.553766,0
20-11,114.117920,22.553232,1
20-11,114.123947,22.558399,0
20-11,114.122780,22.557751,1
20-11,114.114815,22.546516,0
20-11,114.114601,22.546516,1
20-12,114.112816,22.533533,0
20-12,114.112816,22.533533,1
20-12,114.135948,22.552433,0
20-12,114.124184,22.554667,1
20-12,114.135651,22.559566,0
20-12,114.133682,22.556534,1
20-12,114.117966,22.547800,0
20-12,114.117981,22.547850,1
20-12,114.117966,22.547800,0
20-12,114.118919,22.554182,1
20-13,114.054466,22.518417,0
20-13,114.084267,22.540649,1
20-14,114.102997,22.538000,0
20-14,114.118950,22.554150,1
20-14,114.002113,22.540567,0
20-15,114.002785,22.537466,1
20-15,114.042236,22.559633,0
20-15,114.053596,22.571182,1
20-15,114.042702,22.544416,0
20-16,114.032249,22.632584,1
20-16,114.035187,22.611750,0
20-16,114.067581,22.559050,1
20-18,114.141800,22.586132,0
20-18,114.137421,22.580732,1
20-18,114.120552,22.556566,0
20-18,114.118263,22.552868,1
20-18,114.110649,22.534100,0
20-18,114.115036,22.534700,1
20-18,114.164497,22.561934,0
20-19,114.168785,22.566868,1
20-19,114.175903,22.569933,0
20-19,114.124649,22.554199,1
20-21,114.137497,22.571667,0
20-21,114.113815,22.583683,1
20-21,114.140099,22.622284,0
21-8,114.130417,22.607349,1
21-9,114.124832,22.564684,0
21-9,114.124664,22.562468,1
21-9,114.105820,22.539516,0
21-9,114.104980,22.541000,1
21-9,114.126030,22.550867,0
21-9,114.125969,22.550934,1
21-9,114.123070,22.562033,0
21-9,114.125214,22.566299,1
21-10,114.105232,22.619400,0
21-10,114.111153,22.608217,1
21-10,114.081581,22.547501,0
21-10,114.081764,22.543917,1
21-10,114.105003,22.546583,0
21-10,114.104836,22.546034,1
21-11,114.090118,22.554251,0
21-11,114.099380,22.558050,1
21-11,114.133270,22.563583,0
21-11,114.135666,22.566317,1
21-11,114.142502,22.584618,0
21-11,114.134003,22.579166,1
21-11,114.104233,22.545366,0
21-12,114.117401,22.536867,1
21-12,114.118484,22.600300,0
21-12,114.117714,22.600201,1
21-13,114.055847,22.517183,0
21-13,114.059601,22.526449,1
21-13,114.048164,22.537434,0
21-14,114.090652,22.543449,1
21-14,114.089996,22.543467,0
21-14,114.088600,22.544317,1
21-14,114.059120,22.546667,0
21-14,114.067383,22.524050,1
21-14,114.101082,22.542784,0
21-14,114.101868,22.543283,1
21-15,114.068298,22.562401,0
21-15,114.085701,22.566917,1
21-15,114.114998,22.560467,0
21-15,114.117119,22.558968,1
21-16,114.165916,22.564150,0
21-17,114.107719,22.571150,1
21-17,114.120819,22.579767,0
21-17,114.122398,22.579300,1
21-18,114.138313,22.586866,0
21-18,114.136703,22.582434,1
21-19,114.130615,22.543917,0
21-19,114.131630,22.544518,1
