time,jd,wd,status
18-0,114.117897,22.573267,1
18-0,114.113884,22.587650,0
18-0,114.120598,22.561199,1
18-0,114.104050,22.555817,0
18-0,114.102783,22.558567,1
18-0,114.133614,22.617649,0
18-2,114.119682,22.574034,1
18-2,114.086098,22.537399,0
18-2,114.114914,22.579634,1
18-2,114.134804,22.581717,0
18-3,114.121635,22.573833,1
18-3,114.122902,22.569500,0
18-3,114.117950,22.574118,1
18-3,114.114830,22.589367,0
18-3,114.114532,22.586718,1
18-4,113.892532,22.573317,0
18-7,114.119499,22.603300,1
18-8,114.112068,22.536766,0
18-8,114.114365,22.534100,1
18-8,114.124901,22.545116,0
18-8,114.123001,22.544832,1
18-8,114.111153,22.545567,0
18-8,114.110420,22.546984,1
18-9,114.122917,22.558117,0
18-9,114.121849,22.557400,1
18-9,114.125320,22.636351,0
18-9,114.107933,22.575466,1
18-10,114.050949,22.550034,0
18-10,114.051003,22.547817,1
18-10,114.058815,22.540850,0
18-10,114.058815,22.540850,1
18-10,114.032166,22.546766,0
18-10,114.041336,22.556284,1
18-10,114.048615,22.545851,0
18-11,114.080315,22.558268,1
18-11,114.107399,22.548616,0
18-12,114.084251,22.542217,1
18-12,114.084183,22.543118,0
18-12,114.086098,22.543200,1
18-12,114.063148,22.537251,0
18-13,114.106766,22.543484,1
18-13,114.122253,22.573900,0
18-13,114.121582,22.568983,1
18-13,114.151367,22.617367,0
18-13,114.151581,22.617250,1
18-14,114.116447,22.550100,0
18-14,114.114120,22.546034,1
18-14,114.104347,22.552517,0
18-14,114.112686,22.549217,1
18-14,114.091331,22.545418,0
18-14,114.092583,22.551718,1
18-15,114.121002,22.542801,0
18-15,114.129616,22.544451,1
18-15,114.124519,22.542000,0
18-16,114.051086,22.550632,1
18-16,114.039070,22.531099,0
18-16,114.043953,22.534567,1
18-16,114.043381,22.550600,0
18-16,114.043915,22.555717,1
18-16,114.044067,22.551300,0
18-16,114.044067,22.551300,1
18-16,114.081146,22.558950,0
18-16,114.084717,22.563084,1
18-17,114.102165,22.541134,0
18-17,114.104019,22.540417,1
18-17,114.112236,22.545467,0
18-17,114.112267,22.545601,1
18-18,114.137985,22.568884,0
18-19,114.115570,22.558001,1
18-20,114.117348,22.671883,0
18-22,114.157349,22.614332,1
18-22,114.166168,22.606117,0
18-22,114.117699,22.572733,1
18-22,114.102097,22.572317,0
18-22,114.129517,22.577450,1
18-23,114.141319,22.555367,0
18-23,114.125748,22.553017,1
18-23,114.102997,22.549067,0
18-23,114.135201,22.572733,1
18-23,114.119698,22.558001,0
19-0,114.119217,22.573833,1
19-0,114.145782,22.608534,0
19-3,114.124313,22.570049,1
19-3,114.104134,22.553267,0
19-10,114.125069,22.606600,1
