time,jd,wd,status
18-0-10,114.095085,22.540350,0
18-0-17,114.098869,22.541317,1
18-0-19,114.109253,22.537416,0
18-0-54,114.118149,22.541883,1
18-1-10,114.043602,22.566401,0
18-1-12,114.048302,22.567484,1
18-1-19,114.036697,22.547632,0
18-2-35,114.080498,22.538282,1
18-2-38,114.079987,22.534149,0
18-7-6,114.136520,22.582600,1
18-7-20,114.120087,22.561483,0
18-7-21,114.117920,22.569767,1
18-7-37,114.111282,22.534283,0
18-7-45,114.097504,22.540318,1
18-7-58,114.062698,22.520849,0
18-8-16,114.075050,22.533234,1
18-8-37,114.059418,22.520067,0
18-8-39,114.060387,22.523317,1
18-8-42,114.060753,22.526033,0
18-8-43,114.059883,22.525932,1
18-8-55,114.035118,22.529182,0
18-8-57,114.037682,22.529667,1
18-9-4,114.047966,22.533234,0
18-9-13,114.051552,22.529917,1
18-9-37,113.933334,22.559799,0
18-9-43,113.952721,22.557699,1
18-10-0,114.052200,22.531200,0
18-10-1,114.053596,22.531317,1
18-10-55,114.138786,22.577417,0
18-11-54,114.135719,22.578484,1
18-12-11,114.020164,22.539183,0
18-12-16,114.020966,22.540716,1
18-12-19,114.025749,22.544884,0
18-12-21,114.024765,22.541733,1
18-13-4,114.024483,22.544849,0
18-13-5,114.028397,22.546249,1
18-13-20,113.918282,22.552668,0
18-13-54,113.919464,22.549267,1
18-14-7,113.908852,22.571966,0
18-14-12,113.919670,22.571632,1
18-14-26,113.927902,22.513033,0
18-14-26,113.927650,22.515232,1
18-14-44,114.081802,22.539682,0
18-15-14,114.064598,22.577183,1
18-15-42,114.013718,22.746700,0
18-16-46,114.050552,22.718651,1
18-17-16,114.054016,22.570150,0
18-17-25,114.052368,22.567232,1
18-17-40,114.088669,22.543016,0
18-17-40,114.088631,22.543167,1
18-18-0,114.089699,22.564600,0
18-18-1,114.091270,22.560284,1
18-18-34,114.114082,22.531782,0
18-18-36,114.116997,22.536333,1
18-18-58,114.122833,22.548450,0
18-18-59,114.122849,22.548468,1
18-19-17,114.106850,22.536333,0
18-19-17,114.106667,22.536249,1
18-21-31,114.137314,22.580418,0
18-21-54,114.134331,22.570950,1
18-22-0,114.121849,22.567533,0
18-22-1,114.121452,22.569033,1
18-22-14,114.112885,22.547382,0
18-23-3,114.125504,22.552782,1
18-23-7,114.117821,22.547983,0
18-23-8,114.116570,22.548317,1
18-23-13,114.119904,22.558132,0
18-23-26,114.116997,22.546650,1
18-23-41,114.056984,22.523649,0
18-23-54,114.058914,22.520733,1
18-23-57,114.066986,22.519117,0
19-0-6,114.058449,22.525316,1
19-0-23,114.123398,22.545082,0
19-0-28,114.120270,22.544518,1
19-0-43,114.128700,22.590033,0
19-0-49,114.139297,22.579468,1
19-0-55,114.165886,22.606050,0
19-0-58,114.163902,22.605167,1
19-1-12,114.109253,22.607599,0
19-7-4,114.136765,22.581699,1
19-7-23,114.050949,22.549700,0
19-7-29,114.047432,22.545282,1
19-7-35,114.062767,22.541933,0
19-7-45,114.067581,22.538601,1
19-8-5,114.103882,22.564117,0
19-8-6,114.103920,22.562000,1
19-8-23,114.111565,22.531500,0
19-8-28,114.108780,22.537800,1
19-8-44,114.057930,22.537451,0
19-8-59,114.055298,22.525734,1
19-9-6,114.063469,22.517817,0
19-9-7,114.062836,22.517782,1
19-9-18,114.069984,22.528217,0
19-9-21,114.075714,22.531668,1
19-9-29,114.081497,22.547899,0
19-9-34,114.091080,22.551399,1
19-9-44,114.091835,22.543283,0
19-9-50,114.099464,22.552366,1
19-10-27,114.138763,22.577450,0
19-11-9,114.138985,22.577368,1
19-11-18,114.108704,22.547150,0
19-11-19,114.109703,22.546932,1
19-11-22,114.113564,22.534683,0
19-11-25,114.113564,22.534166,1
19-11-47,114.163231,22.566683,0
19-11-48,114.161751,22.566784,1
19-12-13,114.110497,22.546600,0
19-12-15,114.108086,22.546783,1
19-12-27,114.139565,22.576967,0
19-12-30,114.135803,22.578533,1
19-13-0,114.113914,22.538050,0
19-13-3,114.114517,22.538401,1
19-13-15,114.135483,22.553516,0
19-13-19,114.132614,22.550966,1
19-13-27,114.113998,22.547567,0
19-13-28,114.113564,22.547600,1
19-13-47,114.056831,22.523933,0
19-13-47,114.056648,22.523600,1
19-14-1,114.062798,22.552601,0
19-14-2,114.066231,22.554600,1
19-14-13,114.045364,22.539301,0
19-14-23,114.051270,22.524218,1
19-14-55,114.043365,22.557966,0
19-14-59,114.043015,22.558001,1
19-15-10,114.080147,22.543667,0
19-15-11,114.081665,22.541033,1
19-15-18,114.108566,22.541616,0
19-15-19,114.110168,22.541866,1
19-15-24,114.124931,22.547800,0
19-15-24,114.124931,22.547817,1
19-15-25,114.124397,22.547199,0
19-15-27,114.120796,22.547167,1
19-15-35,114.111984,22.584482,0
19-15-37,114.113029,22.584200,1
19-15-57,114.048531,22.524033,0
19-15-58,114.048553,22.524866,1
19-16-17,113.960815,22.551250,0
19-16-19,113.959869,22.549450,1
19-16-56,113.960335,22.584801,0
19-16-58,113.960136,22.584917,1
19-17-11,113.944946,22.537951,0
19-17-17,113.944870,22.545134,1
19-17-26,113.929680,22.581499,0
19-17-26,113.926750,22.579350,1
19-17-36,113.921387,22.523300,0
19-17-37,113.920830,22.523451,1
19-17-51,113.916916,22.543118,0
19-17-55,113.919464,22.538900,1
19-18-8,113.910980,22.539600,0
19-18-37,114.002983,22.535833,1
19-19-22,114.127296,22.569799,0
19-19-24,114.128532,22.571533,1
19-20-3,113.887466,22.568050,0
19-20-21,113.898468,22.561583,1
19-20-51,114.038383,22.527468,0
19-20-55,114.062485,22.531567,1
19-20-58,114.068481,22.523951,0
19-21-53,114.133820,22.571518,1
19-21-58,114.124847,22.560900,0
19-21-59,114.122368,22.557800,1
19-22-4,114.126953,22.575617,0
19-22-17,114.133530,22.571383,1
19-22-22,114.138046,22.580299,0
19-22-34,114.131371,22.572367,1
19-22-54,114.014114,22.550900,0
19-22-55,114.014366,22.551617,1
19-23-11,114.133453,22.574766,0
19-23-19,114.133583,22.571550,1
19-23-29,114.120033,22.591101,0
20-0-2,114.128235,22.550432,1
20-0-10,114.117821,22.581318,0
20-0-20,114.135902,22.579149,1
20-0-25,114.134247,22.572866,0
20-0-27,114.134537,22.573351,1
20-0-37,114.135468,22.612301,0
20-0-57,114.139015,22.579317,1
20-1-5,114.124229,22.546917,0
20-1-7,114.121483,22.547182,1
20-1-43,113.817116,22.645800,0
20-2-18,114.065247,22.531500,1
20-2-21,114.067497,22.524616,0
20-7-0,114.137047,22.581249,1
20-7-1,114.137802,22.580168,0
20-7-8,114.135635,22.577633,1
20-7-15,114.088348,22.567167,0
20-7-20,114.082466,22.571583,1
20-7-33,114.105736,22.546368,0
20-7-40,114.107384,22.551132,1
20-7-58,114.123367,22.560118,0
20-8-7,114.118248,22.563816,1
20-8-22,114.089981,22.551867,0
20-8-28,114.086380,22.557318,1
20-9-9,114.030930,22.551067,0
20-9-25,114.053185,22.551117,1
20-9-40,114.043732,22.601749,0
20-9-46,114.044716,22.596684,1
20-10-14,114.114182,22.531483,0
20-10-33,114.103882,22.558634,1
20-10-51,114.138870,22.577650,0
20-11-33,114.139214,22.575867,1
20-11-47,114.081367,22.550034,0
20-11-49,114.079048,22.549133,1
20-11-58,114.062653,22.536867,0
20-12-0,114.058952,22.535032,1
20-12-16,113.962486,22.546984,0
20-12-42,113.963348,22.543867,1
20-12-49,113.929153,22.543818,0
20-12-56,113.929817,22.545683,1
20-13-20,114.111214,22.542933,0
20-13-20,114.110268,22.545900,1
20-13-54,114.110847,22.630133,0
20-14-3,114.108086,22.630318,1
20-14-56,114.058769,22.529800,0
20-15-8,114.063148,22.533882,1
20-15-34,114.034317,22.631533,0
20-15-55,114.044334,22.598383,1
20-16-59,114.140579,22.577032,0
20-17-0,114.139214,22.575733,1
20-17-8,114.125732,22.549749,0
20-17-20,114.114433,22.540800,1
20-17-36,114.068016,22.524366,0
20-17-43,114.067368,22.524733,1
20-18-20,114.064415,22.531401,0
20-18-21,114.064514,22.531334,1
20-18-37,114.048630,22.512217,0
20-18-41,114.045250,22.512333,1
20-19-3,114.104820,22.542000,0
20-19-3,114.104752,22.542833,1
20-19-20,114.123833,22.572018,0
20-19-21,114.122498,22.569418,1
20-19-28,114.113113,22.547701,0
20-19-29,114.112633,22.547382,1
20-19-43,114.121017,22.541349,0
20-19-45,114.119286,22.539818,1
20-19-50,114.118179,22.552816,0
20-19-54,114.122101,22.557568,1
20-20-1,114.101868,22.547434,0
20-20-7,114.107849,22.548149,1
20-21-2,114.138733,22.577450,0
20-21-42,114.134018,22.570950,1
20-21-49,114.120598,22.573833,0
20-21-50,114.121964,22.572132,1
20-21-54,114.106750,22.564417,0
20-22-3,114.112717,22.547400,1
20-22-11,114.113533,22.534250,0
20-22-12,114.113533,22.534250,1
20-22-19,114.137947,22.563183,0
20-22-22,114.138786,22.554550,1
20-22-33,114.118103,22.558132,0
20-22-38,114.118118,22.552483,1
20-23-10,114.104965,22.542067,0
20-23-14,114.102936,22.543751,1
20-23-18,114.116966,22.547150,0
20-23-23,114.118713,22.547850,1
20-23-29,114.133736,22.549900,0
20-23-34,114.134430,22.549084,1
20-23-42,114.104980,22.540100,0
20-23-45,114.106430,22.541218,1
20-23-52,114.074333,22.539700,0
24-0-8,114.085732,22.549067,1
24-0-16,114.087097,22.572033,0
24-0-20,114.090897,22.567682,1
24-0-23,114.087883,22.562733,0
24-0-23,114.088402,22.562250,1
24-0-34,114.087753,22.562950,0
