time,jd,wd,status
18-0,114.127586,22.545517,1
18-0,114.040901,22.549833,0
18-0,114.120003,22.540867,1
18-0,114.119881,22.540882,0
18-1,114.120415,22.541500,1
18-1,114.116531,22.536118,0
18-1,114.120102,22.541300,1
18-1,114.008003,22.537201,0
18-2,114.119652,22.540533,1
18-2,114.133163,22.550301,0
18-2,114.119720,22.540333,1
18-2,114.118347,22.546600,0
18-6,114.025398,22.530916,1
18-6,114.014099,22.539433,0
18-6,114.020386,22.532351,1
18-6,113.814568,22.649851,0
18-7,113.896370,22.551783,1
18-8,113.939331,22.542717,0
18-8,113.962700,22.542049,1
18-8,114.055969,22.562517,0
18-8,114.053200,22.562584,1
18-8,114.057869,22.538750,0
18-9,114.057716,22.538000,1
18-9,114.047516,22.541218,0
18-9,114.046982,22.541033,1
18-9,114.052650,22.653067,0
18-10,114.059647,22.653700,1
18-10,113.833771,22.646833,0
18-10,113.816483,22.648899,1
18-10,113.863815,22.599800,0
18-11,113.882484,22.579901,1
18-12,113.923233,22.521400,0
18-12,113.944481,22.558968,1
18-12,113.914864,22.539633,0
18-12,113.916420,22.536034,1
18-12,113.909920,22.531334,0
18-12,113.913216,22.531218,1
18-13,114.060799,22.531549,0
18-13,114.118080,22.540268,1
18-14,114.106369,22.543751,0
18-14,114.101036,22.546932,1
18-14,114.155266,22.561199,0
18-14,114.136948,22.549667,1
18-14,114.093964,22.539932,0
18-15,114.087936,22.541283,1
18-15,114.084167,22.542534,0
18-15,114.090134,22.543301,1
18-15,114.088318,22.558517,0
18-15,114.050217,22.562250,1
18-15,114.049149,22.540550,0
18-15,114.049202,22.540400,1
18-15,114.049232,22.539568,0
18-15,114.048347,22.539383,1
18-15,114.063332,22.531418,0
18-15,114.066986,22.531601,1
18-16,114.114769,22.534700,0
18-16,114.114601,22.534967,1
18-16,114.113297,22.550182,0
18-16,114.112335,22.548866,1
18-16,114.082153,22.543367,0
18-16,114.080330,22.543266,1
18-17,114.056969,22.526550,0
18-17,114.048615,22.518551,1
18-17,114.041931,22.524332,0
18-18,114.021049,22.531834,1
18-18,114.054169,22.531401,0
18-18,114.059631,22.531418,1
18-18,114.044518,22.538616,0
18-18,114.038902,22.555634,1
18-18,114.044464,22.532900,0
18-20,114.017433,22.543133,1
18-20,114.018379,22.544268,0
18-20,114.022316,22.544950,1
18-20,114.034248,22.550934,0
18-20,114.029686,22.546749,1
18-21,114.041321,22.555883,0
18-21,114.027634,22.534367,1
18-22,114.115585,22.558050,0
18-22,114.112602,22.547533,1
18-22,114.105415,22.558399,0
18-22,114.099617,22.549116,1
18-22,114.085220,22.552999,0
18-23,114.076401,22.536150,1
19-0,114.040535,22.615299,0
19-0,114.119904,22.540751,1
19-0,114.167686,22.561716,0
19-0,114.119316,22.541000,1
19-1,114.024986,22.527166,0
19-1,114.119652,22.540667,1
19-1,114.121216,22.543818,0
19-1,114.120171,22.541533,1
19-1,114.073631,22.537033,0
19-2,114.120003,22.540449,1
19-2,114.031151,22.570250,0
19-7,114.014099,22.537251,1
19-7,113.815964,22.647232,0
19-8,113.898186,22.549618,1
19-9,113.918716,22.535334,0
19-9,113.920013,22.536617,1
19-9,113.940666,22.547251,0
19-9,113.948601,22.541767,1
19-9,113.950180,22.534550,0
19-10,113.951134,22.538282,1
19-10,113.912033,22.572250,0
19-11,113.910217,22.539450,1
19-11,113.938965,22.542534,0
