time,jd,wd,status
18-0,114.118347,22.553967,1
18-0,114.124481,22.567284,0
18-0,114.124550,22.563534,1
18-0,114.134247,22.564650,0
18-0,114.122818,22.549232,1
18-0,114.112579,22.535883,0
18-0,114.119003,22.552183,1
18-0,114.143700,22.553734,0
18-0,114.133247,22.550350,1
18-1,114.121300,22.540016,0
18-7,114.119080,22.590767,1
18-7,114.095230,22.543699,0
18-7,114.108765,22.558599,1
18-8,114.123482,22.555233,0
18-8,114.125465,22.552999,1
18-8,114.025848,22.534117,0
18-8,114.024986,22.539316,1
18-9,114.133934,22.564234,0
18-9,114.134514,22.564917,1
18-9,114.114037,22.534483,0
18-9,114.114883,22.533583,1
18-10,114.054482,22.535200,0
18-10,114.054565,22.535250,1
18-10,114.113831,22.531750,0
18-12,114.120247,22.568666,1
18-12,114.104286,22.564899,0
18-12,114.106331,22.566233,1
18-13,114.114220,22.534767,0
18-13,114.114052,22.534401,1
18-13,113.978386,22.562450,0
18-14,114.025597,22.530968,1
18-14,114.025665,22.534033,0
18-14,114.028336,22.531218,1
18-14,113.931747,22.519716,0
18-14,113.932404,22.521433,1
18-14,114.018570,22.527800,0
18-14,114.025330,22.528351,1
18-14,114.054916,22.531366,0
18-14,114.060204,22.523533,1
18-15,114.042549,22.520582,0
18-15,114.059380,22.520117,1
18-15,114.114334,22.534582,0
18-15,114.143318,22.555700,1
18-16,114.127029,22.549749,0
18-16,114.127983,22.550217,1
18-16,114.114220,22.531933,0
18-16,114.118332,22.539734,1
18-16,114.133034,22.550400,0
18-16,114.128052,22.550217,1
18-16,114.117218,22.544750,0
18-17,114.119469,22.560034,1
18-17,114.118553,22.553417,0
18-17,114.116570,22.549334,1
18-17,114.094231,22.543467,0
18-20,113.919533,22.543083,1
18-21,113.908401,22.550783,0
18-21,113.927032,22.536917,1
18-21,113.949265,22.523832,0
18-21,114.079750,22.535784,1
18-22,114.091454,22.541468,0
18-22,114.093750,22.541718,1
18-22,114.112183,22.586149,0
18-23,113.910431,22.525618,1
19-0,114.024452,22.531166,0
19-0,114.025520,22.530518,1
19-0,114.098053,22.538033,0
19-0,114.090515,22.543266,1
19-1,114.067146,22.557934,0
19-1,114.089684,22.543200,1
19-1,114.101601,22.555367,0
19-2,114.089630,22.543150,1
19-2,114.115349,22.579666,0
19-3,114.118446,22.551849,1
19-3,114.095497,22.540199,0
19-7,114.118896,22.590483,1
19-7,114.068535,22.524000,0
19-8,114.134117,22.564684,1
19-8,114.081833,22.540068,0
19-8,114.101448,22.548267,1
19-8,114.113968,22.531834,0
19-8,114.113464,22.534367,1
19-9,114.220184,22.676332,0
19-9,114.124153,22.609200,1
19-10,114.077217,22.553267,0
19-10,114.057220,22.535816,1
19-11,114.041100,22.554050,0
19-11,114.039665,22.554283,1
19-11,114.038666,22.555782,0
19-11,114.042519,22.556250,1
19-11,114.077820,22.532566,0
