time,jd,wd,status
18-0,114.114250,22.531883,1
18-0,114.138420,22.549850,0
18-0,114.117966,22.560484,1
18-0,114.101181,22.616983,0
18-0,114.101181,22.616983,1
18-0,114.139870,22.614767,0
18-2,114.099251,22.559116,1
18-2,114.063751,22.538700,0
18-3,114.119598,22.543949,1
18-3,114.068550,22.523968,0
18-3,114.074417,22.534983,1
18-3,114.083969,22.550867,0
18-5,113.844017,22.599583,1
18-5,113.875366,22.583668,0
18-8,114.121803,22.567766,1
18-8,114.115532,22.556299,0
18-9,114.111183,22.557400,1
18-9,114.021614,22.529583,0
18-9,114.021385,22.529551,1
18-9,114.081680,22.544201,0
18-9,114.081551,22.551382,1
18-10,114.111504,22.533133,0
18-10,114.111504,22.533133,1
18-10,114.128784,22.579683,0
18-10,114.128784,22.579683,1
18-10,114.099030,22.567383,0
18-10,114.094597,22.565166,1
18-10,114.111084,22.535683,0
18-10,114.111282,22.534218,1
18-12,113.917366,22.665283,0
18-13,113.944397,22.586884,1
18-13,113.948280,22.578199,0
18-13,113.949219,22.578382,1
18-13,113.939514,22.562332,0
18-13,113.945068,22.558800,1
18-13,113.962151,22.546984,0
18-13,113.962151,22.546984,1
18-13,113.930031,22.543882,0
18-13,113.930733,22.543917,1
18-13,113.940598,22.540150,0
18-13,113.944801,22.532618,1
18-13,113.941551,22.550367,0
18-14,113.950317,22.543083,1
18-14,113.963982,22.544483,0
18-14,113.963951,22.544399,1
18-14,113.945953,22.548933,0
18-14,114.014267,22.537533,1
18-15,113.908432,22.479317,0
18-15,113.908432,22.479317,1
18-16,114.105415,22.547550,0
18-16,114.105499,22.547716,1
18-16,114.103935,22.561666,0
18-16,114.103149,22.561632,1
18-16,114.106033,22.543600,0
18-16,114.106033,22.543600,1
18-17,114.121582,22.568666,0
18-17,114.121513,22.568518,1
18-17,114.107567,22.573151,0
18-17,114.107666,22.567949,1
18-17,114.112251,22.548567,0
18-17,114.112083,22.548283,1
18-18,114.113800,22.537666,0
18-18,114.113731,22.538651,1
18-18,114.098335,22.579950,0
18-19,114.044197,22.601732,1
18-20,114.133652,22.549700,0
18-20,114.109169,22.545233,1
18-20,114.101952,22.568968,0
18-20,114.103798,22.569517,1
18-20,114.134148,22.564650,0
18-20,114.126617,22.559999,1
18-20,114.111153,22.586782,0
18-21,114.116501,22.563400,1
18-21,114.118698,22.537617,0
18-21,114.117401,22.536734,1
18-21,114.086617,22.539583,0
18-21,114.086601,22.540518,1
18-21,114.128304,22.548100,0
18-21,114.128151,22.550083,1
18-21,114.128433,22.545500,0
18-21,114.122971,22.545151,1
18-22,114.133919,22.549450,0
18-22,114.120354,22.544634,1
18-23,114.120514,22.579268,0
18-23,114.115532,22.563032,1
18-23,114.087280,22.560966,0
18-23,114.087280,22.560966,1
18-23,114.098297,22.569300,0
18-23,114.091118,22.561417,1
18-23,114.093063,22.570250,0
18-23,114.086998,22.548367,1
19-0,114.111931,22.545532,0
19-0,114.115646,22.556334,1
19-0,114.125000,22.568850,0
19-0,114.123314,22.567167,1
19-0,114.131287,22.614100,0
19-0,114.113731,22.583151,1
19-0,114.118919,22.554100,0
19-1,113.931602,22.518217,1
19-2,114.102119,22.546650,0
19-2,114.102119,22.546650,1
19-2,114.068550,22.524117,0
19-2,114.067970,22.523933,1
19-2,114.059334,22.526768,0
19-3,114.068016,22.523817,1
19-3,114.052750,22.525749,0
19-5,113.924500,22.547882,1
19-5,114.109367,22.585699,0
19-6,114.084320,22.571182,1
19-6,114.068466,22.523783,0
19-6,114.062950,22.551468,1
19-6,114.063530,22.558184,0
19-7,114.046768,22.604218,1
19-8,114.059151,22.545549,0
19-8,114.061165,22.549650,1
19-8,114.057686,22.537283,0
19-8,114.053230,22.525867,1
19-9,113.943085,22.539301,0
19-9,113.965935,22.532368,1
19-9,114.058296,22.533867,0
19-9,114.058296,22.533867,1
19-10,114.030533,22.527567,0
19-10,114.026253,22.527950,1
19-10,114.137283,22.550850,0
19-10,114.137283,22.550850,1
19-10,114.123634,22.558434,0
19-10,114.122169,22.557568,1
19-10,114.104332,22.543217,0
19-10,114.103470,22.543051,1
19-10,114.084053,22.542116,0
19-11,114.050949,22.549450,1
19-11,114.119530,22.565683,0
19-11,114.123169,22.562183,1
19-11,114.121651,22.594151,0
19-12,114.113182,22.585699,1
19-12,114.130486,22.581900,0
19-12,114.130447,22.579700,1
19-12,114.113701,22.545017,0
19-12,114.113701,22.545017,1
19-13,113.814484,22.649866,0
19-14,113.815369,22.648132,1
19-14,113.889481,22.570017,0
19-15,113.970551,22.539118,1
19-16,113.918785,22.528250,0
19-16,113.943565,22.532566,1
19-16,113.916336,22.529716,0
19-16,113.918915,22.530617,1
19-16,113.913963,22.535450,0
19-17,113.970520,22.539217,1
19-17,113.972519,22.538450,0
19-17,114.009087,22.536766,1
19-17,114.012482,22.543100,0
19-17,114.014870,22.543768,1
19-17,114.041985,22.544649,0
19-17,114.047363,22.541018,1
19-18,114.102249,22.552732,0
19-18,114.102249,22.552732,1
19-18,114.139748,22.615433,0
19-18,114.131821,22.610733,1
19-18,114.100403,22.564716,0
19-20,114.065933,22.551100,1
19-20,114.068497,22.523968,0
19-20,114.070618,22.545799,1
19-20,114.118851,22.538517,0
19-20,114.115646,22.538584,1
19-21,114.130363,22.552883,0
19-21,114.116631,22.559500,1
19-21,114.099884,22.607166,0
19-22,114.098579,22.564751,1
19-22,114.127914,22.552000,0
19-22,114.127167,22.549932,1
19-22,114.089417,22.539967,0
19-22,114.090431,22.540117,1
19-22,113.945335,22.560467,0
19-23,113.993149,22.531384,1
19-23,114.023567,22.531450,0
19-23,114.027000,22.526632,1
19-23,114.031334,22.521833,0
19-23,114.035484,22.519833,1
20-0,114.101135,22.584932,0
20-1,113.889381,22.559834,1
20-1,113.972435,22.541918,0
20-2,113.929901,22.813351,1
20-2,113.961685,22.768850,0
20-2,113.994118,22.709551,1
20-2,113.981117,22.624300,0
20-2,114.004417,22.527384,1
20-3,114.002632,22.479134,0
20-3,113.988152,22.456150,1
20-3,114.068497,22.523750,0
20-7,114.046364,22.604218,1
20-7,114.045082,22.558167,0
20-7,114.039085,22.565849,1
20-7,114.037651,22.561300,0
20-7,114.035385,22.559299,1
20-8,114.039780,22.547132,0
20-8,114.039864,22.548349,1
20-8,113.943665,22.546232,0
20-8,113.940453,22.544666,1
20-9,114.018402,22.535618,0
20-9,114.020981,22.531782,1
20-9,114.064034,22.537451,0
20-9,114.068298,22.524017,1
20-9,114.105133,22.543217,0
20-10,114.111481,22.533751,1
20-10,114.112129,22.547667,0
20-11,114.098297,22.576483,1
20-11,114.104599,22.609301,0
20-12,114.083969,22.571466,1
20-12,114.096420,22.559917,0
20-12,114.097801,22.559950,1
20-12,114.112320,22.536333,0
20-12,114.114197,22.534750,1
20-13,114.108269,22.618483,0
20-13,114.108131,22.616266,1
20-13,114.113266,22.537849,0
20-14,114.116982,22.536484,1
20-14,114.056770,22.531834,0
20-14,114.050018,22.533733,1
20-14,114.118263,22.570900,0
20-14,114.124832,22.562332,1
20-14,114.130882,22.549482,0
20-14,114.130936,22.549334,1
20-15,114.131752,22.544634,0
20-15,114.139168,22.549732,1
20-15,114.117950,22.566233,0
20-15,114.118034,22.565832,1
20-15,114.121216,22.543568,0
20-15,114.120766,22.543734,1
20-15,114.115585,22.535316,0
20-16,114.110817,22.537167,1
20-16,114.040451,22.519333,0
20-16,114.040451,22.519333,1
20-16,114.041115,22.554983,0
20-16,114.040886,22.555416,1
20-17,114.080353,22.545317,0
20-17,114.080353,22.545317,1
20-17,114.091148,22.542334,0
20-17,114.088837,22.541433,1
20-17,114.110352,22.598482,0
20-17,114.112846,22.602501,1
20-19,114.054703,22.581699,0
20-19,114.047501,22.604033,1
20-21,114.062286,22.571167,0
20-21,114.064949,22.557817,1
20-21,114.048798,22.566566,0
20-21,114.071564,22.547434,1
20-21,114.078552,22.543068,0
20-21,114.081520,22.546333,1
20-22,114.125717,22.546450,0
20-22,114.120850,22.543034,1
20-22,114.116051,22.542116,0
20-22,114.113853,22.534082,1
20-22,114.149582,22.627001,0
20-23,114.158936,22.610800,1
20-23,114.114037,22.534433,0
20-23,114.114037,22.534433,1
20-23,114.123116,22.555683,0
20-23,114.103920,22.559500,1
20-23,114.134369,22.564768,0
21-0,114.127434,22.549801,1
21-0,114.121231,22.543182,0
21-0,114.120720,22.542017,1
21-0,114.120201,22.552067,0
21-0,114.122017,22.552067,1
21-0,114.075119,22.534567,0
21-0,114.076118,22.534634,1
21-1,114.117317,22.543249,0
21-1,114.117836,22.541634,1
21-1,114.142700,22.550301,0
21-1,114.128830,22.550533,1
21-1,114.104713,22.539932,0
21-1,114.098198,22.540350,1
21-2,114.124664,22.562983,0
21-2,114.120232,22.570700,1
21-2,114.124748,22.561983,0
