time,jd,wd,status
18-0-0,114.120819,22.542883,1
18-0-8,114.132515,22.554100,0
18-0-12,114.119568,22.539217,1
18-0-31,114.047882,22.537333,0
18-0-32,114.045998,22.537399,1
18-0-34,114.044403,22.533449,0
18-0-54,114.119514,22.540600,1
18-1-10,114.045334,22.525801,0
18-1-11,114.045052,22.528383,1
18-1-24,114.136116,22.562634,0
18-2-4,114.119850,22.540100,1
18-2-10,114.135651,22.567034,0
18-2-16,114.120033,22.538633,1
18-2-21,114.125618,22.550068,0
18-2-57,114.119530,22.540649,1
18-3-27,113.910347,22.479883,0
18-3-36,113.920250,22.492300,1
18-3-45,113.931602,22.518551,0
18-5-20,114.009369,22.534018,1
18-5-26,114.033699,22.518351,0
18-6-0,114.009636,22.535366,1
18-6-6,114.044334,22.525867,0
18-6-48,114.025833,22.525801,1
18-6-57,114.062202,22.519432,0
18-7-16,114.016380,22.554533,1
18-7-28,113.998901,22.642282,0
18-7-28,113.998901,22.642282,1
18-7-45,114.027252,22.525818,0
18-7-47,114.027252,22.525818,1
18-8-2,114.047081,22.540367,0
18-8-9,114.040680,22.531467,1
18-8-26,113.922867,22.517900,0
18-8-29,113.924034,22.517851,1
18-8-39,113.942650,22.536900,0
18-8-41,113.944069,22.536867,1
18-9-2,113.919815,22.534267,0
18-9-3,113.919815,22.534267,1
18-9-14,113.943604,22.532600,0
18-9-24,113.945267,22.506517,1
18-9-33,113.942497,22.546417,0
18-9-42,113.925270,22.535482,1
18-9-50,113.911400,22.543600,0
18-9-51,113.912064,22.544233,1
18-10-24,114.116600,22.536167,0
18-10-25,114.116600,22.536167,1
18-10-45,114.068398,22.523817,0
18-13-9,114.018913,22.526882,1
18-13-19,114.062798,22.517567,0
18-13-34,114.063484,22.517750,1
18-13-48,114.040833,22.553967,0
18-13-49,114.041069,22.553450,1
18-14-19,114.175819,22.636801,0
18-14-26,114.142685,22.622667,1
18-14-46,114.114136,22.531200,0
18-14-55,114.113930,22.530916,1
18-15-1,114.111954,22.547716,0
18-15-2,114.111954,22.547716,1
18-15-20,114.138100,22.569033,0
18-15-22,114.138153,22.569250,1
18-15-28,114.136314,22.583549,0
18-15-36,114.130447,22.582300,1
18-15-44,114.105568,22.574450,0
18-15-46,114.094254,22.568567,1
18-15-56,114.081299,22.549217,0
18-15-56,114.081299,22.549217,1
18-16-8,114.099518,22.554916,0
18-16-10,114.101585,22.555416,1
18-16-24,114.107834,22.536449,0
18-16-25,114.108902,22.537382,1
18-16-31,114.113647,22.540768,0
18-16-38,114.095284,22.538334,1
18-16-48,114.068436,22.523817,0
18-17-15,114.026001,22.539482,1
18-17-29,114.062286,22.530500,0
18-17-31,114.058731,22.531334,1
18-17-51,114.099632,22.543882,0
18-17-51,114.099632,22.543882,1
18-17-54,114.099632,22.544634,0
18-17-54,114.099632,22.544634,1
18-17-55,114.099617,22.545082,0
18-17-55,114.099617,22.545082,1
18-18-14,114.099434,22.557667,0
18-18-14,114.099434,22.557667,1
18-18-17,114.099266,22.560499,0
18-18-17,114.099266,22.560499,1
18-18-26,114.098869,22.568916,0
18-18-27,114.099068,22.566250,1
18-18-50,114.113770,22.534616,0
18-18-51,114.113884,22.533234,1
18-19-3,114.116531,22.549267,0
18-19-8,114.118370,22.547882,1
18-19-19,114.114418,22.534018,0
18-20-1,114.031815,22.543417,1
18-20-19,113.916603,22.527718,0
18-20-21,113.917030,22.530983,1
18-20-30,113.922867,22.515633,0
18-20-32,113.922035,22.515867,1
18-21-4,114.123199,22.573900,0
18-21-6,114.120781,22.571283,1
18-21-17,114.115364,22.601217,0
18-21-26,114.112114,22.585400,1
18-21-36,114.123535,22.579317,0
18-21-51,114.114517,22.550417,1
18-22-1,114.115303,22.585899,0
18-22-12,114.114380,22.550833,1
18-22-18,114.117867,22.569901,0
