time,jd,wd,status
18-0,114.038086,22.615633,1
18-0,114.022652,22.641350,0
18-1,114.032036,22.634718,1
18-1,114.035004,22.616467,0
18-1,114.034897,22.616217,1
18-3,114.034149,22.606617,0
18-3,114.040382,22.615316,1
18-5,114.106430,22.547117,0
18-5,113.896515,22.595568,1
18-6,113.816071,22.647217,0
18-7,113.960182,22.584967,1
18-7,113.959969,22.584900,0
18-7,113.954353,22.574266,1
18-7,114.126030,22.635033,0
18-7,114.126534,22.610849,1
18-10,114.056213,22.525999,0
18-10,114.053200,22.514168,1
18-11,113.816368,22.646400,0
18-12,113.814331,22.650150,1
18-13,114.103966,22.556784,0
18-13,114.105049,22.551067,1
18-13,114.104652,22.543301,0
18-15,114.131981,22.545401,1
18-16,114.164215,22.566799,0
18-17,114.091331,22.541750,1
18-16,114.091415,22.542450,0
18-16,114.091385,22.542717,1
18-16,114.125717,22.551983,0
18-16,114.125732,22.550934,1
18-16,114.108948,22.545218,0
18-17,114.099434,22.541300,1
18-19,113.815018,22.649151,0
19-7,113.849480,22.629217,1
19-7,113.816551,22.646317,0
19-9,114.059166,22.531317,1
19-9,114.042130,22.540716,0
19-9,114.046921,22.530701,1
19-10,114.127449,22.571016,0
19-10,114.129570,22.571917,1
19-11,114.248398,22.593517,0
19-11,114.226868,22.548651,1
19-11,114.228416,22.556784,0
19-11,114.226799,22.548767,1
19-12,114.034882,22.541683,0
19-12,114.020287,22.538933,1
19-12,114.021217,22.530149,0
19-12,114.021179,22.530033,1
19-13,113.814865,22.651449,0
19-14,113.814270,22.650566,1
19-15,114.101486,22.583317,0
19-15,114.098717,22.576233,1
19-15,114.081436,22.550133,0
19-15,114.081520,22.554317,1
19-17,114.044067,22.534233,0
19-17,114.044083,22.533216,1
19-18,114.091248,22.546667,0
19-18,114.091232,22.546650,1
19-18,114.098419,22.551817,0
19-18,114.098381,22.551817,1
19-18,114.112999,22.536100,0
19-18,114.112816,22.536200,1
19-19,114.077080,22.543583,0
19-19,114.076820,22.543484,1
19-19,114.040733,22.615334,0
19-19,114.045052,22.597067,1
19-21,113.975220,22.559750,0
20-0,114.016548,22.538334,1
20-0,113.979668,22.535917,0
20-4,114.033630,22.627483,1
20-4,114.033813,22.606268,0
20-4,114.034233,22.606533,1
20-4,114.037903,22.606400,0
20-5,114.105682,22.546383,1
20-5,113.816536,22.646217,0
20-7,113.813164,22.670549,1
20-6,113.893936,22.574100,0
20-7,113.896019,22.569082,1
20-7,113.936882,22.536283,0
20-7,113.960464,22.538383,1
20-7,113.931816,22.571533,0
20-7,113.949684,22.571318,1
20-7,113.949631,22.571301,0
20-8,114.055382,22.530317,1
20-9,114.062584,22.518917,0
20-9,114.058670,22.518984,1
20-9,114.057785,22.535351,0
20-9,114.059547,22.526917,1
20-9,114.072052,22.528799,0
20-9,114.073120,22.531633,1
20-9,114.081970,22.534718,0
20-9,114.082169,22.533484,1
20-9,114.088417,22.537300,0
20-10,113.832886,22.649067,1
20-11,113.816704,22.646217,0
20-12,113.814316,22.650267,1
20-13,114.049400,22.566151,0
20-14,114.083717,22.571983,1
20-15,114.060936,22.527000,0
20-15,114.019470,22.535749,1
20-16,114.114182,22.534582,0
20-16,114.114120,22.534517,1
20-17,114.081970,22.534700,0
20-17,114.082069,22.534533,1
20-17,114.081520,22.546949,0
20-17,114.081902,22.547033,1
20-18,114.064079,22.639732,0
20-18,114.063484,22.639200,1
20-19,114.107536,22.569317,0
20-19,114.107430,22.569250,1
20-19,114.095383,22.564800,0
20-19,114.094803,22.564716,1
20-19,114.078331,22.549282,0
20-19,114.077965,22.549200,1
20-20,114.130432,22.607450,0
21-1,114.128502,22.550217,1
21-0,114.248550,22.579332,0
21-1,114.232086,22.561684,1
21-1,114.303986,22.598150,0
21-3,113.839935,22.638901,1
21-3,113.837219,22.728733,0
