time,jd,wd,status
18-0-0,114.031982,22.648550,1
18-0-2,114.037170,22.646833,0
18-1-0,114.019218,22.667482,1
18-1-23,114.045052,22.639000,0
18-2-14,114.038948,22.657167,1
18-2-14,114.039215,22.657000,0
18-2-17,114.036850,22.646883,1
18-2-29,114.059753,22.657949,0
18-2-34,114.052353,22.668533,1
18-2-51,114.019569,22.661734,0
18-6-27,114.014397,22.665583,1
18-6-33,114.031487,22.677616,0
18-8-58,114.067986,22.716249,1
18-9-3,114.082634,22.704933,0
18-9-5,114.080254,22.706818,1
18-9-10,114.061066,22.722933,0
18-9-48,114.035667,22.654966,1
18-9-54,114.039185,22.646183,0
18-10-5,114.033447,22.661350,1
18-10-8,114.029770,22.669950,0
18-10-17,114.045616,22.668983,1
18-10-33,114.032082,22.677750,0
18-10-49,114.026436,22.673018,1
18-10-56,114.015030,22.668818,0
18-10-59,114.010246,22.674232,1
18-11-7,113.988182,22.670282,0
18-11-14,113.963936,22.685568,1
18-11-24,113.858620,22.636517,0
18-11-24,113.855965,22.632717,1
18-12-54,113.860069,22.645184,0
18-13-49,113.920433,22.667801,1
18-14-10,113.932030,22.683001,0
18-14-11,113.932030,22.683001,1
18-14-34,113.905899,22.670033,0
18-14-58,113.929947,22.683701,1
18-15-23,113.957565,22.710533,0
18-17-1,113.989784,22.677099,1
18-17-7,113.990417,22.677217,0
18-17-7,113.990417,22.677217,1
18-17-32,113.990570,22.677282,0
18-17-34,113.994736,22.674549,1
18-17-48,114.013382,22.665684,0
18-18-10,114.023453,22.674183,1
18-18-23,113.990219,22.695084,0
18-18-45,114.026352,22.673000,1
18-18-51,114.032867,22.677517,0
18-19-9,114.044098,22.669649,1
18-20-0,114.072800,22.687300,0
18-20-49,114.059715,22.723267,1
18-20-56,114.078079,22.708483,0
18-21-55,114.014580,22.665632,1
18-22-2,114.028931,22.666616,0
18-22-30,114.016449,22.660168,1
18-22-40,114.025253,22.670982,0
18-22-52,114.028534,22.657917,1
18-23-27,114.041580,22.705133,0
18-23-29,114.044296,22.698967,1
18-23-48,114.129852,22.702551,0
19-0-53,114.035629,22.706516,1
19-0-58,114.034470,22.722767,0
19-2-2,114.019234,22.667450,1
19-2-10,114.022499,22.642633,0
19-6-39,114.011414,22.663584,1
19-6-55,114.050034,22.721184,0
19-8-8,114.025818,22.663851,1
19-8-17,114.042297,22.659149,0
19-8-37,114.033417,22.661383,1
19-8-43,114.028351,22.674084,0
19-9-20,114.013649,22.665434,1
19-9-31,114.007553,22.658501,0
19-9-47,114.012184,22.664301,1
19-9-52,114.015251,22.668100,0
19-10-44,114.137764,22.609432,1
19-10-54,114.116920,22.600700,0
19-10-55,114.116920,22.600700,1
19-11-2,114.113297,22.603251,0
19-11-3,114.113297,22.603251,1
19-11-17,114.143883,22.631201,0
19-11-27,114.122917,22.616266,1
19-11-44,114.107399,22.605949,0
19-12-4,114.111099,22.608299,1
19-12-7,114.120064,22.611584,0
19-12-8,114.120033,22.611616,1
19-12-11,114.119186,22.612200,0
19-12-11,114.119186,22.612200,1
19-12-21,114.107697,22.603483,0
19-13-33,113.898483,22.749968,1
19-14-9,113.978203,22.675817,0
19-14-16,113.990585,22.677134,1
19-14-18,113.994453,22.671833,0
19-14-19,113.995384,22.671017,1
19-14-34,114.018349,22.663282,0
19-15-52,114.057869,22.663250,1
19-15-53,114.058220,22.662884,0
19-15-57,114.050018,22.669634,1
19-16-0,114.048218,22.670383,0
19-16-11,114.028419,22.658533,1
19-16-30,114.007896,22.661133,0
19-16-34,114.001450,22.661583,1
19-16-57,114.043198,22.601549,0
19-17-0,114.045166,22.598700,1
19-17-7,114.061264,22.617701,0
19-17-8,114.061264,22.617701,1
19-17-44,114.014297,22.665684,0
19-18-1,114.026520,22.673082,1
19-18-10,114.010384,22.675182,0
19-18-11,114.010147,22.674900,1
19-18-23,114.015701,22.660633,0
19-18-29,114.013802,22.665268,1
19-18-38,114.026604,22.673000,0
19-18-48,114.025482,22.672182,1
19-18-58,114.004982,22.680166,0
19-19-0,114.007286,22.676817,1
19-19-14,114.023315,22.673950,0
19-19-36,113.982597,22.673634,1
19-20-47,113.992531,22.666718,0
19-20-55,114.011620,22.663151,1
19-21-12,114.007950,22.634199,0
19-21-13,114.007950,22.634199,1
19-21-54,114.058853,22.723551,0
19-21-54,114.060120,22.723101,1
19-22-8,114.007164,22.735399,0
19-22-19,114.034081,22.725967,1
19-22-25,114.005867,22.735018,0
19-22-26,114.006866,22.735100,1
19-22-26,114.007782,22.735300,0
19-22-48,114.028732,22.658083,1
19-22-55,114.011818,22.672733,0
19-22-58,114.014687,22.665800,1
19-23-16,114.052269,22.633333,0
19-23-17,114.053268,22.633368,1
19-23-25,114.062347,22.630449,0
19-23-34,114.057350,22.643267,1
19-23-41,114.048233,22.670433,0
19-23-47,114.039566,22.674683,1
20-0-5,114.042580,22.602318,0
20-0-26,114.031868,22.637150,1
20-0-35,114.022697,22.664734,0
20-0-36,114.023849,22.665632,1
20-0-49,113.989601,22.684099,0
20-1-5,114.019302,22.667500,1
20-1-15,114.022346,22.642117,0
20-1-19,114.018646,22.650433,1
20-1-22,114.016602,22.640533,0
20-1-31,114.014999,22.652300,1
20-1-42,114.045731,22.639517,0
20-2-1,114.039169,22.646267,1
20-2-8,114.020821,22.656883,0
20-2-16,114.013565,22.665483,1
20-2-23,114.013031,22.663099,0
20-2-23,114.013031,22.663099,1
20-2-31,114.027283,22.673317,0
20-7-22,114.026382,22.673317,1
20-7-25,114.026268,22.669550,0
20-7-50,114.052414,22.625317,1
20-7-51,114.050819,22.625299,0
20-7-56,114.035118,22.622900,1
20-8-10,114.044716,22.598534,0
20-8-15,114.034782,22.612284,1
20-8-23,114.044617,22.598618,0
20-8-33,114.038185,22.615450,1
20-8-53,114.066452,22.659933,0
20-9-0,114.056931,22.664183,1
20-9-6,114.044647,22.674749,0
20-9-12,114.028847,22.666668,1
20-9-14,114.025681,22.671967,0
20-9-19,114.025764,22.672001,1
20-9-21,114.027786,22.673616,0
20-9-56,114.033020,22.641184,1
20-9-56,114.033516,22.642450,0
20-9-57,114.033516,22.642450,1
20-10-7,114.028969,22.623734,0
20-10-9,114.028969,22.623734,1
20-10-40,114.026581,22.672934,0
20-10-43,114.025719,22.672333,1
20-11-12,114.041229,22.608850,0
20-11-13,114.041016,22.608732,1
20-11-34,114.014481,22.665617,0
20-12-12,114.007935,22.660282,1
20-12-16,113.993385,22.666250,0
20-12-17,113.993385,22.666250,1
20-12-18,113.993385,22.666250,0
20-12-24,113.990349,22.677099,1
20-12-30,113.993446,22.665817,0
20-12-30,113.994102,22.665234,1
20-12-52,114.042633,22.602217,0
20-12-53,114.042633,22.602217,1
20-12-53,114.042999,22.601816,0
20-12-58,114.045380,22.598682,1
20-13-6,114.057114,22.627850,0
20-13-14,114.038048,22.646618,1
20-13-30,114.021736,22.639967,0
20-13-33,114.023636,22.646200,1
20-14-0,114.012871,22.685667,0
20-14-29,114.023621,22.665567,1
20-14-44,114.018982,22.655518,0
20-14-48,114.013550,22.661234,1
20-15-21,114.034836,22.623266,0
20-15-23,114.034569,22.624533,1
20-16-6,114.156815,22.615383,0
20-16-6,114.157303,22.614468,1
20-16-24,114.110367,22.609568,0
20-16-25,114.109985,22.609818,1
20-16-48,114.110016,22.622017,0
20-16-51,114.098152,22.630583,1
20-16-58,114.067780,22.633101,0
20-17-18,114.038216,22.651617,1
20-17-19,114.037903,22.652782,0
20-17-20,114.037399,22.653183,1
20-17-26,114.025780,22.667084,0
20-17-28,114.023636,22.666283,1
20-17-49,114.016251,22.666651,0
20-18-48,114.025818,22.672382,1
20-18-48,114.025818,22.672382,0
20-19-11,114.058281,22.662901,1
20-19-20,114.061386,22.649033,0
20-21-2,114.025330,22.672001,1
20-21-7,114.016617,22.666283,0
20-22-0,114.000435,22.682266,1
20-22-1,114.001534,22.682449,0
20-22-16,114.025314,22.660116,1
20-22-22,114.019585,22.651217,0
20-22-24,114.016685,22.652884,1
20-22-30,114.016052,22.666967,0
20-22-41,114.014336,22.665550,1
20-22-50,114.031853,22.651567,0
21-0-8,114.059532,22.664650,1
21-0-9,114.059532,22.664650,0
21-0-36,114.025764,22.674217,1
21-0-50,114.058929,22.730417,0
21-1-39,114.028503,22.651400,1
21-1-39,114.028503,22.651400,0
21-2-22,114.100586,22.628218,1
21-2-26,114.069649,22.630432,0
21-3-47,114.041603,22.648718,1
21-3-50,114.034248,22.642683,0
21-3-55,114.042198,22.649834,1
21-3-58,114.034103,22.642700,0
21-7-43,114.027420,22.673283,1
21-7-51,114.048164,22.670532,0
21-10-4,114.047318,22.671833,1
21-10-13,114.036919,22.653482,0
21-10-20,114.030403,22.664551,1
21-10-26,114.035164,22.667833,0
21-10-29,114.030548,22.664833,1
21-10-47,114.013420,22.679449,0
21-10-48,114.013298,22.679132,1
21-10-59,114.016617,22.665783,0
21-11-8,114.012665,22.662268,1
21-11-39,114.080719,22.706833,0
21-13-22,114.045731,22.693033,1
21-13-31,114.084900,22.703518,0
21-13-34,114.070816,22.714550,1
21-13-47,114.041901,22.715366,0
21-13-51,114.039116,22.712250,1
21-14-1,114.044167,22.702232,0
21-14-37,114.057480,22.663717,1
21-14-53,114.086166,22.648199,0
21-14-54,114.084900,22.647984,1
21-15-4,114.061165,22.638933,0
21-15-6,114.059799,22.638700,1
21-15-21,114.072968,22.654034,0
21-15-43,114.031181,22.677116,1
21-15-55,114.025482,22.672234,0
21-16-5,114.031250,22.677683,1
21-16-11,114.038033,22.669849,0
21-16-51,114.026634,22.672934,1
21-17-17,114.026649,22.631201,0
21-17-20,114.024666,22.635767,1
21-18-9,114.012016,22.667967,0
21-18-18,114.025703,22.671949,1
21-18-34,114.057831,22.663267,0
21-19-5,114.013519,22.665501,1
21-19-9,114.014519,22.668633,0
21-19-28,114.031731,22.677683,1
21-19-37,114.039398,22.651817,0
21-20-1,114.020317,22.618732,1
21-20-5,114.027367,22.621483,0
21-20-7,114.032417,22.615150,1
21-20-28,114.017487,22.664516,0
21-20-38,114.023750,22.665567,1
21-20-43,114.013283,22.668383,0
21-20-52,114.022217,22.669533,1
21-21-2,114.023285,22.670349,0
21-21-21,114.043831,22.604633,1
21-21-22,114.043732,22.601549,0
21-22-52,114.029785,22.665449,1
21-23-5,113.994415,22.671900,0
21-23-12,113.990364,22.677217,1
21-23-28,114.035469,22.647318,0
21-23-58,114.012047,22.662750,1
22-0-3,114.026634,22.673149,0
22-0-21,114.017464,22.664600,1
22-0-25,114.011864,22.663851,0
22-0-51,114.013832,22.665300,1
22-1-0,114.034554,22.663151,0
22-1-9,114.039619,22.654318,1
22-1-12,114.030403,22.649900,0
22-2-6,114.020714,22.663267,1
22-2-8,114.022881,22.657650,0
22-5-3,114.027946,22.667700,1
22-5-16,114.039383,22.606167,0
