time,jd,wd,status
18-0,114.058350,22.568968,1
18-0,114.121597,22.547001,0
18-0,114.121399,22.542717,1
18-0,114.078217,22.534599,0
18-0,114.062798,22.547333,1
18-1,114.115402,22.558268,0
18-1,114.125420,22.549250,1
18-1,114.063049,22.572517,0
18-2,114.060135,22.570517,1
18-2,114.057518,22.536867,0
18-6,114.139366,22.553783,1
18-6,113.814919,22.649349,0
18-7,114.137367,22.544184,1
18-8,114.071770,22.543751,0
18-8,114.071266,22.544050,1
18-8,114.026619,22.537268,0
18-8,114.020485,22.536217,1
18-9,113.817001,22.645849,0
18-10,114.079803,22.553967,1
18-10,114.070847,22.526934,0
18-10,114.078735,22.534149,1
18-10,114.078453,22.543083,0
18-10,114.080833,22.554100,1
18-11,114.084129,22.545082,0
18-11,114.081436,22.553783,1
18-11,114.049919,22.525917,0
18-11,114.053047,22.531282,1
18-12,114.094597,22.560284,0
18-12,114.094536,22.561001,1
18-12,114.098366,22.575832,0
18-12,114.098450,22.575783,1
18-12,114.039734,22.573168,0
18-12,114.040634,22.569983,1
18-12,114.046082,22.597866,0
18-13,114.060753,22.562483,1
18-13,114.059547,22.608299,0
18-13,114.047783,22.604317,1
18-13,114.079201,22.545532,0
18-13,114.084381,22.545683,1
18-13,114.071815,22.543617,0
18-13,114.063751,22.547367,1
18-13,114.075882,22.542967,0
18-13,114.081596,22.542267,1
18-14,114.087967,22.565968,0
18-14,114.088348,22.564650,1
18-14,114.050667,22.565216,0
18-14,114.038414,22.569267,1
18-14,114.062630,22.571068,0
18-14,114.067352,22.571133,1
18-14,114.027885,22.561800,0
18-14,114.032066,22.566999,1
18-14,114.042252,22.553482,0
18-14,114.041084,22.553400,1
18-15,113.980148,22.535982,0
18-15,113.993118,22.532333,1
18-15,113.816101,22.646967,0
18-16,113.815102,22.649517,1
18-17,113.886765,22.492800,0
18-17,113.891068,22.502817,1
18-17,113.940697,22.540382,0
18-18,113.970985,22.539034,1
18-18,114.036980,22.568583,0
18-19,114.126404,22.547832,1
18-21,113.940468,22.520733,0
18-21,113.933014,22.520733,1
