time,jd,wd,status
18-0-0,114.109016,22.541634,1
18-0-2,114.112617,22.547483,0
18-0-20,114.067329,22.524683,1
18-0-28,114.119797,22.540800,0
18-0-43,114.067535,22.524450,1
18-0-49,114.112770,22.531683,0
18-1-11,114.067520,22.524532,1
18-1-18,114.053497,22.516533,0
18-1-28,114.067665,22.524017,1
18-1-36,114.119286,22.539516,0
18-1-36,114.118835,22.539883,1
18-1-43,114.086769,22.542732,0
18-2-0,114.067535,22.523916,1
18-2-6,114.056450,22.523483,0
18-2-14,114.031303,22.523783,1
18-2-29,114.028336,22.568050,0
18-3-7,113.814667,22.648933,1
18-3-38,114.135468,22.566999,0
18-3-39,114.136780,22.567600,1
18-3-42,114.137886,22.580482,0
18-4-35,114.117935,22.543501,1
18-4-45,114.118416,22.543699,0
18-5-16,114.114914,22.542700,1
18-5-20,114.100998,22.547350,0
18-5-21,114.099930,22.547216,1
18-5-27,114.094536,22.560316,0
18-5-39,114.113647,22.546083,1
18-5-44,114.127136,22.548401,0
18-5-47,114.118217,22.543318,1
18-6-15,113.814735,22.649866,0
18-8-4,114.026299,22.524834,1
18-8-15,114.051735,22.512699,0
18-8-18,114.057419,22.514732,1
18-8-42,114.045120,22.550783,0
18-8-48,114.035400,22.555067,1
18-9-4,114.068451,22.523733,0
18-9-7,114.067535,22.524517,1
18-9-34,114.056984,22.666733,0
18-9-49,114.060669,22.653316,1
18-10-37,114.115021,22.534901,0
18-10-40,114.113815,22.534149,1
18-10-51,114.132797,22.567867,0
18-10-52,114.133102,22.565350,1
18-10-59,114.114830,22.546818,0
18-11-4,114.107315,22.546833,1
18-11-10,114.099503,22.549917,0
18-11-15,114.096970,22.551933,1
18-11-34,114.050819,22.537216,0
18-11-34,114.049599,22.536850,1
18-11-44,114.048882,22.569283,0
18-12-9,113.922951,22.529850,1
18-12-17,113.962265,22.533583,0
18-13-8,114.025116,22.527767,1
18-13-16,114.059265,22.527250,0
18-13-29,114.038170,22.523718,1
18-13-53,113.908531,22.479483,0
18-14-2,113.924065,22.490717,1
18-14-36,114.113716,22.540716,0
18-14-47,114.102051,22.541933,1
18-15-10,114.053215,22.537582,0
18-15-11,114.053398,22.537416,1
18-15-22,114.076233,22.544767,0
18-15-23,114.076103,22.543850,1
18-15-35,114.051964,22.538116,0
18-15-36,114.054535,22.537466,1
18-15-55,114.112801,22.535933,0
18-15-56,114.112419,22.536266,1
18-16-17,114.089546,22.543600,0
18-16-18,114.089516,22.543716,1
18-16-40,114.116570,22.580067,0
18-16-52,114.089714,22.564550,1
18-17-15,114.048615,22.521200,0
18-17-16,114.046516,22.519033,1
18-17-25,114.025070,22.534000,0
18-17-29,114.019203,22.539133,1
18-17-54,114.105965,22.541401,0
18-18-1,114.090103,22.538168,1
18-18-12,114.073349,22.532034,0
18-18-17,114.064415,22.537884,1
18-18-42,114.035103,22.520332,0
18-18-47,114.029648,22.521650,1
18-19-0,114.035118,22.556932,0
18-19-56,114.063065,22.519117,1
18-20-51,114.047333,22.518600,0
18-20-52,114.049965,22.518133,1
18-21-12,114.113503,22.534817,0
18-21-16,114.124084,22.536234,1
18-21-22,114.129547,22.546949,0
18-21-22,114.129601,22.547850,1
18-21-37,114.101601,22.547768,0
18-21-38,114.099930,22.547533,1
18-21-42,114.101997,22.542950,0
18-21-42,114.102951,22.542917,1
18-21-56,114.054817,22.549467,0
18-21-57,114.056915,22.549450,1
18-22-5,114.087181,22.560850,0
18-22-6,114.087700,22.561268,1
18-22-17,114.122398,22.568233,0
18-22-21,114.125015,22.559467,1
18-22-29,114.120583,22.546932,0
18-22-39,114.112579,22.547117,1
18-22-49,114.073647,22.537251,0
18-22-51,114.074982,22.533382,1
18-22-58,114.048531,22.520782,0
18-23-0,114.044182,22.519951,1
18-23-2,114.036781,22.523199,0
18-23-17,114.024933,22.527517,1
18-23-22,114.059364,22.526333,0
18-23-29,114.053467,22.525867,1
18-23-37,114.020615,22.531334,0
18-23-42,114.023979,22.526217,1
18-23-50,114.011436,22.534317,0
19-0-26,114.124397,22.572117,1
19-0-38,114.081650,22.549999,0
19-0-38,114.081596,22.549282,1
19-0-44,114.075584,22.538816,0
19-1-4,114.071899,22.538950,1
19-1-9,114.047882,22.537683,0
19-1-24,114.029884,22.526966,1
19-1-32,114.068619,22.524082,0
19-2-50,114.076103,22.536283,1
19-2-51,114.073967,22.537600,0
19-3-26,114.076248,22.534767,1
19-3-28,114.077499,22.537701,0
19-4-46,114.117416,22.543283,1
19-4-50,114.118179,22.551550,0
