time,jd,wd,status
18-0-47,114.110199,22.543400,0
18-1-6,114.077454,22.550068,1
18-1-17,114.128815,22.611717,0
18-1-53,114.040215,22.611650,1
18-1-57,114.031601,22.606899,0
18-5-44,114.035271,22.619101,1
18-5-55,114.009369,22.586233,0
18-5-55,114.009369,22.586233,1
18-6-3,113.929100,22.559566,0
18-6-3,113.929131,22.560499,1
18-6-21,113.815849,22.647367,0
18-6-58,113.882317,22.570700,1
18-7-15,113.943268,22.506451,0
18-7-28,113.944931,22.507183,1
18-7-55,113.837997,22.632317,0
18-8-16,113.894066,22.565201,1
18-8-46,113.912483,22.526100,0
18-8-46,113.912483,22.526100,1
18-9-43,114.113403,22.535833,0
18-9-44,114.113403,22.535833,1
18-9-59,114.172218,22.561783,0
18-10-5,114.169632,22.566851,1
18-10-17,114.116936,22.541283,0
18-10-18,114.116936,22.541283,1
18-10-32,114.123779,22.579332,0
18-10-32,114.123215,22.579416,1
18-10-47,114.065063,22.532066,0
18-10-52,114.063004,22.528000,1
18-10-55,114.062798,22.518984,0
18-11-3,114.052284,22.511333,1
18-11-12,114.058380,22.525417,0
18-11-38,114.062599,22.546618,1
18-11-44,114.048500,22.537367,0
18-11-45,114.048752,22.537350,1
18-11-52,114.052383,22.528584,0
18-12-6,114.064346,22.537718,1
18-13-29,114.114182,22.534134,0
18-12-30,114.114182,22.534134,1
18-13-3,113.972382,22.540283,0
18-14-36,114.026581,22.532867,1
18-14-50,114.051384,22.511133,0
18-14-51,114.050018,22.512117,1
18-14-56,114.033600,22.518351,0
18-14-56,114.033600,22.518351,1
18-15-13,114.101868,22.541983,0
18-15-13,114.101868,22.541983,1
18-15-21,114.117920,22.544050,0
18-15-23,114.117683,22.544083,1
18-15-40,114.133835,22.572184,0
18-15-54,114.123016,22.558149,1
18-16-3,114.114586,22.543051,0
18-16-7,114.111168,22.543400,1
18-16-35,114.081520,22.549868,0
18-17-36,114.064980,22.551201,1
18-18-8,113.941734,22.503651,0
18-18-12,113.945267,22.506582,1
18-18-27,113.938934,22.542601,0
18-18-28,113.938934,22.542601,1
18-18-56,113.908531,22.479517,0
18-19-1,113.908363,22.479383,1
18-20-0,113.932480,22.521799,0
18-20-17,113.948082,22.541849,1
18-20-24,113.924782,22.532766,0
18-20-38,113.930748,22.544582,1
18-20-43,113.915565,22.541468,0
18-20-44,113.915337,22.541582,1
18-20-48,113.922630,22.549200,0
18-20-58,113.937950,22.546167,1
18-21-19,113.886253,22.592649,0
18-21-23,113.884903,22.587250,1
18-21-25,113.888763,22.593332,0
18-21-54,114.114265,22.534567,1
18-22-2,114.133736,22.566633,0
18-22-40,114.112221,22.547701,1
18-22-49,114.124901,22.576633,0
18-23-1,114.124252,22.547684,1
18-23-9,114.102982,22.542883,0
18-23-19,114.095169,22.541067,1
18-23-26,114.073936,22.537666,0
18-23-38,114.081001,22.545467,1
18-23-46,114.078049,22.538116,0
18-23-47,114.077652,22.540167,1
19-0-3,114.126114,22.610933,0
19-0-7,114.119202,22.612183,1
19-0-16,114.119286,22.570818,0
19-0-21,114.124969,22.560516,1
19-0-24,114.125771,22.549967,0
19-0-25,114.124718,22.547750,1
19-0-40,114.185547,22.561583,0
19-0-53,114.135384,22.576283,1
19-1-16,113.909882,22.542418,0
19-5-50,114.040848,22.608650,1
19-6-6,114.089531,22.543467,0
19-6-11,114.085587,22.549683,1
19-6-21,114.031601,22.546183,0
19-6-22,114.034897,22.545782,1
19-6-33,114.113518,22.534166,0
19-6-49,114.117332,22.538282,1
19-6-58,114.114014,22.531401,0
19-7-15,114.116669,22.536182,1
19-7-23,114.128731,22.577850,0
19-7-28,114.123314,22.574083,1
19-7-53,114.055466,22.545450,0
19-8-4,114.045670,22.558201,1
19-8-18,114.046219,22.543182,0
19-8-24,114.037117,22.544050,1
19-8-37,114.053818,22.535217,0
19-8-42,114.063164,22.536833,1
19-9-1,114.080284,22.573816,0
19-9-1,114.080284,22.573816,1
19-9-7,114.081017,22.558582,0
19-9-9,114.078300,22.559750,1
19-9-26,114.111870,22.545567,0
19-9-26,114.111870,22.545567,1
19-9-33,114.089935,22.541401,0
19-9-33,114.089935,22.541401,1
19-9-43,114.089470,22.564533,0
19-9-47,114.083565,22.571783,1
19-10-5,114.026031,22.621517,0
19-10-36,114.035568,22.621267,1
19-10-47,114.040154,22.639032,0
19-10-55,114.032471,22.629732,1
19-11-19,114.076149,22.547117,0
19-11-19,114.076149,22.547117,1
19-11-41,113.977165,22.554701,0
19-11-43,113.979218,22.552334,1
19-12-0,114.062614,22.539417,0
