time,jd,wd,status
18-7,114.099113,22.563250,1
18-7,114.090767,22.543568,0
18-7,114.091187,22.548849,1
18-7,114.114548,22.551533,0
18-7,114.116470,22.563383,1
18-7,114.102020,22.541117,0
18-7,114.103920,22.540550,1
18-8,114.111465,22.531500,0
18-8,114.107513,22.541384,1
18-8,114.051384,22.535151,0
18-8,114.048035,22.525818,1
18-8,114.049599,22.540518,0
18-8,114.042931,22.534317,1
18-8,114.046951,22.539883,0
18-8,114.037880,22.530951,1
18-9,114.047417,22.539316,0
18-9,114.040619,22.532984,1
18-9,114.046921,22.539351,0
18-9,114.045631,22.530600,1
18-10,114.114914,22.534651,0
18-10,114.113380,22.534401,1
18-10,113.816315,22.646816,0
18-12,113.973450,22.542717,1
18-12,113.972282,22.550417,0
18-12,113.972237,22.550583,1
18-12,113.816086,22.647133,0
18-14,113.816635,22.646900,1
18-14,114.053200,22.537518,0
18-14,114.050468,22.537483,1
18-14,114.049934,22.541067,0
18-14,114.048950,22.539417,1
18-15,114.043083,22.519850,0
18-15,114.047699,22.518766,1
18-15,114.055519,22.595400,0
18-16,114.052429,22.545418,1
18-16,114.059547,22.569117,0
18-16,114.059647,22.569151,1
18-16,113.972054,22.540001,0
18-16,113.971886,22.540068,1
18-16,113.986649,22.536682,0
18-16,113.974854,22.537733,1
18-17,113.964714,22.531033,0
18-17,113.962982,22.533817,1
18-17,113.951118,22.539267,0
18-17,113.950836,22.539034,1
18-17,114.117317,22.536934,0
18-17,114.121483,22.539967,1
18-18,114.112549,22.543966,0
18-18,114.115135,22.545868,1
18-18,114.101151,22.571684,0
18-19,114.215851,22.669550,1
18-20,114.035751,22.551916,0
18-21,114.067131,22.551050,1
18-21,114.048866,22.571068,0
18-21,114.061600,22.562366,1
18-21,114.084282,22.540701,0
18-21,114.085449,22.540783,1
18-21,114.117714,22.540150,0
18-21,114.115898,22.542316,1
18-22,114.131767,22.558050,0
18-22,114.114899,22.542618,1
18-22,114.074898,22.531883,0
18-22,114.059135,22.527817,1
18-22,114.114571,22.534782,0
18-22,114.113197,22.534233,1
18-22,114.122002,22.572701,0
18-22,114.122047,22.571699,1
18-23,114.088097,22.562067,0
18-23,114.101250,22.552282,1
18-23,114.065086,22.557833,0
18-23,114.062515,22.550182,1
18-23,114.045097,22.518950,0
18-23,114.048248,22.518351,1
18-23,114.059319,22.527134,0
18-23,114.063065,22.537649,1
18-23,114.060921,22.533617,0
19-0,114.080582,22.542883,1
19-0,114.088097,22.543367,0
19-0,114.092384,22.540632,1
19-0,114.062683,22.533501,0
19-0,114.062469,22.533716,1
19-0,114.102303,22.584818,0
19-2,114.101616,22.611300,1
19-3,114.099533,22.611668,0
19-7,114.093002,22.559750,1
19-7,114.091064,22.546818,0
19-7,114.091118,22.546482,1
19-7,114.118080,22.541683,0
19-7,114.120850,22.558750,1
19-8,114.084267,22.571266,0
19-8,114.052101,22.565250,1
19-8,114.022499,22.542200,0
19-8,114.002113,22.536449,1
19-9,114.080971,22.558666,0
19-9,114.075851,22.558283,1
19-9,113.945648,22.541668,0
19-9,114.024284,22.531300,1
19-9,114.043137,22.524633,0
19-10,114.076981,22.535601,1
19-10,114.115952,22.538900,0
19-10,114.120399,22.541800,1
19-11,114.113319,22.543617,0
19-11,114.113533,22.543600,1
19-11,114.100586,22.538317,0
19-11,114.058586,22.523849,1
19-11,114.081566,22.544666,0
19-11,114.095016,22.543432,1
19-12,114.133331,22.571432,0
19-12,114.129684,22.571850,1
19-12,114.090981,22.552282,0
19-12,114.088882,22.549267,1
19-12,114.095169,22.543783,0
19-12,114.088448,22.543350,1
19-12,114.081703,22.549883,0
19-12,114.099098,22.556984,1
19-12,114.102798,22.543949,0
19-13,114.105583,22.537251,1
19-13,114.068520,22.523916,0
19-13,114.079033,22.534233,1
19-13,114.083832,22.548149,0
19-13,114.083801,22.548582,1
19-13,114.119431,22.596617,0
19-13,114.124535,22.579332,1
19-14,114.110214,22.631250,0
19-14,114.117233,22.569767,1
19-14,114.104080,22.559933,0
19-14,114.104019,22.560883,1
19-14,114.054100,22.562416,0
19-14,114.036819,22.558250,1
19-15,114.051453,22.511168,0
19-15,114.058884,22.520817,1
19-15,114.042847,22.520384,0
19-15,114.050934,22.518000,1
19-15,114.116402,22.541883,0
19-15,114.116364,22.541117,1
19-15,114.075050,22.533333,0
19-16,114.077415,22.537567,1
19-16,114.086800,22.543167,0
19-16,114.089302,22.543283,1
19-16,114.130081,22.552500,0
19-16,114.128036,22.556168,1
19-16,114.113136,22.546783,0
19-16,114.112350,22.547400,1
19-16,114.115517,22.556316,0
19-16,114.115463,22.553267,1
19-16,114.117821,22.560650,0
19-17,114.116180,22.558867,1
19-17,114.092300,22.541634,0
19-17,114.092270,22.541567,1
19-17,114.101768,22.555866,0
19-17,114.101799,22.556183,1
19-17,114.116783,22.551933,0
19-17,114.103653,22.545967,1
19-18,114.074997,22.579132,0
19-18,114.090851,22.558083,1
19-18,114.078934,22.574368,0
19-18,114.080902,22.573816,1
19-19,114.091064,22.545799,0
19-19,114.091118,22.545732,1
19-19,114.076614,22.543083,0
19-19,114.067482,22.524450,1
19-19,114.126183,22.543983,0
19-20,114.114532,22.558867,1
19-20,114.106300,22.543432,0
19-20,114.101151,22.543734,1
19-20,113.931435,22.517017,0
19-21,113.996063,22.528217,1
19-21,114.040421,22.530634,0
19-21,114.041351,22.530899,1
19-21,114.100403,22.555134,0
19-21,114.103996,22.555250,1
19-22,114.044586,22.510782,0
19-22,114.044296,22.510900,1
19-22,114.093849,22.559933,0
19-22,114.105766,22.546083,1
19-22,114.116753,22.602783,0
19-23,114.113617,22.583418,1
19-23,114.102783,22.572718,0
19-23,114.096870,22.561550,1
19-23,114.106133,22.587667,0
20-0,114.104698,22.609550,1
20-0,114.102699,22.610367,0
20-7,114.093353,22.558500,1
20-7,114.084930,22.556801,0
20-7,114.097183,22.569000,1
20-7,114.130615,22.577482,0
20-7,114.137817,22.575600,1
20-8,114.068420,22.523718,0
20-8,114.075249,22.531683,1
20-8,114.111603,22.533466,0
20-8,114.110718,22.537117,1
20-8,114.117134,22.543301,0
20-8,114.117821,22.543600,1
20-8,114.117516,22.560932,0
20-8,114.117386,22.560400,1
20-9,114.039665,22.544634,0
20-9,114.041916,22.548332,1
20-9,114.048569,22.537251,0
20-9,114.049683,22.537466,1
20-9,114.061119,22.531282,0
20-9,114.068115,22.535868,1
20-9,114.062767,22.517500,0
20-9,114.063232,22.518682,1
20-10,114.052452,22.511232,0
20-10,114.051414,22.511950,1
20-10,114.073235,22.531767,0
20-10,114.113014,22.538750,1
20-10,114.115730,22.557432,0
20-10,114.119530,22.559267,1
20-11,113.918365,22.550882,0
20-11,113.947052,22.541750,1
20-12,114.115097,22.534866,0
