time,jd,wd,status
18-0-14,113.978615,22.539932,1
18-0-25,113.986015,22.561466,0
18-1-12,113.927269,22.510750,1
18-1-25,113.963768,22.546249,0
18-1-34,113.963654,22.547182,1
18-1-43,113.936531,22.537050,0
18-2-21,113.963585,22.547501,1
18-2-27,113.972237,22.540150,0
18-2-54,114.085648,22.564367,1
18-3-24,114.377968,22.615067,0
18-5-11,114.264984,22.591949,1
18-5-18,114.238884,22.596649,0
18-6-49,114.044220,22.597799,1
18-6-51,114.055016,22.580650,0
18-7-4,114.054115,22.569599,1
18-7-13,114.044182,22.558350,0
18-7-25,114.048820,22.567167,1
18-7-36,114.053947,22.537733,0
18-7-39,114.058067,22.536833,1
18-7-40,114.058098,22.536800,0
18-7-40,114.058037,22.536568,1
18-7-42,114.062347,22.535450,0
18-7-52,114.063515,22.551332,1
18-8-8,114.021584,22.539351,0
18-8-16,114.037430,22.548901,1
18-8-29,114.003036,22.536716,0
18-8-31,114.002815,22.537184,1
18-8-38,113.991783,22.540268,0
18-8-51,114.020821,22.531900,1
18-8-57,114.026482,22.544184,0
18-9-4,114.034264,22.548750,1
18-9-6,114.035080,22.544399,0
18-9-6,114.035103,22.544350,1
18-9-13,114.010597,22.534634,0
18-9-18,114.022400,22.531717,1
18-9-32,114.106316,22.536833,0
18-9-34,114.109253,22.537399,1
18-9-45,114.140884,22.560432,0
18-9-46,114.140030,22.563334,1
18-9-52,114.122665,22.591566,0
18-9-53,114.125534,22.589317,1
18-10-20,114.115166,22.534950,0
18-10-23,114.114166,22.534300,1
18-10-32,114.127647,22.555384,0
18-10-33,114.126686,22.554216,1
18-10-41,114.140671,22.559750,0
18-10-43,114.139168,22.564301,1
18-10-56,114.115898,22.543217,0
18-10-57,114.116653,22.546482,1
18-11-8,114.090683,22.538116,0
18-11-38,113.911949,22.516100,1
18-11-48,113.908417,22.479401,0
18-11-50,113.907631,22.481033,1
18-12-14,113.979614,22.557533,0
18-12-29,114.055397,22.568899,1
18-12-33,114.065063,22.571182,0
18-12-58,114.083664,22.554632,1
18-13-0,114.081520,22.550484,0
18-13-1,114.081619,22.549583,1
18-13-15,114.033020,22.561583,0
18-13-19,114.033333,22.561199,1
18-13-31,113.935333,22.555532,0
18-14-53,113.815048,22.649651,1
18-14-59,113.845718,22.632050,0
18-15-24,113.918518,22.542999,1
18-15-27,113.928200,22.547649,0
18-15-37,113.940666,22.542850,1
18-15-52,113.878914,22.556482,0
18-15-59,113.858597,22.572100,1
18-16-16,113.924683,22.555332,0
18-17-25,114.124016,22.569851,1
18-17-38,114.117683,22.537600,0
18-17-44,114.111580,22.540333,1
18-17-58,114.106934,22.562183,0
18-18-44,114.044952,22.597151,1
18-19-1,114.048836,22.543051,0
18-19-5,114.038033,22.542200,1
18-19-19,113.969185,22.539650,0
18-21-9,113.815132,22.649532,1
18-21-31,113.922852,22.527582,0
18-21-43,113.919701,22.510250,1
18-21-49,113.943367,22.506483,0
18-22-4,113.945236,22.506533,1
18-22-16,113.936264,22.496433,0
18-22-37,113.920166,22.491966,1
18-22-51,113.907951,22.489634,0
18-23-25,113.900703,22.513666,1
18-23-35,113.923180,22.529783,0
18-23-37,113.918251,22.527367,1
18-23-41,113.905716,22.518999,0
19-0-18,114.067253,22.547518,1
19-0-32,113.918968,22.527218,0
19-0-38,113.919701,22.530733,1
19-0-44,113.885681,22.574318,0
19-3-33,114.026382,22.672417,1
19-3-48,114.066635,22.655483,0
19-7-33,114.112686,22.569082,1
19-7-41,114.112633,22.535851,0
19-7-59,114.104050,22.553801,1
19-8-19,114.055367,22.535299,0
19-8-24,114.052429,22.525967,1
19-8-28,114.053268,22.537550,0
19-8-33,114.055649,22.537416,1
19-8-39,114.048134,22.539450,0
19-8-40,114.047752,22.539417,1
19-8-40,114.046783,22.539400,0
19-8-44,114.039833,22.542450,1
19-8-53,114.015198,22.537582,0
19-9-1,114.031548,22.526768,1
19-9-7,114.013718,22.539600,0
19-9-21,114.043770,22.547333,1
19-9-37,114.043785,22.547100,0
19-9-38,114.044250,22.544117,1
19-9-49,113.947250,22.524218,0
19-10-34,113.907204,22.551916,1
19-10-59,114.044434,22.561317,0
19-11-2,114.047234,22.560034,1
