time,jd,wd,status
18-0,113.963783,22.543266,1
18-0,113.958466,22.565100,0
18-0,113.958252,22.565149,1
18-0,113.960617,22.572317,0
18-0,113.953033,22.575150,1
18-0,113.907753,22.514917,0
18-1,113.917297,22.524633,1
18-1,113.920280,22.520033,0
18-1,113.919899,22.519417,1
18-1,113.919769,22.491249,0
18-2,113.877998,22.569450,1
18-2,113.892464,22.560883,0
18-2,113.914330,22.535816,1
18-2,113.914551,22.529217,0
18-3,113.916183,22.524967,1
18-3,113.914413,22.528933,0
18-3,113.918854,22.528433,1
18-3,113.923935,22.497084,0
18-3,113.923080,22.493168,1
18-3,113.931183,22.491167,0
18-7,113.913948,22.535618,1
18-7,113.938164,22.542549,0
18-7,113.927429,22.528418,1
18-7,113.928902,22.548517,0
18-8,113.922867,22.551317,1
18-8,113.929352,22.559601,0
18-8,113.918320,22.551050,1
18-8,113.933784,22.522017,0
18-8,113.928329,22.517918,1
18-9,113.816048,22.646633,0
18-10,113.814453,22.649950,1
18-11,114.105453,22.551533,0
18-11,114.144051,22.554567,1
18-12,114.114830,22.546118,0
18-12,114.114830,22.546118,1
18-12,114.125481,22.541950,0
18-12,114.119164,22.538418,1
18-12,114.116516,22.548483,0
18-12,114.120232,22.547466,1
18-12,114.114853,22.534834,0
18-13,114.113968,22.542784,1
18-13,114.127098,22.550133,0
18-13,114.130768,22.549583,1
18-13,114.117203,22.548018,0
18-13,114.117180,22.547649,1
18-13,114.113831,22.537483,0
18-13,114.105453,22.553482,1
18-13,114.083984,22.543301,0
18-13,114.080719,22.543200,1
18-14,114.093246,22.570168,0
18-14,114.081299,22.555349,1
18-14,114.120567,22.542900,0
18-14,114.121834,22.544233,1
18-15,114.068481,22.523632,0
18-15,114.067551,22.524433,1
18-15,114.118164,22.536234,0
18-15,114.118164,22.536234,1
18-15,114.118164,22.536234,0
18-15,114.103653,22.564899,1
18-16,114.079750,22.572666,0
18-16,114.080101,22.573750,1
18-16,114.091331,22.539101,0
18-16,114.084297,22.537617,1
18-16,114.058182,22.545767,0
18-16,114.058533,22.545883,1
18-16,114.019547,22.540400,0
18-17,113.915581,22.531218,1
18-17,113.921997,22.491833,0
18-17,113.921669,22.491501,1
18-17,113.924400,22.493967,0
18-18,113.925270,22.496700,1
18-18,113.920914,22.518917,0
18-18,113.920334,22.519333,1
18-18,113.918533,22.526199,0
18-18,113.921967,22.521917,1
18-18,113.943336,22.506517,0
18-18,113.945435,22.506533,1
18-19,113.916153,22.534750,0
18-19,113.916084,22.535633,1
18-19,113.937447,22.535282,0
18-19,113.936096,22.534451,1
18-20,113.910454,22.531700,0
18-20,113.911133,22.535316,1
18-21,113.920532,22.519083,0
18-21,113.937149,22.535482,1
18-21,113.923119,22.534500,0
18-21,113.930748,22.543383,1
18-21,113.961868,22.533733,0
18-21,113.961952,22.534983,1
18-21,113.968132,22.540001,0
18-21,113.970596,22.539682,1
18-22,113.916183,22.503700,0
18-22,113.930984,22.521700,1
18-22,113.923248,22.529617,0
18-23,113.963730,22.543100,1
18-23,114.080566,22.536400,0
18-23,114.025414,22.536118,1
19-0,113.858566,22.575884,0
19-1,113.874702,22.587233,1
19-1,113.919380,22.508467,0
19-1,113.916901,22.524517,1
19-2,113.915169,22.540716,0
19-3,113.917618,22.524733,1
19-3,113.923019,22.493784,0
19-3,113.921883,22.489149,1
19-3,113.924530,22.502750,0
19-4,113.920120,22.501316,1
19-4,113.910851,22.489782,0
19-5,113.908180,22.521267,1
19-5,113.908470,22.535183,0
19-5,113.914619,22.537416,1
19-5,113.910187,22.528816,0
19-5,113.911415,22.531218,1
19-5,113.815048,22.648916,0
19-6,113.909134,22.523933,1
19-6,113.908798,22.522200,0
19-6,113.900986,22.513800,1
19-7,113.866951,22.581882,0
19-7,113.916367,22.530132,1
19-8,113.932335,22.521000,0
19-8,113.926468,22.528584,1
19-8,113.943703,22.532316,0
19-8,113.927849,22.519882,1
19-8,113.918282,22.565283,0
19-9,113.917320,22.562550,1
19-9,113.814499,22.649782,0
19-10,113.915848,22.534933,1
19-10,113.922569,22.537367,0
19-10,113.922882,22.535500,1
19-10,113.897285,22.515516,0
19-10,113.910019,22.514917,1
19-11,113.905983,22.531500,0
19-11,113.909584,22.531467,1
19-11,113.942818,22.506149,0
19-11,113.945816,22.507351,1
19-11,113.924721,22.499350,0
19-11,113.925018,22.499451,1
19-11,113.943352,22.506517,0
19-11,113.945419,22.506582,1
19-12,113.943886,22.536867,0
19-12,113.944931,22.536900,1
19-12,113.935364,22.549883,0
19-12,113.933617,22.547150,1
19-12,114.019615,22.534517,0
19-14,113.989380,22.530184,1
19-14,113.985466,22.544916,0
19-14,113.978600,22.539949,1
19-14,113.972000,22.539534,0
19-14,113.969566,22.540001,1
19-14,113.860397,22.603849,0
19-15,113.920670,22.530399,1
19-15,113.949753,22.584217,0
19-15,113.959900,22.584818,1
19-16,113.916916,22.587467,0
19-16,113.941833,22.583700,1
19-16,113.856949,22.615534,0
19-17,113.919235,22.540199,1
19-17,113.924248,22.503700,0
19-17,113.924202,22.501949,1
19-18,113.910164,22.515318,0
19-18,113.909554,22.518167,1
19-18,113.932030,22.520050,0
19-18,113.932281,22.520967,1
19-18,114.064346,22.529783,0
19-18,114.056648,22.531816,1
19-19,114.119469,22.539034,0
19-19,114.118019,22.540251,1
19-19,114.051514,22.562717,0
19-19,114.031380,22.555117,1
19-20,114.057686,22.570601,0
19-20,113.967583,22.540733,1
19-20,113.961998,22.537367,0
19-20,113.959648,22.534500,1
19-20,113.951385,22.541866,0
19-20,113.949585,22.542133,1
19-21,113.828300,22.635851,0
19-21,113.914970,22.538433,1
19-22,113.919136,22.542032,0
19-22,113.919266,22.540833,1
19-22,113.908669,22.516500,0
19-22,113.914368,22.518417,1
19-22,113.968315,22.540033,0
19-22,113.967781,22.540617,1
19-22,113.943253,22.506433,0
19-22,113.945198,22.506567,1
19-22,113.915314,22.542566,0
19-23,113.917801,22.542868,1
19-23,113.919746,22.533251,0
19-23,113.931000,22.544767,1
19-23,113.958336,22.597401,0
20-0,113.947166,22.576851,1
20-0,113.977715,22.562651,0
20-0,113.953880,22.576532,1
20-0,113.925568,22.587717,0
20-1,113.943703,22.541750,1
20-1,113.967964,22.540617,0
20-3,113.912781,22.539534,1
20-3,113.914070,22.533817,0
20-3,113.917900,22.524782,1
20-3,113.916763,22.492884,0
20-3,113.921486,22.493483,1
20-3,113.917450,22.493099,0
20-5,113.913315,22.535151,1
20-5,113.950150,22.541800,0
20-6,113.898750,22.511667,1
20-6,113.867104,22.581783,0
