time,jd,wd,status
19-0,113.987221,22.541451,1
19-0,114.121696,22.546650,0
19-0,113.984520,22.536551,1
19-0,113.963615,22.547268,0
19-1,113.973686,22.540768,1
19-1,113.984863,22.544983,0
19-1,113.973549,22.540649,1
19-1,114.055763,22.515867,0
18-2,113.926987,22.541817,1
18-2,113.935448,22.583767,0
18-3,113.924202,22.522417,1
18-3,113.887665,22.580933,0
18-5,113.949150,22.523817,1
18-6,114.095802,22.634199,0
18-6,113.937149,22.543083,1
18-6,113.894615,22.567167,0
18-7,113.884102,22.586832,1
18-7,113.881668,22.584732,0
18-7,113.880684,22.566933,1
18-8,113.961914,22.541950,0
18-8,113.961914,22.539433,1
18-8,114.004868,22.537916,0
18-8,114.003868,22.537701,1
18-9,114.045486,22.540117,0
18-9,114.020737,22.532383,1
18-9,114.024834,22.539316,0
18-9,114.025719,22.539600,1
18-9,114.048950,22.540483,0
18-10,114.019814,22.532249,1
19-10,113.979919,22.537968,0
19-10,113.968315,22.540567,1
19-10,114.041252,22.544399,0
19-10,114.039848,22.552868,1
19-10,114.070366,22.551849,0
19-11,114.057930,22.537167,1
19-11,113.814819,22.649267,0
19-13,113.883980,22.563566,1
19-13,113.924820,22.518049,0
19-13,113.924568,22.524767,1
19-13,113.918465,22.642200,0
19-14,113.957481,22.595583,1
19-14,113.816116,22.646868,0
19-15,113.865150,22.578882,1
20-16,114.050934,22.548067,0
20-16,114.049614,22.547449,1
20-16,114.048035,22.533567,0
20-16,114.047966,22.534599,1
20-16,114.114685,22.542633,0
20-16,114.112663,22.542334,1
20-17,114.031700,22.523567,0
20-17,113.994736,22.528299,1
20-17,113.987030,22.541500,0
20-17,113.984932,22.538750,1
20-17,113.964218,22.545467,0
20-17,113.963219,22.547167,1
20-17,113.949547,22.575033,0
20-18,113.916603,22.568184,1
20-19,113.913414,22.539133,0
20-19,113.919647,22.538683,1
20-19,113.952385,22.574917,0
20-19,113.951385,22.574883,1
20-19,113.951500,22.572750,0
20-19,113.940552,22.543182,1
20-20,114.027229,22.539499,0
20-20,114.021271,22.536283,1
20-21,113.814934,22.649517,0
20-21,113.925865,22.521900,1
20-21,113.916084,22.534500,0
20-21,113.916496,22.531050,1
20-22,113.929916,22.521099,0
20-22,113.959381,22.543167,1
20-22,113.961815,22.542267,0
20-22,113.978287,22.540268,1
20-23,113.918182,22.502899,0
20-23,113.931282,22.521700,1
20-23,114.037102,22.523367,0
20-23,113.978371,22.540100,1
19-21,113.800430,22.735167,0
