time,jd,wd,status
18-0,113.931030,22.521017,1
18-1,113.816315,22.650534,0
18-1,113.815697,22.648884,1
18-2,114.120651,22.544067,0
18-2,114.119751,22.546450,1
18-2,114.133865,22.581182,0
18-3,114.113930,22.538967,1
18-4,113.877113,22.584583,0
18-5,114.011032,22.537033,1
18-5,114.046669,22.530451,0
18-7,114.047653,22.547899,1
18-7,114.012581,22.542000,0
18-7,114.017120,22.543833,1
18-7,114.068001,22.528267,0
18-7,114.071167,22.544750,1
18-7,114.112663,22.536083,0
18-7,114.112083,22.537849,1
18-8,114.104515,22.589417,0
18-8,114.105064,22.589617,1
18-8,114.049469,22.541033,0
18-8,114.049118,22.541201,1
18-9,114.048485,22.524332,0
18-9,114.048553,22.523300,1
18-9,114.047852,22.662132,0
18-9,114.055397,22.624933,1
18-9,114.038803,22.613850,0
18-9,114.039352,22.613199,1
18-10,114.025330,22.640682,0
18-10,114.025314,22.640583,1
18-10,113.908783,22.574800,0
18-10,113.908813,22.574034,1
18-10,113.921669,22.569866,0
18-11,114.055435,22.626917,1
18-12,114.105453,22.543449,0
18-12,114.106270,22.543467,1
18-12,114.114532,22.561968,0
18-12,114.116516,22.567432,1
18-12,114.114067,22.531633,0
18-12,114.111816,22.538733,1
18-12,114.116585,22.549549,0
18-13,114.126236,22.553368,1
18-13,114.137032,22.544933,0
18-13,114.132484,22.548967,1
18-13,114.148598,22.544567,0
18-13,114.142097,22.548767,1
18-13,114.126770,22.551933,0
18-13,114.126534,22.549667,1
18-14,114.110664,22.546049,0
18-14,114.111465,22.545532,1
18-14,114.101936,22.552401,0
18-14,114.104347,22.549101,1
18-14,114.060402,22.543516,0
18-14,114.058167,22.542868,1
18-14,113.992867,22.532682,0
18-15,114.047798,22.540449,1
18-15,114.051453,22.533916,0
18-15,114.051331,22.535067,1
18-16,113.815018,22.648899,0
18-16,113.816734,22.646200,1
18-16,113.870682,22.655899,0
18-18,114.047966,22.533016,1
18-18,114.027214,22.539551,0
18-19,114.112434,22.545650,1
18-21,114.123116,22.542868,0
18-21,114.113983,22.538950,1
18-21,114.059502,22.526484,0
18-21,114.059486,22.527384,1
18-21,114.113884,22.543983,0
18-21,114.113548,22.542334,1
18-22,114.104431,22.552433,0
18-22,114.106270,22.544884,1
18-22,114.127266,22.555218,0
18-22,114.126579,22.554132,1
18-22,114.116135,22.541782,0
18-22,114.113800,22.539017,1
18-22,114.119019,22.544067,0
18-22,114.118820,22.543917,1
18-22,114.101768,22.552418,0
18-22,114.107964,22.547518,1
18-22,114.098320,22.561533,0
18-23,114.094780,22.561449,1
18-23,114.063202,22.526033,0
18-23,114.082802,22.547001,1
19-0,114.131104,22.689632,0
19-0,114.133514,22.610216,1
19-1,113.948051,22.525517,0
19-1,113.925285,22.496517,1
19-1,113.913170,22.520849,0
19-3,113.892586,22.567383,1
19-3,114.086601,22.543118,0
19-7,114.082016,22.534616,1
19-7,114.078766,22.535133,0
19-7,114.077431,22.532700,1
19-7,114.035469,22.697617,0
19-9,113.904732,22.530132,1
19-9,113.911919,22.484383,0
19-9,113.920235,22.492117,1
19-10,113.834648,22.615433,0
19-11,113.966553,22.570932,1
19-11,113.966248,22.570883,0
19-11,113.966698,22.569782,1
19-11,114.112198,22.542000,0
19-11,114.107635,22.546883,1
19-11,114.109467,22.539267,0
19-11,114.108414,22.537600,1
19-12,114.081100,22.543301,0
19-12,114.077965,22.543150,1
19-12,113.981087,22.537251,0
19-13,114.067017,22.525066,1
19-13,114.081215,22.558783,0
19-13,114.067451,22.524183,1
19-13,114.005447,22.537916,0
19-14,114.009804,22.534218,1
19-14,114.058701,22.529249,0
19-14,114.058830,22.529449,1
19-14,114.088081,22.545233,0
19-14,114.091682,22.551767,1
19-14,114.050949,22.535467,0
19-14,114.047951,22.535200,1
19-15,114.068466,22.523767,0
19-15,114.067520,22.524450,1
19-15,114.116600,22.550100,0
19-15,114.116867,22.550667,1
19-15,114.112930,22.583433,0
19-15,114.116318,22.552233,1
19-15,114.112686,22.543983,0
19-15,114.112984,22.542233,1
19-16,114.073433,22.539301,0
19-16,114.075851,22.539984,1
19-16,114.130653,22.580317,0
19-16,114.122253,22.570667,1
19-16,114.119637,22.544201,0
19-16,114.120201,22.544468,1
19-17,114.068481,22.523983,0
19-17,114.067299,22.524767,1
19-17,114.062950,22.517584,0
19-17,114.063286,22.518700,1
19-17,114.025017,22.526951,0
19-17,114.032097,22.525200,1
19-17,114.038200,22.523083,0
19-17,114.039764,22.522266,1
19-18,114.084282,22.540567,0
19-18,114.048615,22.525833,1
19-18,114.046715,22.524549,0
19-18,114.027679,22.530933,1
19-18,114.020386,22.532383,0
19-18,114.020050,22.533100,1
19-18,114.022568,22.536551,0
19-18,114.022598,22.536583,1
19-19,114.057701,22.537600,0
19-19,114.054932,22.537550,1
19-19,114.026283,22.559017,0
19-19,114.033813,22.560600,1
19-19,114.074249,22.539650,0
19-19,114.074364,22.539717,1
19-20,114.116020,22.542368,0
19-20,114.115433,22.544683,1
19-20,114.127350,22.547867,0
19-20,114.120949,22.542282,1
19-20,114.103851,22.538433,0
19-20,114.093430,22.541550,1
19-20,114.084000,22.547199,0
19-20,114.084053,22.546432,1
19-20,114.020332,22.532351,0
19-20,114.023949,22.539316,1
19-21,114.040436,22.531233,0
19-21,114.025703,22.534149,1
19-21,114.011803,22.542833,0
19-21,114.017967,22.540333,1
19-21,114.097931,22.537968,0
19-21,114.101402,22.541100,1
19-21,114.078171,22.546833,0
19-21,114.081566,22.545418,1
19-21,114.075768,22.538334,0
19-22,114.078300,22.534651,1
19-22,114.073616,22.537132,0
19-22,114.073036,22.535933,1
19-22,114.018883,22.547350,0
19-22,114.013931,22.549667,1
19-22,114.043533,22.550600,0
19-22,114.041397,22.544201,1
19-22,114.064735,22.547533,0
19-22,114.081703,22.546118,1
19-23,114.031151,22.524218,0
19-23,114.037819,22.527533,1
19-23,114.037483,22.561317,0
19-23,114.039200,22.561016,1
19-23,114.041367,22.566833,0
20-0,114.113701,22.541634,1
20-0,114.100998,22.557751,0
20-0,114.101585,22.557667,1
20-0,113.946335,22.527468,0
20-0,113.931252,22.521967,1
20-1,114.056984,22.528467,0
20-1,114.115463,22.539200,1
20-1,114.119232,22.540033,0
20-2,114.114586,22.539118,1
20-2,114.119080,22.554234,0
20-3,114.111618,22.539600,1
20-3,114.049614,22.562500,0
20-6,114.082100,22.533751,1
20-6,114.086647,22.539932,0
20-6,114.081917,22.539133,1
20-6,114.111687,22.596901,0
20-6,114.112000,22.597651,1
20-7,114.068336,22.523567,0
20-7,114.082268,22.533133,1
20-7,114.081848,22.536934,0
20-7,114.104019,22.554899,1
20-7,114.105934,22.543568,0
20-7,114.105019,22.541250,1
20-7,114.112297,22.536034,0
20-8,114.099533,22.545218,1
20-8,114.116035,22.541933,0
20-8,114.113647,22.542032,1
20-8,114.081619,22.545782,0
20-8,114.084099,22.546400,1
20-9,113.939880,22.559967,0
20-9,113.967720,22.562517,1
20-9,114.016815,22.538151,0
20-9,114.017181,22.538134,1
20-9,114.069748,22.546249,0
20-9,114.071381,22.548082,1
20-10,114.076103,22.550650,0
20-12,113.815117,22.651632,1
20-12,114.013420,22.534149,0
20-12,114.116386,22.546301,1
20-12,114.120903,22.579166,0
20-13,114.110153,22.542267,1
20-13,114.113899,22.531816,0
20-13,114.105003,22.549400,1
20-13,114.116402,22.546467,0
20-13,114.122299,22.551382,1
20-13,114.114098,22.531651,0
20-14,114.139481,22.546583,1
20-14,114.139465,22.546551,0
20-14,114.138603,22.552750,1
20-14,114.107468,22.573334,0
20-14,114.107498,22.573317,1
20-14,114.128502,22.550501,0
20-14,114.126884,22.554449,1
20-15,114.119514,22.539267,0
20-15,114.113518,22.541533,1
20-15,114.117447,22.551149,0
20-15,114.117752,22.551132,1
20-15,114.105148,22.545567,0
20-15,114.113800,22.538633,1
20-16,114.101700,22.552366,0
20-16,114.103996,22.553183,1
20-16,114.058884,22.518368,0
20-16,114.059402,22.523533,1
20-16,114.063232,22.533649,0
20-16,114.063148,22.537033,1
20-16,114.105415,22.543449,0
20-16,114.106033,22.543400,1
20-16,114.109016,22.544333,0
20-16,114.103966,22.543133,1
20-16,114.089401,22.543417,0
20-17,114.081764,22.543333,1
20-17,114.047935,22.537634,0
20-17,114.058685,22.525766,1
20-17,114.024719,22.527082,0
20-18,114.036766,22.523050,1
20-18,114.048882,22.537300,0
20-18,114.045082,22.527201,1
20-18,114.045700,22.539351,0
20-18,114.045967,22.539400,1
20-18,114.054649,22.567333,0
20-18,114.038864,22.565733,1
20-19,114.057854,22.523750,0
20-19,114.063080,22.519182,1
20-21,114.068535,22.524183,0
20-21,114.068398,22.540983,1
20-21,114.088120,22.547983,0
20-21,114.089020,22.547199,1
