time,jd,wd,status
18-1,113.816299,22.647318,1
18-2,113.921829,22.550034,0
18-2,113.914749,22.539217,1
18-2,113.908997,22.535267,0
18-2,113.914650,22.538017,1
18-2,113.985367,22.536066,0
18-5,114.023636,22.527651,1
18-5,114.008217,22.542583,0
18-5,114.041321,22.520550,1
18-5,114.062798,22.517599,0
18-6,114.038071,22.518833,1
18-6,113.818214,22.646099,0
18-7,113.887299,22.560633,1
18-7,113.918915,22.543034,0
18-7,113.963799,22.543833,1
18-7,113.936768,22.571432,0
18-7,113.944702,22.571283,1
18-8,113.969948,22.539368,0
18-8,113.968582,22.540382,1
18-8,113.969482,22.596050,0
18-8,113.960266,22.586050,1
18-8,113.990646,22.535767,0
18-8,113.990082,22.535950,1
18-9,113.875084,22.502951,0
18-9,113.900452,22.513350,1
18-9,113.943634,22.540934,0
18-9,113.926331,22.528618,1
18-10,113.919785,22.533983,0
18-10,113.919586,22.531767,1
18-10,113.963181,22.534283,0
18-10,114.001450,22.535633,1
18-10,114.042397,22.544300,0
18-10,114.042717,22.544500,1
18-10,114.028130,22.550850,0
18-10,114.033630,22.551666,1
18-11,114.062317,22.517700,0
18-11,114.062981,22.517817,1
18-11,114.055901,22.526016,0
18-11,114.049652,22.528282,1
18-11,114.122864,22.548849,0
18-12,114.107018,22.544800,1
18-12,114.105118,22.542267,0
18-12,114.035583,22.531151,1
18-13,113.945953,22.559050,0
18-13,113.933853,22.555733,1
18-13,113.916733,22.543833,0
18-13,113.916321,22.543568,1
18-13,113.910187,22.531816,0
18-14,113.908569,22.535217,1
18-14,113.906937,22.526434,0
18-14,113.923119,22.521200,1
18-14,113.897400,22.512167,0
18-14,113.909653,22.525517,1
18-15,113.903534,22.530451,0
18-15,113.907082,22.520468,1
18-15,113.919380,22.500366,0
18-15,113.918365,22.499634,1
18-15,113.931015,22.519867,0
18-15,113.932335,22.521601,1
18-15,113.910316,22.530199,0
18-16,113.915970,22.527567,1
18-16,113.906303,22.541918,0
18-16,113.909966,22.541033,1
18-16,113.920799,22.520634,0
18-16,113.918030,22.523666,1
18-16,113.913933,22.531134,0
18-16,113.915733,22.532301,1
18-17,113.910629,22.525734,0
18-17,113.915718,22.510317,1
18-17,113.901230,22.514267,0
18-17,113.903885,22.516333,1
18-17,114.042816,22.527700,0
18-18,113.973663,22.523300,1
18-18,113.923347,22.493816,0
18-18,113.947914,22.514700,1
18-19,113.960884,22.549732,0
18-19,113.963470,22.542517,1
18-20,113.894447,22.559433,0
18-20,113.890198,22.563183,1
18-20,113.879501,22.573517,0
18-20,113.897049,22.564850,1
18-20,113.922615,22.524817,0
18-21,113.931984,22.520332,1
18-21,113.939484,22.544533,0
18-21,113.940483,22.539200,1
18-21,113.952347,22.574833,0
18-21,113.940300,22.553066,1
18-22,113.959885,22.572683,0
18-22,113.940300,22.553066,1
18-22,113.944946,22.537149,0
18-22,113.944984,22.537884,1
18-22,113.927368,22.513117,0
18-22,113.927696,22.515066,1
18-23,113.938637,22.569817,0
18-23,113.950203,22.570566,1
18-23,113.953918,22.550350,0
18-23,113.954132,22.549967,1
18-23,113.963585,22.543583,0
18-23,113.938683,22.543068,1
18-23,113.901749,22.514833,0
18-23,113.909447,22.517900,1
18-23,113.916603,22.527750,0
18-23,113.901848,22.559401,1
18-23,113.881165,22.578300,0
19-0,113.815567,22.651649,1
19-0,113.815117,22.651632,0
19-0,113.816399,22.647133,1
19-0,114.041870,22.530701,0
19-1,114.015900,22.537849,1
19-1,114.021500,22.552017,0
19-1,114.021271,22.539400,1
19-1,114.062897,22.539316,0
19-1,114.079147,22.543034,1
19-1,114.105797,22.551550,0
19-1,114.084084,22.548616,1
19-2,114.021049,22.532450,0
19-5,113.919281,22.488333,1
19-6,113.814583,22.649834,0
19-7,113.890999,22.562317,1
19-7,113.939186,22.542383,0
19-7,113.963531,22.546883,1
19-7,113.940735,22.546083,0
19-8,113.948769,22.552050,1
19-8,113.944931,22.540867,0
19-8,113.944969,22.538050,1
19-8,113.925018,22.522034,0
19-8,113.925636,22.521183,1
19-8,113.911049,22.497183,0
19-8,113.916550,22.501966,1
19-8,113.918098,22.506268,0
19-8,113.915016,22.503901,1
19-9,114.025986,22.537317,0
19-9,114.026268,22.540216,1
19-9,114.027214,22.533632,0
19-9,114.028069,22.532482,1
19-9,113.952499,22.541134,0
19-9,113.946869,22.543467,1
19-9,113.933746,22.562283,0
19-10,113.940117,22.559868,1
19-10,113.943367,22.541700,0
19-10,113.932167,22.542868,1
19-10,113.913216,22.542116,0
19-10,113.915283,22.542667,1
19-10,113.895081,22.566851,0
19-10,113.903549,22.562401,1
19-10,113.927071,22.549334,0
19-11,113.922852,22.555099,1
19-11,113.941521,22.546200,0
19-11,113.941818,22.546316,1
19-11,114.111198,22.534300,0
19-11,114.111870,22.531233,1
19-11,114.110886,22.544649,0
19-11,114.112183,22.541967,1
19-11,114.114166,22.535017,0
19-12,114.113800,22.534166,1
19-12,114.135246,22.570267,0
19-12,114.136887,22.569401,1
19-12,114.047729,22.541567,0
19-12,114.047516,22.539984,1
19-12,114.041679,22.514584,0
19-12,114.044647,22.512333,1
19-12,114.060234,22.523666,0
19-13,114.029533,22.546450,1
19-13,113.979782,22.537050,0
19-13,113.972702,22.540483,1
19-13,113.980667,22.539482,0
19-14,113.968315,22.540466,1
19-14,113.945168,22.532551,0
19-14,113.942734,22.527399,1
19-14,113.814552,22.649799,0
19-15,113.904869,22.541483,1
19-15,113.926849,22.523001,0
19-15,113.919815,22.519583,1
19-16,113.879799,22.580183,0
19-16,113.884682,22.591150,1
19-16,114.035118,22.571951,0
19-16,114.032913,22.564850,1
19-17,114.036720,22.558250,0
19-17,114.017334,22.555616,1
19-17,114.018021,22.539850,0
19-17,114.002968,22.536850,1
19-17,114.064781,22.532150,0
19-17,114.063965,22.532200,1
19-17,114.062386,22.517767,0
19-17,114.063019,22.517817,1
19-17,114.073334,22.535950,0
19-17,114.071671,22.538868,1
19-17,114.064217,22.537800,0
19-18,114.055099,22.537567,1
19-18,114.050079,22.527683,0
19-18,114.049583,22.525917,1
19-18,114.034836,22.521017,0
19-19,113.962753,22.547001,1
19-19,113.975533,22.563482,0
19-19,113.975571,22.563232,1
19-20,114.149948,22.616516,0
19-20,114.140182,22.606800,1
19-20,114.140450,22.606968,0
19-20,114.141281,22.608168,1
19-20,114.130516,22.582018,0
19-20,114.081268,22.558916,1
19-20,114.081383,22.558968,0
19-20,114.080002,22.558517,1
19-21,113.992882,22.533167,0
19-21,113.950684,22.538483,1
19-21,113.875885,22.578199,0
19-21,113.878914,22.579918,1
19-23,113.944847,22.507233,0
19-22,113.945335,22.506567,1
19-23,113.813950,22.680000,0
