time,jd,wd,status
18-0,114.014214,22.537817,1
18-0,114.035530,22.555283,0
18-0,114.029831,22.543716,1
18-0,114.007347,22.537483,0
18-0,114.002670,22.538349,1
18-1,114.099670,22.569017,0
18-1,114.103516,22.552967,1
18-1,114.124268,22.554716,0
18-2,114.112663,22.547701,1
18-2,114.124016,22.544800,0
18-2,114.118919,22.554068,1
18-2,114.117783,22.544050,0
18-3,114.107384,22.610649,1
18-3,114.106049,22.601433,0
18-3,114.108650,22.601999,1
18-3,114.131500,22.619667,0
18-5,114.102654,22.552483,1
18-5,113.815063,22.648968,0
18-7,113.901604,22.564367,1
18-7,113.938904,22.542534,0
18-7,113.963982,22.545549,1
18-7,113.919830,22.533983,0
18-7,113.919830,22.533983,1
18-8,113.885452,22.566483,0
18-8,113.888000,22.565233,1
18-8,113.917366,22.513634,0
18-8,113.917366,22.513634,1
18-9,114.128830,22.611200,0
18-10,114.137398,22.609432,1
18-10,114.133904,22.617582,0
18-10,114.119850,22.607033,1
18-10,114.113800,22.547382,0
18-10,114.113800,22.547382,1
18-11,114.118332,22.546932,0
18-11,114.118332,22.546932,1
18-11,114.122780,22.548651,0
18-11,114.122986,22.548567,1
18-11,114.112732,22.543266,0
18-11,114.112801,22.542583,1
18-11,114.111519,22.547983,0
18-11,114.107918,22.547050,1
18-11,114.050850,22.547367,0
18-11,114.050850,22.547367,1
18-11,114.076416,22.547016,0
18-11,114.077904,22.547117,1
18-11,114.078316,22.547033,0
18-12,114.087219,22.556784,1
18-12,114.053032,22.517817,0
18-12,114.063065,22.533117,1
18-12,114.058434,22.545483,0
18-12,114.058830,22.545782,1
18-12,114.054337,22.539568,0
18-12,114.054871,22.539499,1
18-12,114.050316,22.545401,0
18-12,114.049614,22.545401,1
18-13,114.112549,22.608383,0
18-13,114.122200,22.608749,1
18-13,114.137749,22.580334,0
18-13,114.135353,22.584368,1
18-14,114.127335,22.601982,0
18-14,114.117470,22.600201,1
18-14,114.099731,22.606800,0
18-14,114.112915,22.604883,1
18-14,114.050964,22.549932,0
18-14,114.050964,22.549932,1
18-15,114.105370,22.604733,0
18-15,114.110580,22.587433,1
18-15,114.121468,22.569151,0
18-15,114.125198,22.566067,1
18-15,114.123848,22.558683,0
18-15,114.123848,22.558683,1
18-16,114.134064,22.564768,0
18-16,114.123779,22.558550,1
